row_type,model,metric,estimate,ci_low,ci_high,samples,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap_ci,best_fixed_g522_train_candidate,safe_policy_sim_utility,0.010539142449997221,0.00045950637536585395,0.019538717132222227,300,False,False,False,False,False
bootstrap_ci,candidate_avoidable_risk_ridge_runtime_safe,safe_policy_sim_utility,0.01622175406367357,0.006006582795405405,0.02600555373159091,300,False,False,False,False,False
bootstrap_ci,candidate_utility_ridge_runtime_safe,safe_policy_sim_utility,0.019657992470644675,0.0083613923495,0.030121553993529417,300,False,False,False,False,False
bootstrap_ci,conformal_abstention_runtime_safe,safe_policy_sim_utility,0.017064505944525344,0.00663835354525,0.028440976213095232,300,False,False,False,False,False
bootstrap_ci,context_gate_then_candidate_ranker_runtime_safe,safe_policy_sim_utility,0.01598295590018413,0.005679783193055556,0.026405929266585384,300,False,False,False,False,False
bootstrap_ci,context_only_ablation,safe_policy_sim_utility,0.03911743481585511,0.024716657015238102,0.05504555075317074,300,False,False,False,False,False
bootstrap_ci,context_opportunity_classifier_runtime_safe,safe_policy_sim_utility,0.03955494982265229,0.023723690581162797,0.05498865504850002,300,False,False,False,False,False
bootstrap_ci,label_shuffled_risk_control,safe_policy_sim_utility,0.01859357308168513,0.008857674456153847,0.029150845397714287,300,False,False,False,False,False
bootstrap_ci,label_shuffled_utility_control,safe_policy_sim_utility,0.04420286126546688,0.02857128119583334,0.05853871950555556,300,False,False,False,False,False
bootstrap_ci,nearest_g518_residual_baseline,safe_policy_sim_utility,0.034276808521172764,0.027107834635853652,0.042040200086857146,300,False,False,False,False,False
bootstrap_ci,no_rich_trace_ablation,safe_policy_sim_utility,0.016911014919873346,0.006016359821794874,0.028038047641142858,300,False,False,False,False,False
bootstrap_ci,old14_plus_g518_no_new_baseline,safe_policy_sim_utility,0.0,0.0,0.0,300,False,False,False,False,False
bootstrap_ci,oracle_upper_bound_diagnostic_not_for_promotion,safe_policy_sim_utility,-0.01739992363790558,-0.02248992886119048,-0.011912169731041665,300,False,False,False,False,False
bootstrap_ci,pairwise_preference_ranker_runtime_safe,safe_policy_sim_utility,0.017103927543002852,0.006272984044545455,0.027234976646923075,300,False,False,False,False,False
bootstrap_ci,param_only_ablation,safe_policy_sim_utility,0.014904292915732876,0.003809940268837209,0.028537126931956532,300,False,False,False,False,False
bootstrap_ci,random_feature_control,safe_policy_sim_utility,0.044126504169426636,0.033008473465405405,0.053533250439189196,300,False,False,False,False,False
bootstrap_ci,region_prior_baseline,safe_policy_sim_utility,-0.0018883960844370074,-0.010827604266052629,0.007179978434871795,300,False,False,False,False,False
bootstrap_ci,source_blind_ablation,safe_policy_sim_utility,0.01566216025487996,0.005595067650000001,0.026657378517105264,300,False,False,False,False,False
bootstrap_ci,topk_then_risk_gate_selector,safe_policy_sim_utility,0.01669586584831932,0.006921235807750001,0.028006480551463417,300,False,False,False,False,False
bootstrap_ci,two_head_utility_risk_runtime_safe,safe_policy_sim_utility,0.017148383770124318,0.007191416961282051,0.02908919928885714,300,False,False,False,False,False
