map,agents,seed,scen,baseline_method,contender_method,baseline_success,contender_success,baseline_ratio,contender_ratio,delta_ratio,contender_better
warehouse-10-20-10-2-1,50,1,warehouse-10-20-10-2-1-random-1.scen,lacam_star_ltm,lacam_star,True,True,1.08573801121,1.06539339838,-0.020344612829999997,True
warehouse-10-20-10-2-1,50,1,warehouse-10-20-10-2-1-random-1.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.08573801121,1.08573801121,0.0,False
warehouse-10-20-10-2-1,50,2,warehouse-10-20-10-2-1-random-2.scen,lacam_star_ltm,always_additive_defer,True,True,1.10595446585,1.10595446585,0.0,False
warehouse-10-20-10-2-1,50,2,warehouse-10-20-10-2-1-random-2.scen,lacam_star_ltm,lacam_star,True,True,1.10595446585,1.07289842382,-0.03305604203000012,True
warehouse-10-20-10-2-1,50,2,warehouse-10-20-10-2-1-random-2.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.10595446585,1.10595446585,0.0,False
warehouse-10-20-10-2-1,50,3,warehouse-10-20-10-2-1-random-3.scen,lacam_star_ltm,always_additive_defer,True,True,1.04062585781,1.04062585781,0.0,False
warehouse-10-20-10-2-1,50,3,warehouse-10-20-10-2-1-random-3.scen,lacam_star_ltm,lacam_star,True,True,1.04062585781,1.04062585781,0.0,False
warehouse-10-20-10-2-1,50,3,warehouse-10-20-10-2-1-random-3.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.04062585781,1.04062585781,0.0,False
warehouse-10-20-10-2-1,100,1,warehouse-10-20-10-2-1-random-1.scen,lacam_star_ltm,always_additive_defer,True,True,1.13446381658,1.13446381658,0.0,False
warehouse-10-20-10-2-1,100,1,warehouse-10-20-10-2-1-random-1.scen,lacam_star_ltm,lacam_star,True,True,1.13446381658,1.14031526152,0.005851444940000006,False
warehouse-10-20-10-2-1,100,1,warehouse-10-20-10-2-1-random-1.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.13446381658,1.13446381658,0.0,False
warehouse-10-20-10-2-1,100,2,warehouse-10-20-10-2-1-random-2.scen,lacam_star_ltm,always_additive_defer,True,True,1.14913225613,1.14913225613,0.0,False
warehouse-10-20-10-2-1,100,2,warehouse-10-20-10-2-1-random-2.scen,lacam_star_ltm,lacam_star,True,True,1.14913225613,1.15152603232,0.002393776190000141,False
warehouse-10-20-10-2-1,100,2,warehouse-10-20-10-2-1-random-2.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.14913225613,1.14913225613,0.0,False
warehouse-10-20-10-2-1,100,3,warehouse-10-20-10-2-1-random-3.scen,lacam_star_ltm,always_additive_defer,True,True,1.13555640731,1.13555640731,0.0,False
warehouse-10-20-10-2-1,100,3,warehouse-10-20-10-2-1-random-3.scen,lacam_star_ltm,lacam_star,True,True,1.13555640731,1.13555640731,0.0,False
warehouse-10-20-10-2-1,100,3,warehouse-10-20-10-2-1-random-3.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.13555640731,1.13555640731,0.0,False
