theta_parameter,mean,min,max,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,1.04685145218,0.000108000108,1.5,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,1.17251296615,0.5,1.75,False,False,False,False,False
theta_alpha_cong_block,1.27520938912,0.5,2.24983199983,False,False,False,False,False
theta_alpha_cong_wait_progress,0.717460417729,3.375003375e-05,1.25,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,0.76986961451,0,1.7498984999,False,False,False,False,False
theta_alpha_flow_commit_progress,0.858616772279,0,1.5,False,False,False,False,False
theta_alpha_flow_wait_progress,0.848919006405,6.37500637501e-05,1.25,False,False,False,False,False
theta_rho_cong_decay,0.948385128207,0.9,0.999997799998,False,False,False,False,False
theta_rho_flow_decay,0.974487056568,0.9,1,False,False,False,False,False
theta_lambda_cong,1.01707819114,0.500078000078,1.5,False,False,False,False,False
theta_lambda_flow,0.859917222311,0,1.5,False,False,False,False,False
theta_flow_shield_beta,0.357652936741,0,0.799936799937,False,False,False,False,False
theta_max_flow_shield,0.828541057045,0.25,1.5,False,False,False,False,False
theta_min_edge_cost,0.806424512668,0.25,1,False,False,False,False,False
theta_max_edge_cost,10.472324904,8,12,False,False,False,False,False
theta_goal_projection_mode_flow_shield,1,1,1,False,False,False,False,False
theta_goal_projection_mode_agent_progress,0,0,0,False,False,False,False,False
theta_goal_projection_mode_none,0,0,0,False,False,False,False,False
