safety_threshold,top1,top3,harmful_recall,harmful_precision,mean_selected_delta,fallback_rate,unsafe_fallback_rate,low_confidence_fallback_rate
0.05,0.38562091503267976,0.7494553376906318,0.9748283752860412,0.19722222222222222,0.0028733411784298084,0.7254901960784313,0.3660130718954248,0.35947712418300654
0.1,0.39433551198257083,0.7494553376906318,0.9588100686498856,0.21788871554862194,0.003256466287066279,0.6775599128540305,0.3485838779956427,0.3289760348583878
0.2,0.39651416122004357,0.7494553376906318,0.9496567505720824,0.22665210267613325,0.0033290919569302878,0.6623093681917211,0.3442265795206972,0.31808278867102396
0.3,0.39215686274509803,0.7494553376906318,0.9359267734553776,0.2389018691588785,0.0033212403627410937,0.6557734204793029,0.32679738562091504,0.3289760348583878
