method,map,agents,seed,scen,iteration,selected_rule_before_guard,selected_rule_after_guard,selected_rule_source,ood_guard_triggered,ood_z_threshold,logged_feature_max_abs_z,logged_feature_mean_abs_z,computed_feature_max_abs_z,computed_feature_mean_abs_z,feature_outside_3sigma_count,feature_outside_5sigma_count,top_feature_by_abs_z,top_feature_abs_z
repair5e3_split_guarded_selector,random-32-32-20,50,4,random-32-32-20-random-4.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,2550,218.193887251,2550.0,218.19388725145512,9,9,committed_count,2550.0
repair5e3_split_guarded_selector,random-32-32-20,50,4,random-32-32-20-random-4.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,2750,257.209325819,2750.0,257.2093258192865,9,9,committed_count,2750.0
repair5e3_split_guarded_selector,random-32-32-20,50,4,random-32-32-20-random-4.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,3050,299.885721632,3050.0,299.8857216316955,9,9,committed_count,3050.0
repair5e3_split_guarded_selector,random-32-32-20,100,4,random-32-32-20-random-4.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5600,469.946905406,5600.0,469.9469054058146,10,10,committed_count,5600.0
repair5e3_split_guarded_selector,random-32-32-20,100,4,random-32-32-20-random-4.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,6300,549.470997099,6300.0,549.4709970988542,10,9,committed_count,6300.0
repair5e3_split_guarded_selector,random-32-32-20,100,4,random-32-32-20-random-4.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,6000,538.268637659,6000.0,538.2686376594755,10,9,committed_count,6000.0
repair5e3_split_guarded_selector,random-32-32-20,50,5,random-32-32-20-random-5.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,2750,225.609350349,2750.0,225.60935034909008,10,9,committed_count,2750.0
repair5e3_split_guarded_selector,random-32-32-20,50,5,random-32-32-20-random-5.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,2800,255.559420277,2800.0,255.55942027719865,9,9,committed_count,2800.0
repair5e3_split_guarded_selector,random-32-32-20,50,5,random-32-32-20-random-5.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,2950,285.182977094,2950.0,285.1829770944239,9,9,committed_count,2950.0
repair5e3_split_guarded_selector,random-32-32-20,100,5,random-32-32-20-random-5.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5600,462.507757332,5600.0,462.50775733235895,10,10,committed_count,5600.0
repair5e3_split_guarded_selector,random-32-32-20,100,5,random-32-32-20-random-5.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,5500,475.811398504,5500.0,475.8113985044074,10,9,committed_count,5500.0
repair5e3_split_guarded_selector,random-32-32-20,100,5,random-32-32-20-random-5.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,6900,613.063405522,6900.0,613.0634055218684,10,9,committed_count,6900.0
repair5e3_split_guarded_selector,random-32-32-20,50,6,random-32-32-20-random-6.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,2500,206.941973319,2500.0,206.94197331852362,9,9,committed_count,2500.0
repair5e3_split_guarded_selector,random-32-32-20,50,6,random-32-32-20-random-6.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,2500,235.598503029,2500.0,235.5985030286568,10,9,committed_count,2500.0
repair5e3_split_guarded_selector,random-32-32-20,50,6,random-32-32-20-random-6.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,2200,224.278734021,2200.0,224.27873402084427,9,9,committed_count,2200.0
repair5e3_split_guarded_selector,random-32-32-20,100,6,random-32-32-20-random-6.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5200,426.726348733,5200.0,426.726348732836,10,10,committed_count,5200.0
repair5e3_split_guarded_selector,random-32-32-20,100,6,random-32-32-20-random-6.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,5700,494.339223736,5700.0,494.3392237364674,10,10,committed_count,5700.0
repair5e3_split_guarded_selector,random-32-32-20,100,6,random-32-32-20-random-6.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,5200,460.673310055,5200.0,460.67331005547607,10,9,committed_count,5200.0
repair5e3_split_guarded_selector,random-32-32-20,50,7,random-32-32-20-random-7.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,3050,258.862553827,3050.0,258.8625538270219,9,9,committed_count,3050.0
repair5e3_split_guarded_selector,random-32-32-20,50,7,random-32-32-20-random-7.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,3200,297.177952913,3200.0,297.17795291345703,9,9,committed_count,3200.0
repair5e3_split_guarded_selector,random-32-32-20,50,7,random-32-32-20-random-7.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,2750,277.096655877,2750.0,277.09665587728665,9,9,committed_count,2750.0
repair5e3_split_guarded_selector,random-32-32-20,100,7,random-32-32-20-random-7.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,6600,551.344479981,6600.0,551.3444799807592,10,10,committed_count,6600.0
repair5e3_split_guarded_selector,random-32-32-20,100,7,random-32-32-20-random-7.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,22900,1998.61280105,22900.0,1998.6128010549303,10,10,committed_count,22900.0
repair5e3_split_guarded_selector,random-32-32-20,100,7,random-32-32-20-random-7.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,5500,502.293527785,5500.0,502.29352778547803,10,9,committed_count,5500.0
repair5e3_split_guarded_selector,random-32-32-20,50,8,random-32-32-20-random-8.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,3100,256.282991394,3100.0,256.2829913936406,9,9,committed_count,3100.0
repair5e3_split_guarded_selector,random-32-32-20,50,8,random-32-32-20-random-8.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,3200,290.943131075,3200.0,290.94313107492667,9,9,committed_count,3200.0
repair5e3_split_guarded_selector,random-32-32-20,50,8,random-32-32-20-random-8.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,3200,312.64051451,3200.0,312.64051451001274,9,9,committed_count,3200.0
repair5e3_split_guarded_selector,random-32-32-20,100,8,random-32-32-20-random-8.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,6000,490.71015005,6000.0,490.7101500504225,10,10,committed_count,6000.0
repair5e3_split_guarded_selector,random-32-32-20,100,8,random-32-32-20-random-8.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,14300,1238.48327451,14300.0,1238.483274509596,10,10,committed_count,14300.0
repair5e3_split_guarded_selector,random-32-32-20,100,8,random-32-32-20-random-8.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,5400,489.64909781,5400.0,489.64909781022226,10,10,committed_count,5400.0
repair5e3_split_guarded_selector,random-32-32-20,50,9,random-32-32-20-random-9.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,3100,259.952379075,3100.0,259.952379074805,9,9,committed_count,3100.0
repair5e3_split_guarded_selector,random-32-32-20,50,9,random-32-32-20-random-9.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,2900,268.885824891,2900.0,268.8858248906155,9,9,committed_count,2900.0
repair5e3_split_guarded_selector,random-32-32-20,50,9,random-32-32-20-random-9.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,3300,316.011256829,3300.0,316.0112568286462,9,9,committed_count,3300.0
repair5e3_split_guarded_selector,random-32-32-20,100,9,random-32-32-20-random-9.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,6900,563.404271833,6900.0,563.4042718333938,10,10,committed_count,6900.0
repair5e3_split_guarded_selector,random-32-32-20,100,9,random-32-32-20-random-9.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,6100,529.356919867,6100.0,529.3569198670698,10,9,committed_count,6100.0
repair5e3_split_guarded_selector,random-32-32-20,100,9,random-32-32-20-random-9.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,38500,3357.05422397,38500.0,3357.054223971384,10,10,committed_count,38500.0
repair5e3_split_guarded_selector,random-32-32-20,50,10,random-32-32-20-random-10.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,2650,218.885402938,2650.0,218.8854029383568,9,9,committed_count,2650.0
repair5e3_split_guarded_selector,random-32-32-20,50,10,random-32-32-20-random-10.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,2750,254.991616667,2750.0,254.9916166674448,9,9,committed_count,2750.0
repair5e3_split_guarded_selector,random-32-32-20,50,10,random-32-32-20-random-10.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,3050,297.794895948,3050.0,297.79489594800737,9,9,committed_count,3050.0
repair5e3_split_guarded_selector,random-32-32-20,100,10,random-32-32-20-random-10.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,54400,4695.51190034,54400.0,4695.511900338441,10,10,committed_count,54400.0
repair5e3_split_guarded_selector,random-32-32-20,100,10,random-32-32-20-random-10.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,5300,478.453595857,5300.0,478.45359585665625,10,10,committed_count,5300.0
repair5e3_split_guarded_selector,random-32-32-20,100,10,random-32-32-20-random-10.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,5900,530.431918741,5900.0,530.4319187408322,10,10,committed_count,5900.0
repair5e3_split_guarded_selector,random-32-32-20,50,11,random-32-32-20-random-11.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,2750,229.391239304,2750.0,229.39123930422642,10,9,committed_count,2750.0
