g566_evaluation_uid,g566_dataset_row_id,split,map,map_family,agents,budget_ms,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0b8a8e5e785058a86d56d8a53d59ace12b558bbabb9a17e832d39c7b692a1aaf,g566_valid_000027,VALIDATION,g566-connector-48x48-a-v0,other,24,8000,False,False,False,False,False
628fa18df7250b1eb34b5da42b919403a10887cd6e8f343288eb74be40680eb6,g566_valid_000283,VALIDATION,g566-connector-48x48-a-v0,other,24,1500,False,False,False,False,False
6e9efc4e9fbf20b313baf83b55a6e98be53f593705775b1f25bd55ada44dfdf6,g566_valid_000539,VALIDATION,g566-connector-48x48-a-v0,other,24,8000,False,False,False,False,False
7f6d240caff3071836cace1338e14959bca684c8a724eb9277212e37d9ae09cf,g566_valid_000795,VALIDATION,g566-connector-48x48-a-v0,other,24,1500,False,False,False,False,False
0a24ad6bf9606d4ccb577e1d833c1892307df1a9bfbbd83b72b622a1664d11f3,g566_valid_001051,VALIDATION,g566-connector-48x48-a-v0,other,24,8000,False,False,False,False,False
fb92aa9b6b84b79ba16bfc958bd233cbf7ab9469c3f171429bbf91a2f0ddeaa1,g566_valid_001307,VALIDATION,g566-connector-48x48-a-v0,other,24,1500,False,False,False,False,False
04feafbbef7fb13f6405d058ddf03773882d7805e377716ea9fb7ea34caf5b94,g566_valid_001563,VALIDATION,g566-connector-48x48-a-v0,other,24,8000,False,False,False,False,False
d98a182788fff212cc4d3478337183b0762a115444ce2c6b291a4195fa0bee7f,g566_valid_001819,VALIDATION,g566-connector-48x48-a-v0,other,24,1500,False,False,False,False,False
093fda73c4cdca2444a71e3ab191ba829b6bb649a3cad924d01e09bd567c7f8f,g566_valid_002075,VALIDATION,g566-connector-48x48-a-v0,other,24,8000,False,False,False,False,False
847585b1caba18f01990daec492ae59f5c8b6a3c06b9da5799ea4fe5cf115cf3,g566_valid_002331,VALIDATION,g566-connector-48x48-a-v0,other,24,1500,False,False,False,False,False
06164cb2260606b225b27432d4e48aaf00ea84aaab761dc5eded673ada3a8285,g566_valid_002587,VALIDATION,g566-connector-48x48-a-v0,other,24,8000,False,False,False,False,False
b0e3c686e2c0d88187d8c2a506920d411f672e336506f5a4c628ae8c2c89c98e,g566_valid_002843,VALIDATION,g566-connector-48x48-a-v0,other,24,1500,False,False,False,False,False
396518bfa929e44d9713caf5c715fcea91a277d2734460353e12d3e3782b1c00,g566_valid_003099,VALIDATION,g566-connector-48x48-a-v0,other,24,8000,False,False,False,False,False
0b0b81fa4a3007b4014b3d40eb4deaf65c08294f8f1802d25cefddc7cfa8f90b,g566_valid_003355,VALIDATION,g566-connector-48x48-a-v0,other,24,1500,False,False,False,False,False
edf74960286bf128fe5ed49450a1642b9ba3ad04f47c0213095676371795bd28,g566_valid_003611,VALIDATION,g566-connector-48x48-a-v0,other,24,8000,False,False,False,False,False
febc4c98d1a8b724e8791b7fea340efe6ae3e7ad2db60d514379c5c4d9198405,g566_valid_000176,VALIDATION,g566-connector-48x48-a-v0,other,8,2000,False,False,False,False,False
caeb0527c56047598b5915f506111610da502d989461e105d079cd587c25d548,g566_valid_000432,VALIDATION,g566-connector-48x48-a-v0,other,8,500,False,False,False,False,False
562be0f6ca1f5aec3951b1b515f96cc176b3b468896fd9c29a00accb8e423e4f,g566_valid_000688,VALIDATION,g566-connector-48x48-a-v0,other,8,2000,False,False,False,False,False
82aef216015a1f23877ca7828ad59fae2736e686b15886e8bd6145b8e1a8b88d,g566_valid_000944,VALIDATION,g566-connector-48x48-a-v0,other,8,500,False,False,False,False,False
db13d2570b77f4ed38c8816ac44f3a963d5fa46291ae4345075fe8fc6814c1f4,g566_valid_001200,VALIDATION,g566-connector-48x48-a-v0,other,8,2000,False,False,False,False,False
8f1e3c42039156ab640735e264a96179bbd081341cd2224a9adb056549f33c6c,g566_valid_001456,VALIDATION,g566-connector-48x48-a-v0,other,8,500,False,False,False,False,False
77c9d65fab2cf6dd7010cbdc50cf9c52a02d34ca7f171693b05bdd51cfb35414,g566_valid_001712,VALIDATION,g566-connector-48x48-a-v0,other,8,2000,False,False,False,False,False
54b32c00bf46ccd6714d03c029dd1569c5dc7a13e21ee490b63741da46d5bf7c,g566_valid_001968,VALIDATION,g566-connector-48x48-a-v0,other,8,500,False,False,False,False,False
fc30ff334c21df6e985e1798d6813426347cc3746539c7783e4275eb36099a12,g566_valid_002224,VALIDATION,g566-connector-48x48-a-v0,other,8,2000,False,False,False,False,False
272eccd0c7c740bfa774f2f1e2845600fca8d7f9c09975631fb8b87e037ab293,g566_valid_002480,VALIDATION,g566-connector-48x48-a-v0,other,8,500,False,False,False,False,False
2de951609872b86c9399daca22590268a042f7867b1cb8f75878c0cb7b0a2f44,g566_valid_002736,VALIDATION,g566-connector-48x48-a-v0,other,8,2000,False,False,False,False,False
bce8b7a9be5d9ac6220630528f8cfea6837f0928a08c830a1efcca503706796c,g566_valid_002992,VALIDATION,g566-connector-48x48-a-v0,other,8,500,False,False,False,False,False
92a57f48cd96d6e23df1e0dafd044e0e495529d1889fdb3a83ffdc86b2459ee7,g566_valid_003248,VALIDATION,g566-connector-48x48-a-v0,other,8,2000,False,False,False,False,False
6b4014db45ea2932c091967d0ff76aa42d0ddbe7f2405b13df1ef83e1e7ebc90,g566_valid_003504,VALIDATION,g566-connector-48x48-a-v0,other,8,500,False,False,False,False,False
bc641da4511919bd4d85862ed6ce903b9cb622e24d496b870afa4f93dcf2e46b,g566_valid_000091,VALIDATION,g566-connector-48x48-a-v1,other,24,500,False,False,False,False,False
d1c17b600575ba162e32d96c5f93413c8f410a45176b78965b6405882b336298,g566_valid_000347,VALIDATION,g566-connector-48x48-a-v1,other,24,2000,False,False,False,False,False
1e99afca417b174ee76ede01b23910ee5888b69bd1efc5ec6d0b9696bd9f6a56,g566_valid_000603,VALIDATION,g566-connector-48x48-a-v1,other,24,500,False,False,False,False,False
f965dc1a274ea3a5e31ff79c00ccbc007872d4db7df54ae0d21eb5c7fd5aa90b,g566_valid_000859,VALIDATION,g566-connector-48x48-a-v1,other,24,2000,False,False,False,False,False
3e382b5d573c8d04d4035d9c57152de31d347763c570168358e0b6a27da161e1,g566_valid_001115,VALIDATION,g566-connector-48x48-a-v1,other,24,500,False,False,False,False,False
a5f6056d5cce8a8a6feef7dd60cbce4b3b896be5ca76e7ea163548516630d261,g566_valid_001371,VALIDATION,g566-connector-48x48-a-v1,other,24,2000,False,False,False,False,False
