pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,support_rows_existing,success_regression_count_existing,quality_delta_existing,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_strata_existing
g554_pool_094922536278,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000941_t035,0.606446853106,1.01346868706,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,29,0,-0.0339218686861,1.25,1.25,1.25,0.75,0.75,1,0.386422747154,0.95,1,0.923375563249,0.331026327947,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_350488091632,g553_zero_regression_low_support,repair5g549_theta_549000941,1.73270529459,0.338319283361,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,29,0,-0.0339218686861,1.25,1.25,1.25,0.75,0.75,1,1.10406499187,0.95,1,0.781073037854,0.945789508421,0.35,0.75,1,11,1,0,0,False,False,False,False,False,4
g554_pool_478016802529,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000240_t035,0.942343750315,1.24151453197,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,30,0,-0.0338710825011,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1.10517513965,0.455621913757,0.35,0.75,1,9.98631732736,1,0,0,False,False,False,False,False,
g554_pool_860430653587,g553_zero_regression_low_support,repair5g549_theta_549000240,3.19241071518,1.72574404852,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_zero_regression_low_support,30,0,-0.0338710825011,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.300500399,1.30177689645,0.35,0.75,1,8.10376379247,0,0,1,False,False,False,False,False,4
g554_pool_417795747775,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001125_t035,0.565118879761,0.901547786905,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,29,0,-0.033441368596,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.427678319642,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_217603151154,g553_zero_regression_low_support,repair5g549_theta_549001125,2.11462537075,0.64795870408,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_zero_regression_low_support,29,0,-0.033441368596,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.22193805612,0.35,0.75,1,11,0,0,1,False,False,False,False,False,4
g554_pool_451248098302,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000822_t035,0.761837386326,1.02500024,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,29,0,-0.0333244138673,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,0.839914520171,0.482627859745,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_325227268195,g553_zero_regression_low_support,repair5g549_theta_549000822,2.17667824665,0.710011579979,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,29,0,-0.0333244138673,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.542612914774,1.37893674213,0.35,0.75,1,11,1,0,0,False,False,False,False,False,4
g554_pool_182085038589,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000536_t035,0.824707480585,1.26470748059,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,30,0,-0.0333127323325,1.25,1.00559496381,1.25,0.75,0.75,1,0.35,0.95,1,0.8841498817,0.35,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_559730047914,g553_zero_regression_low_support,repair5g549_theta_549000536,2.35630708739,0.889640420719,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,30,0,-0.0333127323325,1.25,0.5516998966,1.25,0.75,0.75,1,1,0.95,1,0.668999662001,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,4
