map_family,agents,nominal_budget_ms,horizon_id,region_rows,true_safe_gain_regions,safe_no_gain_regions,unsafe_useful_regions,support_pairs_total,success_regression_count_total,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze,100,2000,c0_short2000_t050_i2,7,0,0,0,468,32,False,False,False,False,False
maze,100,2000,c0_short5000_t050_i2,7,0,0,0,820,30,False,False,False,False,False
maze,50,2000,c0_short2000_t050_i2,7,0,1,0,4068,32,False,False,False,False,False
maze,50,2000,c0_short5000_t050_i2,7,0,1,0,4549,1,False,False,False,False,False
random,100,2000,c0_short2000_t050_i2,7,0,0,0,1377,23,False,False,False,False,False
random,100,2000,c0_short5000_t050_i2,7,0,0,0,1677,23,False,False,False,False,False
random,50,2000,c0_short2000_t050_i2,7,1,0,0,4278,22,False,False,False,False,False
random,50,2000,c0_short5000_t050_i2,7,0,1,0,4594,6,False,False,False,False,False
warehouse,100,1000,warehouse_short10000_t200_i8,1,0,0,0,0,0,False,False,False,False,False
warehouse,100,1000,warehouse_short20000_t500_i12,1,0,0,0,215,1,False,False,False,False,False
warehouse,100,1000,warehouse_short5000_t100_i4,1,0,0,0,0,0,False,False,False,False,False
warehouse,100,2000,warehouse_short10000_t200_i8,1,0,0,0,0,0,False,False,False,False,False
warehouse,100,2000,warehouse_short20000_t500_i12,1,0,1,0,204,0,False,False,False,False,False
warehouse,100,2000,warehouse_short5000_t100_i4,1,0,0,0,0,0,False,False,False,False,False
warehouse,100,500,warehouse_short10000_t200_i8,1,0,0,0,0,0,False,False,False,False,False
warehouse,100,500,warehouse_short20000_t500_i12,1,0,1,0,216,0,False,False,False,False,False
warehouse,100,500,warehouse_short5000_t100_i4,1,0,0,0,0,0,False,False,False,False,False
warehouse,50,1000,warehouse_short10000_t200_i8,1,0,0,0,12,0,False,False,False,False,False
warehouse,50,1000,warehouse_short20000_t500_i12,1,0,1,0,240,0,False,False,False,False,False
warehouse,50,1000,warehouse_short5000_t100_i4,1,0,0,0,0,0,False,False,False,False,False
warehouse,50,2000,warehouse_short10000_t200_i8,1,0,0,0,12,0,False,False,False,False,False
warehouse,50,2000,warehouse_short20000_t500_i12,1,0,1,0,240,0,False,False,False,False,False
warehouse,50,2000,warehouse_short5000_t100_i4,1,0,0,0,0,0,False,False,False,False,False
warehouse,50,500,warehouse_short10000_t200_i8,1,0,0,0,0,0,False,False,False,False,False
warehouse,50,500,warehouse_short20000_t500_i12,1,0,1,0,240,0,False,False,False,False,False
warehouse,50,500,warehouse_short5000_t100_i4,1,0,0,0,0,0,False,False,False,False,False
