method,label,map,agents,rows,better,equal,worse,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,success_regressions,success_improvements,equal_share,worse_share,mostly_no_effect
repair5f_static_c100_b100_w075_d090,locked wait 0.75 + decay 0.90,maze-32-32-4,100,20,10,0,10,0.0013037860594999674,-0.00021774872500002207,0,0,0.0,0.5,False
repair5f_static_c100_b100_w075_d090,locked wait 0.75 + decay 0.90,random-32-32-20,50,20,0,18,2,0.0009064062550000029,0.0,0,0,0.9,0.1,True
repair5f_static_c100_b100_w075_d090,locked wait 0.75 + decay 0.90,warehouse-10-20-10-2-1,50,20,0,20,0,0.0,0.0,0,0,1.0,0.0,True
repair5f_static_c100_b100_w075_d090,locked wait 0.75 + decay 0.90,warehouse-10-20-10-2-1,100,20,0,20,0,0.0,0.0,0,0,1.0,0.0,True
repair5f_static_c100_b100_w075_d090,locked wait 0.75 + decay 0.90,maze-32-32-4,50,20,8,6,6,-0.0008071347669000139,0.0,0,0,0.3,0.3,False
repair5f_static_c100_b100_w075_d090,locked wait 0.75 + decay 0.90,random-32-32-20,100,20,7,4,9,-0.0011319122852000041,0.0,0,0,0.2,0.45,False
repair5e5_crossfold_utility_reranker,Repair5E5 real diagnostic,maze-32-32-4,50,20,5,8,7,0.0015425090368499984,0.0,0,0,0.4,0.35,False
repair5f_static_c100_b100_w075_d095,wait 0.75 + decay 0.95,maze-32-32-4,50,20,5,10,5,0.0014443016162499767,0.0,0,0,0.5,0.25,False
repair5e5_crossfold_utility_reranker_shuffled_labels_diagnostic,Repair5E5 shuffled diagnostic,random-32-32-20,50,20,0,18,2,0.0010795664280000006,0.0,0,0,0.9,0.1,True
repair5f_static_c100_b100_w100_d090,decay 0.90 only,random-32-32-20,50,20,0,18,2,0.0010795664280000006,0.0,0,0,0.9,0.1,True
repair5f_f4_deterministic_random_candidate_diagnostic,deterministic random candidate diagnostic,maze-32-32-4,100,20,8,0,12,0.0010140358759999969,0.00601200686999992,0,0,0.0,0.6,False
repair5f_static_c100_b100_w100_d095,decay 0.95 only,random-32-32-20,50,20,0,18,2,0.0008642348174999981,0.0,0,0,0.9,0.1,True
repair5f_static_c100_b100_w100_d095,decay 0.95 only,random-32-32-20,100,20,8,6,6,0.0007997724246999738,0.0,0,0,0.3,0.3,False
repair5f_f4_deterministic_random_candidate_diagnostic,deterministic random candidate diagnostic,maze-32-32-4,50,20,3,10,7,0.0007733347819499859,0.0,0,0,0.5,0.35,False
