instance_index,map,map_family,solver_seed,solver_scenario_path,solver_scenario_sha256,solver_scenario_pair_count,start_goal_assignment_sha256,actual_solver_scenario_from_instance_assignment,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0,empty-8-8,empty,7000,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-8-8-random-7000.scen,93e34506d9f97f2ef780c22bb3bbe92339560270dc0bc1e66ae5bea6d8f86bc6,16,dd82e12b61b15e78c954217fd0c8c03ddd1165c851942b164a6a72853025f77e,True,False,False,False,False,False
1,empty-16-16,empty,7001,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-16-16-random-7001.scen,68b1a6ec261125013158d100b254a14c87018a9ce03c5d1856282602e0a0daf0,32,d57c3f51400dd86e3ae6de43e48c7ebd9bf132e8f5f19943d2c645a1b8cc1551,True,False,False,False,False,False
2,empty-32-32,empty,7002,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-32-32-random-7002.scen,421d69d48696623d9f16f271f1e79f1f72c8071733966225ca1883401a8cf446,64,2dd817ed1b86004138eb403fd5b2866e68d29b8f4b1cee30a8d5f1ad0557e959,True,False,False,False,False,False
3,random-8-8-20,random,7003,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-8-8-20-random-7003.scen,4f68fc8a09cffe0f3320a0fb18d1abece791912070a31403b478fa9f904c13cf,32,5f1d436e38631e240932dd95cc51535f7740f525b62ea4506288bd1e00011121,True,False,False,False,False,False
4,random-32-32-10,random,7004,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-32-32-10-random-7004.scen,abfa202376c89df2e6e84be1cc1cd3e85f82aba9ff068341d166631c2eef6975,128,c8c8e83760d10edbc2a7470c804f27d9818e5e300077d8b1a40a8a6e52bce37e,True,False,False,False,False,False
5,random-32-32-20,random,7005,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-32-32-20-random-7005.scen,4d145b127be952a089516b3801f4a27e5f0041808655b0900f6417e5eb16b8a5,256,e161850ac8462f9eec3d2854c44345d2592348e4f5e9a5c20801b31dbbe9ee5e,True,False,False,False,False,False
6,maze-32-32-2,maze,7006,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-32-32-2-random-7006.scen,cc00c52a20202d2385412a70aafcbdc5b7093c6ad8651a035c2492867f423fc3,16,3f4a5d0d8b821545074bd877532c6476aa33f57790d8b08ea9ebab3d698b7518,True,False,False,False,False,False
7,maze-36-32-4,maze,7007,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-36-32-4-random-7007.scen,45fa208f3a4108d944f5fca0fec617f7380ebe3d9fe3f9f02eea11d72c91feaf,32,9d4d35b47e33d04a7f9cf8fa159db01acd4157816337b4f25e405d6ea18ad1e8,True,False,False,False,False,False
8,room-32-32-4,room,7008,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-32-32-4-random-7008.scen,da2c53806d264143ac6bf5a1585ad9bd446e3865b9de066e3d10bfdc90fc60f6,64,26e389c1b1bce57c7c8a05ec793284faae716d22bb6af223278c71820c5619eb,True,False,False,False,False,False
9,room-40-32-8,room,7009,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-40-32-8-random-7009.scen,2e18250a4150cdafa3b1b045c78465fb525fd0832bee0c387642faba8a8e7721,96,406cf70181bd50cb095b9df06b82f546874e84ae54058fef58d8cd0f10370435,True,False,False,False,False,False
