region_id,sampling_policy,materialized_method,region_status,support,seed_block_support,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_better_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_quality_only_mean_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
broad_sobol_lhs|repair5g518_grid_c0p07_b1p66_f0p31_w1p36_dc0p93_df0p97_beta0p34_max1p25_c0,broad_sobol_lhs,repair5g518_grid_c0p07_b1p66_f0p31_w1p36_dc0p93_df0p97_beta0p34_max1p25_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p07_b1p94_f1p37_w1p32_dc0p97_df0p94_beta0p14_max0p36_c0,broad_sobol_lhs,repair5g518_grid_c0p07_b1p94_f1p37_w1p32_dc0p97_df0p94_beta0p14_max0p36_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p08_b0p52_f1p49_w0p71_dc0p97_df0p93_beta0p55_max0p57_c0,broad_sobol_lhs,repair5g518_grid_c0p08_b0p52_f1p49_w0p71_dc0p97_df0p93_beta0p55_max0p57_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p09_b1p28_f1p17_w0p67_dc0p91_df0p94_beta0p52_max0p63_c0,broad_sobol_lhs,repair5g518_grid_c0p09_b1p28_f1p17_w0p67_dc0p91_df0p94_beta0p52_max0p63_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p09_b1p63_f0p4_w0p77_dc0p99_df0p98_beta0p59_max1p42_c0,broad_sobol_lhs,repair5g518_grid_c0p09_b1p63_f0p4_w0p77_dc0p99_df0p98_beta0p59_max1p42_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p09_b1p76_f1p14_w0p02_dc0p95_df0p96_beta0p65_max0p28_c0,broad_sobol_lhs,repair5g518_grid_c0p09_b1p76_f1p14_w0p02_dc0p95_df0p96_beta0p65_max0p28_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p09_b1p98_f0p18_w1p34_dc0p96_df0p95_beta0p53_max1p03_c0,broad_sobol_lhs,repair5g518_grid_c0p09_b1p98_f0p18_w1p34_dc0p96_df0p95_beta0p53_max1p03_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p09_b2p18_f1p28_w0p95_dc0p94_df0p98_beta0p38_max1p29_c0,broad_sobol_lhs,repair5g518_grid_c0p09_b2p18_f1p28_w0p95_dc0p94_df0p98_beta0p38_max1p29_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p12_b0p55_f0p91_w0p36_dc0p99_df0p96_beta0p72_max0p45_c0,broad_sobol_lhs,repair5g518_grid_c0p12_b0p55_f0p91_w0p36_dc0p99_df0p96_beta0p72_max0p45_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p12_b0p72_f0p68_w1p06_dc0p99_df0p97_beta0p37_max1p1_c0,broad_sobol_lhs,repair5g518_grid_c0p12_b0p72_f0p68_w1p06_dc0p99_df0p97_beta0p37_max1p1_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p12_b1p51_f0p86_w1p61_dc0p97_df0p98_beta0p69_max1p27_c0,broad_sobol_lhs,repair5g518_grid_c0p12_b1p51_f0p86_w1p61_dc0p97_df0p98_beta0p69_max1p27_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p12_b2p16_f1p22_w1p69_dc0p97_df0p97_beta0p27_max1p28_c0,broad_sobol_lhs,repair5g518_grid_c0p12_b2p16_f1p22_w1p69_dc0p97_df0p97_beta0p27_max1p28_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p13_b1p38_f0p42_w0p83_dc0p97_df0p98_beta0p46_max0p3_c0,broad_sobol_lhs,repair5g518_grid_c0p13_b1p38_f0p42_w0p83_dc0p97_df0p98_beta0p46_max0p3_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p13_b2p01_f0p43_w0p26_dc0p99_df1p00_beta0p46_max0p49_c0,broad_sobol_lhs,repair5g518_grid_c0p13_b2p01_f0p43_w0p26_dc0p99_df1p00_beta0p46_max0p49_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p15_b1p89_f1p41_w1p1_dc0p99_df0p97_beta0p76_max0p98_c0,broad_sobol_lhs,repair5g518_grid_c0p15_b1p89_f1p41_w1p1_dc0p99_df0p97_beta0p76_max0p98_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p16_b0p64_f0p53_w1p55_dc0p9_df0p95_beta0p21_max0p96_c0,broad_sobol_lhs,repair5g518_grid_c0p16_b0p64_f0p53_w1p55_dc0p9_df0p95_beta0p21_max0p96_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p16_b0p68_f0p74_w0p44_dc0p94_df0p97_beta0p59_max1p2_c0,broad_sobol_lhs,repair5g518_grid_c0p16_b0p68_f0p74_w0p44_dc0p94_df0p97_beta0p59_max1p2_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p17_b0p94_f0p8_w0p6_dc0p96_df0p9_beta0p41_max0p62_c0,broad_sobol_lhs,repair5g518_grid_c0p17_b0p94_f0p8_w0p6_dc0p96_df0p9_beta0p41_max0p62_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p17_b1p01_f0p91_w0p33_dc1p00_df0p95_beta0p21_max0p53_c0,broad_sobol_lhs,repair5g518_grid_c0p17_b1p01_f0p91_w0p33_dc1p00_df0p95_beta0p21_max0p53_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p17_b1p72_f0p64_w1p01_dc0p93_df0p94_beta0p62_max0p81_c0,broad_sobol_lhs,repair5g518_grid_c0p17_b1p72_f0p64_w1p01_dc0p93_df0p94_beta0p62_max0p81_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p17_b1p82_f0p88_w0p75_dc0p91_df0p94_beta0p31_max0p5_c0,broad_sobol_lhs,repair5g518_grid_c0p17_b1p82_f0p88_w0p75_dc0p91_df0p94_beta0p31_max0p5_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p17_b2p14_f0p35_w1p57_dc0p96_df0p99_beta0p26_max0p73_c0,broad_sobol_lhs,repair5g518_grid_c0p17_b2p14_f0p35_w1p57_dc0p96_df0p99_beta0p26_max0p73_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p17_b2p17_f0p18_w0p53_dc0p97_df0p92_beta0p37_max1p00_c0,broad_sobol_lhs,repair5g518_grid_c0p17_b2p17_f0p18_w0p53_dc0p97_df0p92_beta0p37_max1p00_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p19_b1p07_f1p33_w0p61_dc0p92_df0p91_beta0p6_max0p93_c0,broad_sobol_lhs,repair5g518_grid_c0p19_b1p07_f1p33_w0p61_dc0p92_df0p91_beta0p6_max0p93_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p19_b1p39_f1p42_w1p38_dc0p91_df0p98_beta0p59_max0p73_c0,broad_sobol_lhs,repair5g518_grid_c0p19_b1p39_f1p42_w1p38_dc0p91_df0p98_beta0p59_max0p73_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p1_b1p29_f0p15_w0p75_dc0p97_df0p94_beta0p79_max1p32_c0,broad_sobol_lhs,repair5g518_grid_c0p1_b1p29_f0p15_w0p75_dc0p97_df0p94_beta0p79_max1p32_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
