candidate_id,candidate_role,old_g525_param_vector,g526_param_vector,fingerprint_unchanged,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,audit_key,present_in_project_owned_logging,status,model_use
repair5g59_additive_fallback,old14,alpha_cong_committed=1.0|alpha_cong_blocked=1.0|alpha_flow_progress=0.0|alpha_flow_wait_or_nonprogress=1.0|rho_cong=1.0|rho_flow=1.0|flow_shield_beta=0.0|max_flow_shield=0.0|c_only=0.0,alpha_cong_committed=1.0|alpha_cong_blocked=1.0|alpha_flow_progress=0.0|alpha_flow_wait_or_nonprogress=1.0|rho_cong=1.0|rho_flow=1.0|flow_shield_beta=0.0|max_flow_shield=0.0|c_only=0.0,True,False,False,False,False,False,,,,
repair5g59_block_heavy_flow_guard,old14,alpha_cong_committed=1.0|alpha_cong_blocked=1.5|alpha_flow_progress=1.0|alpha_flow_wait_or_nonprogress=0.5|rho_cong=0.95|rho_flow=1.0|flow_shield_beta=0.35|max_flow_shield=0.75|c_only=0.0,alpha_cong_committed=1.0|alpha_cong_blocked=1.5|alpha_flow_progress=1.0|alpha_flow_wait_or_nonprogress=0.5|rho_cong=0.95|rho_flow=1.0|flow_shield_beta=0.35|max_flow_shield=0.75|c_only=0.0,True,False,False,False,False,False,,,,
repair5g59_c_only_f_disabled,old14,alpha_cong_committed=1.25|alpha_cong_blocked=1.25|alpha_flow_progress=0.0|alpha_flow_wait_or_nonprogress=0.75|rho_cong=0.95|rho_flow=1.0|flow_shield_beta=0.0|max_flow_shield=0.0|c_only=1.0,alpha_cong_committed=1.25|alpha_cong_blocked=1.25|alpha_flow_progress=0.0|alpha_flow_wait_or_nonprogress=0.75|rho_cong=0.95|rho_flow=1.0|flow_shield_beta=0.0|max_flow_shield=0.0|c_only=1.0,True,False,False,False,False,False,,,,
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,alpha_cong_committed=1.25|alpha_cong_blocked=1.25|alpha_flow_progress=1.0|alpha_flow_wait_or_nonprogress=0.5|rho_cong=0.95|rho_flow=1.0|flow_shield_beta=0.35|max_flow_shield=0.75|c_only=0.0,alpha_cong_committed=1.25|alpha_cong_blocked=1.25|alpha_flow_progress=1.0|alpha_flow_wait_or_nonprogress=0.5|rho_cong=0.95|rho_flow=1.0|flow_shield_beta=0.35|max_flow_shield=0.75|c_only=0.0,True,False,False,False,False,False,,,,
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g518_retained,alpha_cong_committed=1.2|alpha_cong_blocked=1.35|alpha_flow_progress=1.0|alpha_flow_wait_or_nonprogress=0.7|rho_cong=0.95|rho_flow=1.0|flow_shield_beta=0.6|max_flow_shield=0.75|c_only=0.0,alpha_cong_committed=1.2|alpha_cong_blocked=1.35|alpha_flow_progress=1.0|alpha_flow_wait_or_nonprogress=0.7|rho_cong=0.95|rho_flow=1.0|flow_shield_beta=0.6|max_flow_shield=0.75|c_only=0.0,True,False,False,False,False,False,,,,
repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,g522_response_surface,alpha_cong_committed=1.22|alpha_cong_blocked=1.29|alpha_flow_progress=0.78|alpha_flow_wait_or_nonprogress=0.75|rho_cong=0.94|rho_flow=0.94|flow_shield_beta=0.25|max_flow_shield=0.92|c_only=0.0,alpha_cong_committed=1.22|alpha_cong_blocked=1.29|alpha_flow_progress=0.78|alpha_flow_wait_or_nonprogress=0.75|rho_cong=0.94|rho_flow=0.94|flow_shield_beta=0.25|max_flow_shield=0.92|c_only=0.0,True,False,False,False,False,False,,,,
repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,g522_response_surface,alpha_cong_committed=0.87|alpha_cong_blocked=1.57|alpha_flow_progress=1.13|alpha_flow_wait_or_nonprogress=0.79|rho_cong=0.91|rho_flow=0.95|flow_shield_beta=0.54|max_flow_shield=0.89|c_only=0.0,alpha_cong_committed=0.87|alpha_cong_blocked=1.57|alpha_flow_progress=1.13|alpha_flow_wait_or_nonprogress=0.79|rho_cong=0.91|rho_flow=0.95|flow_shield_beta=0.54|max_flow_shield=0.89|c_only=0.0,True,False,False,False,False,False,,,,
,,,,,False,False,False,False,False,exact_priority_block_subreason,False,explicitly_unavailable_exact_v2_audit_not_in_current_logging,not_used_as_feature_when_exact_unavailable
,,,,,False,False,False,False,False,all_failed_candidate_reasons_when_pibt_returns_false,False,explicitly_unavailable_exact_v2_audit_not_in_current_logging,not_used_as_feature_when_exact_unavailable
,,,,,False,False,False,False,False,failed_candidate_rank_histogram_when_pibt_returns_false,False,explicitly_unavailable_exact_v2_audit_not_in_current_logging,not_used_as_feature_when_exact_unavailable
,,,,,False,False,False,False,False,same_checkpoint_counterfactual_edge_label_manifest_or_proxy_status,False,explicitly_unavailable_exact_v2_audit_not_in_current_logging,not_used_as_feature_when_exact_unavailable
