better,bootstrap,equal,ltm_iteration_budget,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
256,"{'mean': -0.01742163125395435, 'ci_low': -0.02032066315269179, 'ci_high': -0.014763124660630149, 'prob_mean_lt_0': 1.0, 'samples': 2000}",120,4,-0.01742163125395435,-0.011293634496999938,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,480,0,64
256,"{'mean': -0.01742163125395435, 'ci_low': -0.02032066315269179, 'ci_high': -0.014763124660630149, 'prob_mean_lt_0': 1.0, 'samples': 2000}",120,4,-0.01742163125395435,-0.011293634496999938,repair5g2_best_frozen_static_candidate,0,480,0,64
89,"{'mean': -0.00012756661393863747, 'ci_low': -0.0016122261886204548, 'ci_high': 0.0013061760725090904, 'prob_mean_lt_0': 0.582, 'samples': 2000}",254,4,-0.00012756661393863747,0.0,repair5g2_c_equiv_best_frozen_baseline,2,480,0,97
233,"{'mean': -0.01807107661460593, 'ci_low': -0.02096328179200684, 'ci_high': -0.015496555799189068, 'prob_mean_lt_0': 1.0, 'samples': 2000}",156,4,-0.01807107661460593,-0.008041627239999904,repair5g2_frozen_static_or_selector,0,480,0,51
256,"{'mean': -0.01742163125395435, 'ci_low': -0.02032066315269179, 'ci_high': -0.014763124660630149, 'prob_mean_lt_0': 1.0, 'samples': 2000}",120,4,-0.01742163125395435,-0.011293634496999938,repair5g2_g1_top_diagnostic_candidate,0,480,0,64
238,"{'mean': -0.015104916538949664, 'ci_low': -0.0178369398225904, 'ci_high': -0.01253800827185584, 'prob_mean_lt_0': 1.0, 'samples': 2000}",131,4,-0.015104916538949664,-0.007821901320000046,repair5g4_random_flow_shield_diagnostic_seed0,0,480,0,71
251,"{'mean': -0.01814949127699545, 'ci_low': -0.02097659543816174, 'ci_high': -0.015509528810325744, 'prob_mean_lt_0': 1.0, 'samples': 2000}",131,4,-0.01814949127699545,-0.009795570689999922,repair5g4_shuffled_flow_shield_diagnostic_seed0,0,480,0,58
3,"{'mean': -0.00017142429248291616, 'ci_low': -0.00047438400849658403, 'ci_high': 2.284185831434604e-06, 'prob_mean_lt_0': 0.9415, 'samples': 2000}",435,4,-0.00017142429248291616,0.0,repair5g_dual_additive_parity,0,480,0,2
2,"{'mean': -0.0001296144901070616, 'ci_low': -0.00043872946851936264, 'ci_high': 5.8549816004555875e-05, 'prob_mean_lt_0': 0.821, 'samples': 2000}",436,4,-0.0001296144901070616,0.0,repair5g_dual_c_equiv_additive,1,480,0,2
109,"{'mean': -0.0008400131148727236, 'ci_low': -0.0023594918961181775, 'ci_high': 0.000607057433988641, 'prob_mean_lt_0': 0.8735, 'samples': 2000}",243,4,-0.0008400131148727236,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,1,480,0,88
