topology_grad_norm,c0_grad_norm,f0_grad_norm,od_grad_norm,scalar_grad_norm,fusion_grad_norm,theta_head_grad_norm,trust_head_grad_norm,model_kind,hidden_dim,size,seed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002815598563756794,B1,64,1,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B2,64,1,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E0,64,1,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E1,64,1,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002815598563756794,B1,96,1,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B2,96,1,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E0,96,1,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E1,96,1,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003761821717489511,B1,64,4,565
0.0,0.0,0.0,0.0,0.00977533363038674,0.0,0.020702374633401632,0.003573950205463916,B2,64,4,565
0.016424416349764215,0.011825287064311851,0.0168141536287294,0.008629715870483778,0.0009362406071886653,0.019811015983577818,0.07400065148249269,0.016900787129998207,E0,64,4,565
0.014529592401231639,0.0,0.0,0.019970759851275943,0.0007842528984838282,0.01043552387272939,0.05603864835575223,0.010216616792604327,E1,64,4,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003761821717489511,B1,96,4,565
0.0,0.0,0.0,0.0,0.011430475919041783,0.0,0.0274877124466002,0.004293514532037079,B2,96,4,565
0.00328106327833666,0.005080128462395805,0.003522262189335379,0.003378686436917633,0.00039781294435670134,0.012854168293415569,0.08514514146372676,0.02251662325579673,E0,96,4,565
0.008722809332539327,0.0,0.0,0.01764894322695909,0.0007346497695834842,0.010305833857273683,0.04897078359499574,0.010226791840977967,E1,96,4,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018545521015767008,B1,64,8,565
0.0,0.0,0.0,0.0,0.00733407522784546,0.0,0.02683051861822605,0.0028443820192478597,B2,64,8,565
0.026244747396049206,0.03871873964817496,0.030124813069051015,0.04855263889476191,0.0020156498885626206,0.021502669202163815,0.04816129012033343,0.00821360998088494,E0,64,8,565
0.15534262621076778,0.0,0.0,0.19667147501604632,0.0052923828407074325,0.04506268200930208,0.055856394581496716,0.007947559177409858,E1,64,8,565
0.01895372367289383,0.029684518103749724,0.013665024353031185,0.06629829076700844,0.000782892589995754,0.020991996687371284,0.04444297030568123,0.009622899466194212,E2,64,8,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018545521015767008,B1,96,8,565
0.0,0.0,0.0,0.0,0.007465759350452572,0.0,0.038120171055197716,0.003465221496298909,B2,96,8,565
0.008956671956184437,0.022261839141719975,0.047335989358543884,0.04844197622151114,0.0007948859697535227,0.02167459379415959,0.05074969120323658,0.011455032567027956,E0,96,8,565
0.0460047938831849,0.0,0.0,0.1267044191772584,0.0020859828327957075,0.019464133016299456,0.04879964608699083,0.00883308716583997,E1,96,8,565
0.011046227765746153,0.023312831286602886,0.05605227415617264,0.028693553991615772,0.0013912966342104482,0.02286171371815726,0.05019499408081174,0.010995453340001404,E2,96,8,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012715581397060305,B1,64,16,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001271558430744335,B1,64,16,566
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012715582852251828,B1,64,16,567
0.0,0.0,0.0,0.0,0.0016398745647165924,0.0,0.006853201659396291,0.0004387710432638414,B2,64,16,565
0.0,0.0,0.0,0.0,0.00199307021102868,0.0,0.006432589143514633,0.0004971727757947519,B2,64,16,566
0.0,0.0,0.0,0.0,0.0025483130593784153,0.0,0.006956626195460558,0.0006917683058418334,B2,64,16,567
0.013512029152479954,0.022354964450642,0.015410086161864456,0.10742379054136109,0.0008467696211482689,0.01487466087564826,0.021038074512034655,0.00442914612358436,E0,64,16,565
0.0024104133476612333,0.006573538203156204,0.003907757805336587,0.01463247493666131,0.00030002156518094125,0.01088859178707935,0.023401998914778233,0.004816103843040764,E0,64,16,566
0.01908507928965264,0.019095088686299277,0.019972679620877898,0.03159370447974652,0.0007191840104496805,0.016560026444494724,0.02525178832001984,0.00488066062098369,E0,64,16,567
0.05661688688269351,0.0,0.0,0.06301307133981027,0.0031316054810304195,0.02039447647985071,0.02668438176624477,0.004168223240412772,E1,64,16,565
0.12497106597584207,0.0,0.0,0.3125068166991696,0.00854881529812701,0.05231946555431932,0.03249248908832669,0.0037959032924845815,E1,64,16,566
0.035379221342736855,0.0,0.0,0.04059409820183646,0.0013731187718803994,0.013952237146440893,0.025417495984584093,0.004137674695812166,E1,64,16,567
0.02592036839996581,0.013643066224176437,0.010012415118580975,0.022946441786189098,0.0007842218301448156,0.01487696438562125,0.021986535051837564,0.004849370801821351,E2,64,16,565
0.0036514703887178257,0.013930194875911184,0.010041659358876132,0.021729361498728395,0.00037575241731246933,0.008427784952800721,0.022711728001013398,0.00403018924407661,E2,64,16,566
0.003613610509546561,0.006286529105636873,0.006599385318622808,0.013064698203379521,0.0006339937367556558,0.011142386618303135,0.025009676348417997,0.004765330639202148,E2,64,16,567
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012715581397060305,B1,96,16,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001271558430744335,B1,96,16,566
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012715582852251828,B1,96,16,567
0.0,0.0,0.0,0.0,0.003693116916110739,0.0,0.010743152815848589,0.0006015288236085325,B2,96,16,565
0.0,0.0,0.0,0.0,0.006608630355913192,0.0,0.011470496654510498,0.0005198105209274217,B2,96,16,566
0.0,0.0,0.0,0.0,0.002809525321936235,0.0,0.008615958970040083,0.0004755598056362942,B2,96,16,567
0.002225846325927705,0.005859210358266864,0.004892077202384826,0.005940565930359298,0.00031683520592196146,0.006372828342136927,0.024672694271430373,0.004816399305127561,E0,96,16,565
0.007797042495894857,0.014116683463726076,0.007115068116945622,0.013630755533085903,0.0006298880889517022,0.009165975701762363,0.029923440655693412,0.004925356828607619,E0,96,16,566
0.025722442858750583,0.034911225142423064,0.006889589066759072,0.03664162297354778,0.0011619225206231931,0.01532640028744936,0.02952975337393582,0.004785566066857427,E0,96,16,567
0.049312145172734745,0.0,0.0,0.07236954421387054,0.001936063876200933,0.017489451623987406,0.028993173968046904,0.004469949228223413,E1,96,16,565
0.05390466265089344,0.0,0.0,0.09109215685748495,0.0030332332498801406,0.023202210199087858,0.03302458021789789,0.004689483903348446,E1,96,16,566
0.07389998497819761,0.0,0.0,0.08597382361767814,0.0028260148901608773,0.02145645406562835,0.031098034931346774,0.0047698941780254245,E1,96,16,567
0.0063565448372173705,0.02013059188175248,0.02164975707182748,0.023928097889438504,0.0007365637557086302,0.01139783818507567,0.024398329900577664,0.00450639909831807,E2,96,16,565
0.0059044163735961774,0.017975571936403867,0.007348177866788319,0.015656934629078023,0.00041725294022398884,0.007969808983034454,0.031601389637216926,0.004898548271739855,E2,96,16,566
0.020597314647602616,0.009640960143769917,0.005065144351647177,0.011293312905763742,0.00032892645367610385,0.0090780367172556,0.02767342422157526,0.004533960804110393,E2,96,16,567
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001530283479951322,B1,64,32,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013559496437665075,B1,64,32,566
