row_type,model,policy,sample_index,selected_policy_utility,candidate_induced_no_solution_count,safe_positive_selected_count,region_match_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,0,0.023550426199,41,82,0.65737704918,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,1,0.027211802548,27,77,0.659016393443,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,2,0.024910753257,49,68,0.647540983607,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,3,0.025717794913,45,68,0.659016393443,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,4,0.02445898772,41,75,0.647540983607,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,5,0.025501048625,44,61,0.662295081967,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,6,0.025897512217,39,76,0.62131147541,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,7,0.021459879053,40,76,0.644262295082,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,8,0.029617945281,38,64,0.639344262295,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,9,0.027012075287,34,64,0.622950819672,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,10,0.026402620656,32,65,0.660655737705,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,11,0.024791289412,33,70,0.650819672131,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,12,0.02426354157,46,69,0.668852459016,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,13,0.025933237567,33,68,0.640983606557,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,14,0.024299532421,35,68,0.668852459016,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,15,0.021824343876,37,81,0.662295081967,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,16,0.026574404518,50,66,0.677049180328,False,False,False,False,False
bootstrap,pairwise_teacher_preference_ranker_topology,pairwise_teacher_preference_ranker_topology,17,0.026870363294,37,65,0.66393442623,False,False,False,False,False
