agents,better,bootstrap,component,equal,map,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,always_additive_defer,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,laur_disable,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,laur_force_additive_direct,0,20,0,0
50,7,"{'mean': 0.002619954474999986, 'ci_low': -0.005255340611000003, 'ci_high': 0.010731414314499954, 'prob_mean_lt_0': 0.2745, 'samples': 2000}",c_equiv_baseline,4,maze-32-32-4,0.002619954474999986,0.0,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,1,20,0,9
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,repair5f_candidate_additive_ltm,0,20,0,0
50,6,"{'mean': 0.005664653612000003, 'ci_low': -0.0011473603624999828, 'ci_high': 0.01240298046399998, 'prob_mean_lt_0': 0.046, 'samples': 2000}",c_equiv_baseline,4,maze-32-32-4,0.005664653612000003,0.0007270964600000207,repair5f_static_c100_b100_w075_d090,1,20,0,10
50,14,"{'mean': -0.014062407515499985, 'ci_low': -0.023881867614499962, 'ci_high': -0.005002565004000004, 'prob_mean_lt_0': 0.9995, 'samples': 2000}",flow_shield,2,maze-32-32-4,-0.014062407515499985,-0.011718759950000046,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,20,0,4
50,13,"{'mean': -0.02019807322, 'ci_low': -0.03240466779349995, 'ci_high': -0.00869366654999999, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,2,maze-32-32-4,-0.02019807322,-0.017371680944999968,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0,20,0,5
50,15,"{'mean': -0.021974741113999996, 'ci_low': -0.03241286534549999, 'ci_high': -0.012548691030499992, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,1,maze-32-32-4,-0.021974741113999996,-0.02127467889500001,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,20,0,4
50,15,"{'mean': -0.021974741113999996, 'ci_low': -0.03241286534549999, 'ci_high': -0.012548691030499992, 'prob_mean_lt_0': 1.0, 'samples': 2000}",frozen_static,1,maze-32-32-4,-0.021974741113999996,-0.02127467889500001,repair5g2_best_frozen_static_candidate,0,20,0,4
50,7,"{'mean': 0.004167266535500025, 'ci_low': -0.0039060626364999518, 'ci_high': 0.013107533958500017, 'prob_mean_lt_0': 0.18, 'samples': 2000}",c_equiv_baseline,4,maze-32-32-4,0.004167266535500025,0.0,repair5g2_c_equiv_best_frozen_baseline,1,20,0,9
50,15,"{'mean': -0.021974741113999996, 'ci_low': -0.03241286534549999, 'ci_high': -0.012548691030499992, 'prob_mean_lt_0': 1.0, 'samples': 2000}",frozen_selector,1,maze-32-32-4,-0.021974741113999996,-0.02127467889500001,repair5g2_frozen_static_or_selector,0,20,0,4
50,15,"{'mean': -0.021974741113999996, 'ci_low': -0.03241286534549999, 'ci_high': -0.012548691030499992, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,1,maze-32-32-4,-0.021974741113999996,-0.02127467889500001,repair5g2_g1_top_diagnostic_candidate,0,20,0,4
50,13,"{'mean': -0.017996560318, 'ci_low': -0.02957490279899999, 'ci_high': -0.007402899504500027, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,2,maze-32-32-4,-0.017996560318,-0.015733355705000007,repair5g2_random_candidate_diagnostic,0,20,0,5
50,16,"{'mean': -0.018540714553499992, 'ci_low': -0.02936346876899999, 'ci_high': -0.009284683610999999, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,1,maze-32-32-4,-0.018540714553499992,-0.01812392756499992,repair5g2_shuffled_flow_shield_diagnostic,0,20,0,3
50,15,"{'mean': -0.015855659231499987, 'ci_low': -0.02732256479599997, 'ci_high': -0.005305573386500018, 'prob_mean_lt_0': 0.999, 'samples': 2000}",synthetic,1,maze-32-32-4,-0.015855659231499987,-0.01608157624999995,repair5g2_shuffled_goal_progress_diagnostic,0,20,0,4
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,repair5g_dual_additive_parity,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,repair5g_dual_c_equiv_additive,0,20,0,0
50,6,"{'mean': 0.007476548089000001, 'ci_low': 0.00011207006150004695, 'ci_high': 0.015469064890499994, 'prob_mean_lt_0': 0.023, 'samples': 2000}",c_equiv_baseline,5,maze-32-32-4,0.007476548089000001,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,1,20,0,9
50,7,"{'mean': 0.004167266535500025, 'ci_low': -0.0039060626364999518, 'ci_high': 0.013107533958500017, 'prob_mean_lt_0': 0.18, 'samples': 2000}",c_equiv_baseline,4,maze-32-32-4,0.004167266535500025,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,1,20,0,9
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,always_additive_defer,0,20,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,laur_disable,0,20,0,0
