checkpoint_id,split,map_name,agents,seed,iteration,selected_rule,selected_decision,selected_rule_harmful,selected_vs_additive_delta
empty-16-16__a100__i10__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,10,0,decay_095,use_nonadditive,False,0.0
empty-16-16__a100__i10__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,10,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i10__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,10,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i10__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,10,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i11__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,11,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i11__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,11,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i11__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,11,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i11__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,11,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i12__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,12,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i12__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,12,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i12__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,12,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i12__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,12,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i13__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,13,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i13__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,13,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i13__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,13,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i13__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,13,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i14__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,14,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i14__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,14,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i14__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,14,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i14__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,14,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i15__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,15,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i15__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,15,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i15__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,15,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i15__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,15,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i16__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,16,0,decay_095,use_nonadditive,False,0.0
empty-16-16__a100__i16__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,16,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i16__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,16,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i16__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,16,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i17__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,17,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i17__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,17,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i17__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,17,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i17__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,17,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i18__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,18,0,decay_095,use_nonadditive,False,0.0
empty-16-16__a100__i18__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,18,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i18__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,18,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i18__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,18,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i19__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,19,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i19__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,19,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i19__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,19,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i19__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,19,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,1,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,1,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,1,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,1,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i20__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,20,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i20__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,20,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i20__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,20,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i20__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,20,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i21__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,21,0,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i21__phase4_phase4-full-repair5-expand5000__iter1,train,empty-16-16,100,21,1,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i21__phase4_phase4-full-repair5-expand5000__iter2,train,empty-16-16,100,21,2,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i21__phase4_phase4-full-repair5-expand5000__iter3,train,empty-16-16,100,21,3,additive_ltm,defer_ltm,False,0.0
empty-16-16__a100__i22__phase4_phase4-full-repair5-expand5000__iter0,train,empty-16-16,100,22,0,additive_ltm,defer_ltm,False,0.0
