normalized_context_key,map,agents,seed,candidate_family,family_candidate_count,family_contains_new_candidate_beating_old14,family_contains_candidate_induced_failure,family_contains_static_recovery,family_best_finite_delta_vs_old14,map_agent_group,map_family,feature_map_agents,feature_map_log_agents,feature_map_iteration,feature_map_trace_event_count,feature_map_trace_events_per_agent,feature_map_trace_events_log,feature_map_family_empty,feature_map_family_maze,feature_map_family_random,feature_map_family_room,feature_map_family_warehouse,feature_map_family_other,feature_rich_committed_count,feature_rich_blocked_count,feature_rich_wait_event_count,feature_rich_progress_committed_count,feature_rich_nonprogress_committed_count,feature_rich_blocked_per_committed,feature_rich_wait_per_committed,feature_rich_blocked_per_agent,feature_rich_committed_per_agent,feature_rich_progress_ratio,feature_rich_c_update_count,feature_rich_f_update_count,feature_rich_c_nonzero_edges,feature_rich_f_nonzero_edges,feature_rich_c_flow_update_ratio,feature_rich_cost_min,feature_rich_cost_max,feature_rich_cost_span,rich_context_feature_present,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a100|s148|it0|14650fb0739d0383,maze-32-32-4,100,148,block_heavy,8,False,False,False,0.0,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13036.0,130.36,9.475546747663,0.0,1.0,0.0,0.0,0.0,0.0,10300.0,1886.0,850.0,5598.0,4702.0,0.183106796117,0.082524271845,18.86,103.0,0.543495145631,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,maze-32-32-4,100,148,commit_heavy,1,False,False,False,0.0804114072,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13036.0,130.36,9.475546747663,0.0,1.0,0.0,0.0,0.0,0.0,10300.0,1886.0,850.0,5598.0,4702.0,0.183106796117,0.082524271845,18.86,103.0,0.543495145631,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,maze-32-32-4,100,148,flow_decay,5,False,True,False,0.07012622721,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13036.0,130.36,9.475546747663,0.0,1.0,0.0,0.0,0.0,0.0,10300.0,1886.0,850.0,5598.0,4702.0,0.183106796117,0.082524271845,18.86,103.0,0.543495145631,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,maze-32-32-4,100,148,flow_shield,1,False,False,False,0.0778401122,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13036.0,130.36,9.475546747663,0.0,1.0,0.0,0.0,0.0,0.0,10300.0,1886.0,850.0,5598.0,4702.0,0.183106796117,0.082524271845,18.86,103.0,0.543495145631,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,maze-32-32-4,100,148,high_beta,12,False,False,False,0.03856942497,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13036.0,130.36,9.475546747663,0.0,1.0,0.0,0.0,0.0,0.0,10300.0,1886.0,850.0,5598.0,4702.0,0.183106796117,0.082524271845,18.86,103.0,0.543495145631,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,maze-32-32-4,100,148,static,2,False,False,False,0.07012622721,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13036.0,130.36,9.475546747663,0.0,1.0,0.0,0.0,0.0,0.0,10300.0,1886.0,850.0,5598.0,4702.0,0.183106796117,0.082524271845,18.86,103.0,0.543495145631,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,maze-32-32-4,100,148,static_boundary_c_only,1,False,False,False,0.17671809257,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13036.0,130.36,9.475546747663,0.0,1.0,0.0,0.0,0.0,0.0,10300.0,1886.0,850.0,5598.0,4702.0,0.183106796117,0.082524271845,18.86,103.0,0.543495145631,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,maze-32-32-4,100,148,wait_conservative,7,False,True,False,0.04698457223,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13036.0,130.36,9.475546747663,0.0,1.0,0.0,0.0,0.0,0.0,10300.0,1886.0,850.0,5598.0,4702.0,0.183106796117,0.082524271845,18.86,103.0,0.543495145631,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,additive,1,False,False,False,0.18811382523,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,block_heavy,8,False,False,False,0.01913875598,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,commit_heavy,1,False,False,False,0.02291614203,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
