map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules,ratio_delta_vs_ltm,expanded_delta_vs_ltm,ttfs_delta_vs_ltm
maze-32-32-4,50,always_additive_defer,10,10,1.0,1.179648373932,418.6,184.7,1.0,20784.6,0.00134,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-4.0
maze-32-32-4,50,lacam_star_ltm,10,10,1.0,1.179648373932,418.6,188.7,1.0,20784.6,0.0,0.0,0.0,0.0,,,,{},,,
maze-32-32-4,50,repair5e2_guarded_oracle_aligned_selector,10,10,1.0,1.179648373932,418.6,185.8,1.0,20784.6,0.35765,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-2.8999999999999773
maze-32-32-4,50,repair5e3_e2_recovery_disabled_parity,10,10,1.0,1.179648373932,418.6,187.8,1.0,20784.6,0.00142,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-0.8999999999999773
maze-32-32-4,50,repair5e3_e2_recovery_shuffled_support_diagnostic,10,10,1.0,1.179648373932,418.6,184.2,1.0,20784.6,0.34192,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-4.5
maze-32-32-4,100,always_additive_defer,10,10,1.0,1.274641298306,570.7,389.4,1.0,76626.8,0.00163,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.6999999999999886
maze-32-32-4,100,lacam_star_ltm,10,10,1.0,1.274641298306,570.7,388.7,1.0,76626.8,0.0,0.0,0.0,0.0,,,,{},,,
maze-32-32-4,100,repair5e2_guarded_oracle_aligned_selector,10,10,1.0,1.277044530069,538.9,388.5,1.0,64830.1,0.38268,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 30}",0.0024032317630000577,-31.800000000000068,-0.19999999999998863
maze-32-32-4,100,repair5e3_e2_recovery_disabled_parity,10,10,1.0,1.274641298306,570.7,390.3,1.0,76626.8,0.0015,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,1.6000000000000227
maze-32-32-4,100,repair5e3_e2_recovery_shuffled_support_diagnostic,10,10,1.0,1.274641298306,570.7,388.4,1.0,76626.8,0.34399,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-0.30000000000001137
random-32-32-20,50,always_additive_defer,10,10,1.0,1.136125751546,225.7,165.4,1.0,11107.4,0.00133,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,1.5
random-32-32-20,50,lacam_star_ltm,10,10,1.0,1.136125751546,225.7,163.9,1.0,11107.4,0.0,0.0,0.0,0.0,,,,{},,,
random-32-32-20,50,repair5e2_guarded_oracle_aligned_selector,10,10,1.0,1.136125751546,227.4,162.3,1.0,11466.5,0.36113,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 30}",0.0,1.700000000000017,-1.5999999999999943
random-32-32-20,50,repair5e3_e2_recovery_disabled_parity,10,10,1.0,1.136125751546,225.7,163.5,1.0,11107.4,0.00154,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-0.4000000000000057
random-32-32-20,50,repair5e3_e2_recovery_shuffled_support_diagnostic,10,10,1.0,1.136125751546,225.7,161.2,1.0,11107.4,0.34932,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-2.700000000000017
random-32-32-20,100,always_additive_defer,10,10,1.0,1.26309792983,282.5,322.4,1.0,36713.9,0.00137,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-7.800000000000011
random-32-32-20,100,lacam_star_ltm,10,10,1.0,1.26309792983,282.5,330.2,1.0,36713.9,0.0,0.0,0.0,0.0,,,,{},,,
random-32-32-20,100,repair5e2_guarded_oracle_aligned_selector,10,10,1.0,1.270130312873,286.0,323.6,1.0,38181.5,0.34772,3.0,1.0,0.0,0.25,0.75,,"{""decay_095"": 30}",0.007032383042999912,3.5,-6.599999999999966
random-32-32-20,100,repair5e3_e2_recovery_disabled_parity,10,10,1.0,1.26309792983,282.5,328.3,1.0,36713.9,0.00147,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-1.8999999999999773
random-32-32-20,100,repair5e3_e2_recovery_shuffled_support_diagnostic,10,10,1.0,1.26309792983,282.5,324.8,1.0,36713.9,0.34723,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-5.399999999999977
warehouse-10-20-10-2-1,50,always_additive_defer,10,10,1.0,1.084755136352,393.6,1298.0,1.0,19527.8,0.02418,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 20}",0.0,0.0,-1.0
warehouse-10-20-10-2-1,50,lacam_star_ltm,10,10,1.0,1.084755136352,393.6,1299.0,1.0,19527.8,0.0,0.0,0.0,0.0,,,,{},,,
warehouse-10-20-10-2-1,50,repair5e2_guarded_oracle_aligned_selector,10,10,1.0,1.084755136352,393.6,1277.8,1.0,19527.8,0.29131,2.0,2.0,0.0,0.5,0.0,,"{""additive_ltm"": 20}",0.0,0.0,-21.200000000000045
warehouse-10-20-10-2-1,50,repair5e3_e2_recovery_disabled_parity,10,10,1.0,1.084755136352,393.6,1239.2,1.0,19527.8,0.00127,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 20}",0.0,0.0,-59.799999999999955
warehouse-10-20-10-2-1,50,repair5e3_e2_recovery_shuffled_support_diagnostic,10,10,1.0,1.084755136352,393.5,1255.8,1.0,19527.8,0.2762,1.9,2.9,0.0,0.6041666666666666,0.0,,"{""additive_ltm"": 19}",0.0,-0.10000000000002274,-43.200000000000045
warehouse-10-20-10-2-1,100,always_additive_defer,10,10,1.0,1.164186801731,207.1,2524.5,1.0,20514.3,0.00071,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 10}",0.0,0.0,31.199999999999818
warehouse-10-20-10-2-1,100,lacam_star_ltm,10,10,1.0,1.164186801731,207.1,2493.3,1.0,20514.3,0.0,0.0,0.0,0.0,,,,{},,,
