project,repo_url,head_commit,source,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
Guidance Graph Optimization,https://github.com/lunjohnzhang/ggo_public,d8de695dbd95c912ee59e8e626d63e511da684a7,git ls-remote HEAD on 2026-06-20,False,False,False,False,False
LaGAT,https://github.com/proroklab/lagat,69e0611d10567daf76db37fe9ca6af92766df188,git ls-remote HEAD on 2026-06-20,False,False,False,False,False
