g562_cycle1_row_id,execution_mode,counts_as_new_g546_solver_row,real_solver_execution,context_key,context_id,role,candidate_id,materialized_method,sampling_policy,map,map_family,agents,seed,budget_ms,iteration,solution_found,probe_feasible,sum_of_loss_ratio,probe_sum_of_loss,probe_lower_bound,probe_runtime_ms,expanded_nodes,low_level_pibt_calls,trace_event_count,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,is_best_candidate_in_context,oracle_gap_vs_static,candidate_recognized,updateparams_hash,updateparams_fingerprint,traffic_before_hash_full,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,feature_map_family_maze,feature_map_family_random,feature_map_family_warehouse,feature_agents,feature_budget_ms,feature_iteration_final,feature_trace_event_count,feature_trace_events_per_agent,feature_pibt_failure_audit_count,feature_expanded_nodes,feature_high_level_expansions,feature_low_level_pibt_calls,feature_expansions_per_agent,feature_budget_per_agent,feature_obstacle_ratio_proxy,feature_corridor_proxy,feature_junction_proxy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g549_solver_row,probe_materialized,no_probe_reason,panel,route,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,theta_cluster,registry_label,candidate_group,fulltheta_registry_row_id,counts_as_g549_calibration_topup,counts_as_g549_fulltheta_replay,context_horizon_key,fulltheta_fingerprint_match,fulltheta_fingerprint_mismatched_fields,plan_row_id,replay_phase,g562_dataset_row_id,g562_instance_uid,g562_evaluation_uid,g562_identity_digest,g562_scenario_sha256,g562_physical_map_sha256,split,generated_theta_uid,expected_updateparams_fingerprint,model_path,variant_id,actor_training_seed,executed,is_actor_row,is_g556_row,is_additive_row,candidate_recognized_bool,fingerprint_parsed,fulltheta_fingerprint_match_strict,force_additive_false,dual_channel_enabled,scenario_sha256_actual,scenario_sha256_match,identity_digest_actual,identity_retained
g562_cycle1_00000000,g562_cycle1_real_solver_row,True,True,random-32-32-20|256|7845|1000|0|14650fb0739d0383,random-32-32-20|a256|s7845|it0|g562_cycle1_random_32_32_20_a256_s7845_hg559_b1000_i4_b1000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,paper_faithful_additive_ltm,random-32-32-20,random,256,7845,1000,0,True,True,1.84996651038,11048,5972,27.832271,86,21741,24413,0,0,False,-0.302746148694,True,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,,,,,,,,,,,,,,,,,,,0,1,0,256,1000,0,24413,95.36328125,0,86,0,21741,0.3359375,3.90625,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,g559_b1000_i4,1000,1000,1.0,4,,,,,,,,random-32-32-20|256|7845|1000|g559_b1000_i4,True,,g562_cycle1_00000210,cycle1,g562_real_graph_000105,04d5a0f35b38629d1aabd29cef285413aeeff791aca37c7a6bec5ab993f869af,20b3859980b82fa5f3a39f51f8e8f626d5ff7a318dda8d64a67757d350e6675a,dac8f2e97872cf513b739124b90b1b8bd57769bf2bb243771d7c97c153904ed6,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,validation,,,,,,True,False,False,True,True,True,True,,,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,True,dac8f2e97872cf513b739124b90b1b8bd57769bf2bb243771d7c97c153904ed6,True
g562_cycle1_00000001,g562_cycle1_real_solver_row,True,True,random-32-32-20|256|7845|1000|0|14650fb0739d0383,random-32-32-20|a256|s7845|it0|g562_cycle1_random_32_32_20_a256_s7845_hg559_b1000_i4_b1000,g556_c063174,g556_c063174,g556_c063174,g556_c063174,random-32-32-20,random,256,7845,1000,0,True,True,1.54722036169,9240,5972,35.182713,65,17136,24413,-0.302746148694,-0.302746148694,True,-0.302746148694,True,5f59f77673998292,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.97993582487106323|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0403397083282471|alpha_flow_wait_progress=0.69326585531234741|rho_cong_decay=0.97993582487106323|rho_flow_decay=1|lambda_cong=0.68415534496307373|lambda_flow=0.64999997615814209|min_edge_cost=1|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.33551126718521118|max_flow_shield=0.85900604724884033,14650fb0739d0383,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,0,1,0,256,1000,0,24413,95.36328125,0,65,0,17136,0.25390625,3.90625,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,g559_b1000_i4,1000,1000,1.0,4,,,,,,,,random-32-32-20|256|7845|1000|g559_b1000_i4,True,,g562_cycle1_00000211,cycle1,g562_real_graph_000105,04d5a0f35b38629d1aabd29cef285413aeeff791aca37c7a6bec5ab993f869af,20b3859980b82fa5f3a39f51f8e8f626d5ff7a318dda8d64a67757d350e6675a,2cfef7a3935c8777345f8560ab420e29f53179038135231cd11038b82e2b0285,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,validation,8973ecece7b24021b8667eb61f0e8b94a3cc7cad4f9f3bd930adc417ed8c8a66,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,,,,True,False,True,False,True,True,True,True,True,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,True,2cfef7a3935c8777345f8560ab420e29f53179038135231cd11038b82e2b0285,True
g562_cycle1_00000002,g562_cycle1_real_solver_row,True,True,random-32-32-20|256|7845|1000|0|14650fb0739d0383,random-32-32-20|a256|s7845|it0|g562_cycle1_random_32_32_20_a256_s7845_hg559_b1000_i4_b1000,generated_theta::g562_cycle1_c0_s562_928d47a7a742,g562_cycle1_c0_s562_928d47a7a742,g562_cycle1_c0_s562_928d47a7a742,C0_seed562_scalar_context_control,random-32-32-20,random,256,7845,1000,0,True,True,1.61369725385,9637,5972,43.438256,108,43394,24413,-0.23626925653,-0.23626925653,False,-0.302746148694,True,139654f7ee8a4cb6,alpha_commit=1.1522566080093384|alpha_block=1.2537015676498413|alpha_wait_spillover=0.77227789163589478|rho_decay=0.97858679294586182|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2037814855575562|alpha_cong_commit_nonprogress=1.1522566080093384|alpha_cong_block=1.2537015676498413|alpha_cong_wait_progress=0.75302314758300781|alpha_cong_wait_nonprogress=0.77227789163589478|alpha_flow_commit_progress=1.03670334815979|alpha_flow_wait_progress=0.6868060827255249|rho_cong_decay=0.97858679294586182|rho_flow_decay=1|lambda_cong=0.6829867959022522|lambda_flow=0.6502385139465332|min_edge_cost=0.95601087808609009|max_edge_cost=10.758941650390625|goal_projection_mode=flow_shield|flow_shield_beta=0.35905012488365173|max_flow_shield=0.91386580467224121,14650fb0739d0383,1.2037814855575562,1.1522566080093384,1.2537015676498413,0.7530231475830078,0.7722778916358948,1.03670334815979,0.6868060827255249,0.9785867929458618,1.0,0.6829867959022522,0.6502385139465332,0.35905012488365173,0.9138658046722412,0.9560108780860901,10.758941650390625,1,0,0,0,1,0,256,1000,0,24413,95.36328125,0,108,0,43394,0.421875,3.90625,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,g559_b1000_i4,1000,1000,1.0,4,,,,,,,,random-32-32-20|256|7845|1000|g559_b1000_i4,True,,g562_cycle1_00000505,cycle1,g562_real_graph_000105,04d5a0f35b38629d1aabd29cef285413aeeff791aca37c7a6bec5ab993f869af,20b3859980b82fa5f3a39f51f8e8f626d5ff7a318dda8d64a67757d350e6675a,ee45f9b1ce11fc7bfd3f9a69c1613c012f567c057fa3a0fb12061ace6cb7c5cc,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,validation,3ff11a1829c10b48b3f66e42048e44d4a44b99a2f8d1cce54a4d66d66600afe4,alpha_commit=1.1522566080093384|alpha_block=1.2537015676498413|alpha_wait_spillover=0.7722778916358948|rho_decay=0.9785867929458618|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2037814855575562|alpha_cong_commit_nonprogress=1.1522566080093384|alpha_cong_block=1.2537015676498413|alpha_cong_wait_progress=0.7530231475830078|alpha_cong_wait_nonprogress=0.7722778916358948|alpha_flow_commit_progress=1.03670334815979|alpha_flow_wait_progress=0.6868060827255249|rho_cong_decay=0.9785867929458618|rho_flow_decay=1.0|lambda_cong=0.6829867959022522|lambda_flow=0.6502385139465332|min_edge_cost=0.9560108780860901|max_edge_cost=10.758941650390625|goal_projection_mode=flow_shield|flow_shield_beta=0.35905012488365173|max_flow_shield=0.9138658046722412,artifacts/models/gcst/g562_c0_scalar_context_control_seed562.pt,C0,562,True,True,False,False,True,True,True,True,True,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,True,ee45f9b1ce11fc7bfd3f9a69c1613c012f567c057fa3a0fb12061ace6cb7c5cc,True
g562_cycle1_00000003,g562_cycle1_real_solver_row,True,True,random-32-32-20|256|7845|1000|0|14650fb0739d0383,random-32-32-20|a256|s7845|it0|g562_cycle1_random_32_32_20_a256_s7845_hg559_b1000_i4_b1000,generated_theta::g562_cycle1_a1_s562_51e417565705,g562_cycle1_a1_s562_51e417565705,g562_cycle1_a1_s562_51e417565705,A1_seed562_dual_stream_c0_f0_graph_actor,random-32-32-20,random,256,7845,1000,0,True,True,1.65254521098,9869,5972,34.761241,63,15868,24413,-0.197421299397,-0.197421299397,False,-0.302746148694,True,f7ac8bcbc6dd5133,alpha_commit=1.149371862411499|alpha_block=1.2605178356170654|alpha_wait_spillover=0.75086569786071777|rho_decay=0.9784964919090271|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2113529443740845|alpha_cong_commit_nonprogress=1.149371862411499|alpha_cong_block=1.2605178356170654|alpha_cong_wait_progress=0.74708801507949829|alpha_cong_wait_nonprogress=0.75086569786071777|alpha_flow_commit_progress=1.0512257814407349|alpha_flow_wait_progress=0.68867969512939453|rho_cong_decay=0.9784964919090271|rho_flow_decay=0.99328941106796265|lambda_cong=0.68695133924484253|lambda_flow=0.65531200170516968|min_edge_cost=0.95914793014526367|max_edge_cost=10.759486198425293|goal_projection_mode=flow_shield|flow_shield_beta=0.37415662407875061|max_flow_shield=0.91480737924575806,14650fb0739d0383,1.2113529443740845,1.149371862411499,1.2605178356170654,0.7470880150794983,0.7508656978607178,1.0512257814407349,0.6886796951293945,0.9784964919090271,0.9932894110679626,0.6869513392448425,0.6553120017051697,0.3741566240787506,0.9148073792457581,0.9591479301452637,10.759486198425293,1,0,0,0,1,0,256,1000,0,24413,95.36328125,0,63,0,15868,0.24609375,3.90625,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,g559_b1000_i4,1000,1000,1.0,4,,,,,,,,random-32-32-20|256|7845|1000|g559_b1000_i4,True,,g562_cycle1_00000705,cycle1,g562_real_graph_000105,04d5a0f35b38629d1aabd29cef285413aeeff791aca37c7a6bec5ab993f869af,20b3859980b82fa5f3a39f51f8e8f626d5ff7a318dda8d64a67757d350e6675a,27871697ddd219b91db4e674a18a52403fa397bb6b6981fffab9bab258d1373c,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,validation,7bde416cb0c38e67fc87329537305be2baa3d6067643d261c909da8cc0c28f47,alpha_commit=1.149371862411499|alpha_block=1.2605178356170654|alpha_wait_spillover=0.7508656978607178|rho_decay=0.9784964919090271|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2113529443740845|alpha_cong_commit_nonprogress=1.149371862411499|alpha_cong_block=1.2605178356170654|alpha_cong_wait_progress=0.7470880150794983|alpha_cong_wait_nonprogress=0.7508656978607178|alpha_flow_commit_progress=1.0512257814407349|alpha_flow_wait_progress=0.6886796951293945|rho_cong_decay=0.9784964919090271|rho_flow_decay=0.9932894110679626|lambda_cong=0.6869513392448425|lambda_flow=0.6553120017051697|min_edge_cost=0.9591479301452637|max_edge_cost=10.759486198425293|goal_projection_mode=flow_shield|flow_shield_beta=0.3741566240787506|max_flow_shield=0.9148073792457581,artifacts/models/gcst/g562_a1_dual_stream_c0_f0_graph_actor_seed562.pt,A1,562,True,True,False,False,True,True,True,True,True,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,True,27871697ddd219b91db4e674a18a52403fa397bb6b6981fffab9bab258d1373c,True
g562_cycle1_00000004,g562_cycle1_real_solver_row,True,True,random-32-32-20|256|7845|1000|0|14650fb0739d0383,random-32-32-20|a256|s7845|it0|g562_cycle1_random_32_32_20_a256_s7845_hg559_b1000_i4_b1000,generated_theta::g562_cycle1_a1_s563_5a45b8a648a7,g562_cycle1_a1_s563_5a45b8a648a7,g562_cycle1_a1_s563_5a45b8a648a7,A1_seed563_dual_stream_c0_f0_graph_actor,random-32-32-20,random,256,7845,1000,0,True,True,1.58924983255,9491,5972,34.227553,61,15351,24413,-0.26071667783,-0.26071667783,False,-0.302746148694,True,b182fb483ddc05fc,alpha_commit=1.1612703800201416|alpha_block=1.2516673803329468|alpha_wait_spillover=0.76687324047088623|rho_decay=0.97891461849212646|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2035958766937256|alpha_cong_commit_nonprogress=1.1612703800201416|alpha_cong_block=1.2516673803329468|alpha_cong_wait_progress=0.74283063411712646|alpha_cong_wait_nonprogress=0.76687324047088623|alpha_flow_commit_progress=1.0350445508956909|alpha_flow_wait_progress=0.68805676698684692|rho_cong_decay=0.97891461849212646|rho_flow_decay=0.9924587607383728|lambda_cong=0.68122768402099609|lambda_flow=0.64918535947799683|min_edge_cost=0.94334781169891357|max_edge_cost=10.771766662597656|goal_projection_mode=flow_shield|flow_shield_beta=0.36111503839492798|max_flow_shield=0.9022444486618042,14650fb0739d0383,1.2035958766937256,1.1612703800201416,1.2516673803329468,0.7428306341171265,0.7668732404708862,1.035044550895691,0.6880567669868469,0.9789146184921265,0.9924587607383728,0.6812276840209961,0.6491853594779968,0.361115038394928,0.9022444486618042,0.9433478116989136,10.771766662597656,1,0,0,0,1,0,256,1000,0,24413,95.36328125,0,61,0,15351,0.23828125,3.90625,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,g559_b1000_i4,1000,1000,1.0,4,,,,,,,,random-32-32-20|256|7845|1000|g559_b1000_i4,True,,g562_cycle1_00000905,cycle1,g562_real_graph_000105,04d5a0f35b38629d1aabd29cef285413aeeff791aca37c7a6bec5ab993f869af,20b3859980b82fa5f3a39f51f8e8f626d5ff7a318dda8d64a67757d350e6675a,007b0a9e4b84a49334c0d9337245302082dabf1219470d7e95bd666ca47e9fe2,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,validation,4bf92cf48dc82317f607303dd7adf78e96d62df818aa317c3d63bef7bd6a3086,alpha_commit=1.1612703800201416|alpha_block=1.2516673803329468|alpha_wait_spillover=0.7668732404708862|rho_decay=0.9789146184921265|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2035958766937256|alpha_cong_commit_nonprogress=1.1612703800201416|alpha_cong_block=1.2516673803329468|alpha_cong_wait_progress=0.7428306341171265|alpha_cong_wait_nonprogress=0.7668732404708862|alpha_flow_commit_progress=1.035044550895691|alpha_flow_wait_progress=0.6880567669868469|rho_cong_decay=0.9789146184921265|rho_flow_decay=0.9924587607383728|lambda_cong=0.6812276840209961|lambda_flow=0.6491853594779968|min_edge_cost=0.9433478116989136|max_edge_cost=10.771766662597656|goal_projection_mode=flow_shield|flow_shield_beta=0.361115038394928|max_flow_shield=0.9022444486618042,artifacts/models/gcst/g562_a1_dual_stream_c0_f0_graph_actor_seed563.pt,A1,563,True,True,False,False,True,True,True,True,True,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,True,007b0a9e4b84a49334c0d9337245302082dabf1219470d7e95bd666ca47e9fe2,True
g562_cycle1_00000005,g562_cycle1_real_solver_row,True,True,random-32-32-20|256|7845|1000|0|14650fb0739d0383,random-32-32-20|a256|s7845|it0|g562_cycle1_random_32_32_20_a256_s7845_hg559_b1000_i4_b1000,generated_theta::g562_cycle1_a1_s564_bff353e85e23,g562_cycle1_a1_s564_bff353e85e23,g562_cycle1_a1_s564_bff353e85e23,A1_seed564_dual_stream_c0_f0_graph_actor,random-32-32-20,random,256,7845,1000,0,True,True,1.63697253851,9776,5972,34.904259,67,16886,24413,-0.212993971869,-0.212993971869,False,-0.302746148694,True,d5a9248b463eb92a,alpha_commit=1.1502397060394287|alpha_block=1.2554219961166382|alpha_wait_spillover=0.7717205286026001|rho_decay=0.97842079401016235|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2023448944091797|alpha_cong_commit_nonprogress=1.1502397060394287|alpha_cong_block=1.2554219961166382|alpha_cong_wait_progress=0.74722504615783691|alpha_cong_wait_nonprogress=0.7717205286026001|alpha_flow_commit_progress=1.0350717306137085|alpha_flow_wait_progress=0.70335352420806885|rho_cong_decay=0.97842079401016235|rho_flow_decay=1|lambda_cong=0.67852592468261719|lambda_flow=0.65936386585235596|min_edge_cost=0.94648432731628418|max_edge_cost=10.761757850646973|goal_projection_mode=flow_shield|flow_shield_beta=0.36663615703582764|max_flow_shield=0.92493504285812378,14650fb0739d0383,1.2023448944091797,1.1502397060394287,1.2554219961166382,0.7472250461578369,0.7717205286026001,1.0350717306137085,0.7033535242080688,0.9784207940101624,1.0,0.6785259246826172,0.659363865852356,0.36663615703582764,0.9249350428581238,0.9464843273162842,10.761757850646973,1,0,0,0,1,0,256,1000,0,24413,95.36328125,0,67,0,16886,0.26171875,3.90625,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,g559_b1000_i4,1000,1000,1.0,4,,,,,,,,random-32-32-20|256|7845|1000|g559_b1000_i4,True,,g562_cycle1_00001105,cycle1,g562_real_graph_000105,04d5a0f35b38629d1aabd29cef285413aeeff791aca37c7a6bec5ab993f869af,20b3859980b82fa5f3a39f51f8e8f626d5ff7a318dda8d64a67757d350e6675a,110e999dceb2f2356d78b68fd9328823bd9aab592b7690c93a699fd19864628a,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,validation,9ff100a2b5c805384a197e62c633da7182285c2281b2562c617dc2e5f747df6f,alpha_commit=1.1502397060394287|alpha_block=1.2554219961166382|alpha_wait_spillover=0.7717205286026001|rho_decay=0.9784207940101624|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2023448944091797|alpha_cong_commit_nonprogress=1.1502397060394287|alpha_cong_block=1.2554219961166382|alpha_cong_wait_progress=0.7472250461578369|alpha_cong_wait_nonprogress=0.7717205286026001|alpha_flow_commit_progress=1.0350717306137085|alpha_flow_wait_progress=0.7033535242080688|rho_cong_decay=0.9784207940101624|rho_flow_decay=1.0|lambda_cong=0.6785259246826172|lambda_flow=0.659363865852356|min_edge_cost=0.9464843273162842|max_edge_cost=10.761757850646973|goal_projection_mode=flow_shield|flow_shield_beta=0.36663615703582764|max_flow_shield=0.9249350428581238,artifacts/models/gcst/g562_a1_dual_stream_c0_f0_graph_actor_seed564.pt,A1,564,True,True,False,False,True,True,True,True,True,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,True,110e999dceb2f2356d78b68fd9328823bd9aab592b7690c93a699fd19864628a,True
g562_cycle1_00000006,g562_cycle1_real_solver_row,True,True,random-32-32-20|256|7845|1000|0|14650fb0739d0383,random-32-32-20|a256|s7845|it0|g562_cycle1_random_32_32_20_a256_s7845_hg559_b1000_i4_b1000,generated_theta::g562_cycle1_a2_s562_33971043c04a,g562_cycle1_a2_s562_33971043c04a,g562_cycle1_a2_s562_33971043c04a,A2_seed562_od_graph_cross_attention_actor,random-32-32-20,random,256,7845,1000,0,True,True,1.63998660415,9794,5972,34.297462,66,16624,24413,-0.209979906229,-0.209979906229,False,-0.302746148694,True,179489a73d039490,alpha_commit=1.1515933275222778|alpha_block=1.2497924566268921|alpha_wait_spillover=0.75162243843078613|rho_decay=0.97807782888412476|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2024909257888794|alpha_cong_commit_nonprogress=1.1515933275222778|alpha_cong_block=1.2497924566268921|alpha_cong_wait_progress=0.7508772611618042|alpha_cong_wait_nonprogress=0.75162243843078613|alpha_flow_commit_progress=1.0559413433074951|alpha_flow_wait_progress=0.68163782358169556|rho_cong_decay=0.97807782888412476|rho_flow_decay=0.99384599924087524|lambda_cong=0.69350260496139526|lambda_flow=0.65610545873641968|min_edge_cost=0.95343983173370361|max_edge_cost=10.76177978515625|goal_projection_mode=flow_shield|flow_shield_beta=0.36231788992881775|max_flow_shield=0.90936756134033203,14650fb0739d0383,1.2024909257888794,1.1515933275222778,1.249792456626892,0.7508772611618042,0.7516224384307861,1.0559413433074951,0.6816378235816956,0.9780778288841248,0.9938459992408752,0.6935026049613953,0.6561054587364197,0.36231788992881775,0.909367561340332,0.9534398317337036,10.76177978515625,1,0,0,0,1,0,256,1000,0,24413,95.36328125,0,66,0,16624,0.2578125,3.90625,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,g559_b1000_i4,1000,1000,1.0,4,,,,,,,,random-32-32-20|256|7845|1000|g559_b1000_i4,True,,g562_cycle1_00001305,cycle1,g562_real_graph_000105,04d5a0f35b38629d1aabd29cef285413aeeff791aca37c7a6bec5ab993f869af,20b3859980b82fa5f3a39f51f8e8f626d5ff7a318dda8d64a67757d350e6675a,462d2a0df7457e95d8808a9db6931d0f0613898d9c7eb58207ca35d0315c78a9,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,validation,53cd039b891588f399c140eb9ab3cd8c88c9649f6fca4d663b1eebcb88e91132,alpha_commit=1.1515933275222778|alpha_block=1.249792456626892|alpha_wait_spillover=0.7516224384307861|rho_decay=0.9780778288841248|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2024909257888794|alpha_cong_commit_nonprogress=1.1515933275222778|alpha_cong_block=1.249792456626892|alpha_cong_wait_progress=0.7508772611618042|alpha_cong_wait_nonprogress=0.7516224384307861|alpha_flow_commit_progress=1.0559413433074951|alpha_flow_wait_progress=0.6816378235816956|rho_cong_decay=0.9780778288841248|rho_flow_decay=0.9938459992408752|lambda_cong=0.6935026049613953|lambda_flow=0.6561054587364197|min_edge_cost=0.9534398317337036|max_edge_cost=10.76177978515625|goal_projection_mode=flow_shield|flow_shield_beta=0.36231788992881775|max_flow_shield=0.909367561340332,artifacts/models/gcst/g562_a2_od_graph_cross_attention_actor_seed562.pt,A2,562,True,True,False,False,True,True,True,True,True,4e89da96f14e3e059b14fc21912d150e187ee90a06573c7a16e576a0cc11edd9,True,462d2a0df7457e95d8808a9db6931d0f0613898d9c7eb58207ca35d0315c78a9,True
