pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_rows_existing,success_regression_count_existing,quality_delta_existing,support_strata_existing
g554_pool_103495501689,g553_zero_regression_low_support,repair5g549_theta_549000801,1.68798522403,0.221318557364,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1.05136889726,0.95,1,0.953084293831,1.19996160008,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,-0.000194592783333,4
g554_pool_822522452931,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000801_t035,0.59079482841,0.908712832574,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.367979114041,0.95,1,0.983579502841,0.419986560028,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,-0.000194592783333,
g554_pool_624110737661,g553_zero_regression_low_support,repair5g549_theta_549000771,1.49935908128,0.066106747786,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1.03082253835,0.95,1,1.02474155052,0.974939250121,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,-0.00015828767,4
g554_pool_934775929864,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000771_t035,0.524775678446,0.959210073581,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.360787888422,0.95,1,1.00865954268,0.341228737542,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,-0.00015828767,
g554_pool_909223202159,g553_zero_regression_low_support,repair5g549_theta_549001149,2.1300997198,0.663433053133,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,0.820978008044,1.25,0.75,0.75,1,1,0.95,1,0.856010787978,1.26433937132,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,7.29670171429e-05,4
g554_pool_280220840415,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001149_t035,0.745534901927,1.06217652864,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.09984230282,1.25,0.75,0.75,1,0.35,0.95,1,0.949603775792,0.442518779962,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,7.29670171429e-05,
g554_pool_316775518428,g553_zero_regression_low_support,repair5g549_theta_549001168,2.51552365895,1.04885699228,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_min_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1.09946360107,0.95,1,0.850446249108,1,0.35,0.75,0.385200729599,11,1,0,0,False,False,False,False,False,29,0,0.000166416742381,4
g554_pool_699075445597,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001168_t035,0.880433280632,1.26473366403,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_min_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.384812260375,0.95,1,0.947656187188,0.35,0.35,0.75,0.78482025536,11,1,0,0,False,False,False,False,False,29,0,0.000166416742381,
g554_pool_215382515753,g553_zero_regression_low_support,repair5g549_theta_549000844,1.84627140746,0.37960474079,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.74546475907,10.8391023218,1,0,0,False,False,False,False,False,29,0,0.000287649084118,4
g554_pool_659578576423,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000844_t035,0.646194992617,1.08619499262,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.910912665675,10.9436858126,1,0,0,False,False,False,False,False,29,0,0.000287649084118,
