pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_rows_existing,success_regression_count_existing,quality_delta_existing,support_strata_existing
g554_pool_092042556857,current_hand_static_flow_shield,repair5g59_static_flow_shield,0,1.46666666667,,True,False,hand_static_reference,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False,,,,
g554_pool_402801924312,legacy_helper_static_flow_reference,legacy_helper_static_flow_theta,1.46666666667,0,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,legacy_helper_reference,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,,,,
g554_pool_714474640946,hand_legacy_midpoint,hand_helper_t050,0.733333333333,0.733333333333,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,hand_legacy_midpoint,1.25,1.25,1.25,0.75,0.75,1,0.5,0.95,1,1,0.5,0.35,0.75,1,11,1,0,0,False,False,False,False,False,,,,
g554_pool_886732688484,g553_zero_regression_low_support,repair5g550_theta_550000006,2.12141655717,0.654749890501,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,0.972530304939,1.25,0.75,0.75,1,1,0.95,1,0.567225865548,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.0269682956243,15
g554_pool_004721241140,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000006_t035,0.742495795007,1.18249579501,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.15288560673,1.25,0.75,0.75,1,0.35,0.95,1,0.848529052942,0.35,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.0269682956243,
g554_pool_376562541472,g553_zero_regression_low_support,repair5g550_theta_550000005,1.93091353817,0.464246871503,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.0227469364649,15
g554_pool_970675734615,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000005_t035,0.675819738358,1.11581973836,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.31238860022,1.25,0.75,0.75,1,0.35,0.95,1,0.887424475151,0.35,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.0227469364649,
g554_pool_477641622861,g553_zero_regression_low_support,repair5g550_theta_550000004,1.54155449275,0.074887826087,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.16323412504,1.25,0.75,0.75,1,1,0.95,1,0.994524873881,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.000802996415286,15
g554_pool_290098587663,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000004_t035,0.539544072467,0.979544072467,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.21963194376,1.25,0.75,0.75,1,0.35,0.95,1,0.998083705858,0.35,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.000802996415286,
g554_pool_895719593230,g553_zero_regression_low_support,repair5g550_theta_550000062,1.98879199882,1.15529133451,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.4875,1.25,0.75,0.75,1,0.700657335496,0.95,1,0.78,0.884336695637,0.4095,0.87,0.93,10.34,1,0,0,False,False,False,False,False,199,0,-0.0287088283298,15
g554_pool_802904230763,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000062_t035,0.696077199588,1.35768530041,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.333125,1.25,0.75,0.75,1,0.245230067424,0.95,1,0.923,0.309517843473,0.370825,0.792,0.9755,10.769,1,0,0,False,False,False,False,False,199,0,-0.0287088283298,
g554_pool_166324669834,g553_zero_regression_low_support,repair5g550_theta_550000115,2.11834440145,1.18234440145,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.4125,1.25,0.75,0.75,1,0.81,0.95,1,1.05,0.83,0.329,0.915,0.68394829434,11.6294351756,1,0,0,False,False,False,False,False,199,0,-0.0198681880039,15
g554_pool_727054413297,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000115_t035,0.741420540516,1.36715387385,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.306875,1.25,0.75,0.75,1,0.2835,0.95,1,1.0175,0.2905,0.34265,0.80775,0.889381903019,11.2203023115,1,0,0,False,False,False,False,False,199,0,-0.0198681880039,
g554_pool_309378968904,g553_zero_regression_low_support,repair5g550_theta_550000077,2.53242536249,1.29775869583,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.3875,1.25,0.75,0.75,1,0.93,0.95,1,0.95,0.91,0.322,0.885,0.734283287597,8.90212101617,1,0,0,False,False,False,False,False,199,0,-0.0177968950832,15
g554_pool_784816777817,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000077_t035,0.886348876863,1.40754887686,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.298125,1.25,0.75,0.75,1,0.3255,0.95,1,0.9825,0.3185,0.3402,0.79725,0.906999150659,10.2657423557,1,0,0,False,False,False,False,False,199,0,-0.0177968950832,
g554_pool_630196871593,g553_zero_regression_low_support,repair5g550_theta_550000076,2.66152660394,1.51485993727,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.475,1.25,0.75,0.75,1,0.8,0.95,1,1.12,1.11,0.4095,0.87,0.747053431729,9.10444194836,1,0,0,False,False,False,False,False,199,0,-0.0169951130913,15
g554_pool_435904289718,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000076_t035,0.931534311385,1.43220097805,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.32875,1.25,0.75,0.75,1,0.28,0.95,1,1.042,0.3885,0.370825,0.792,0.911468701105,10.3365546819,1,0,0,False,False,False,False,False,199,0,-0.0169951130913,
g554_pool_500648308103,g553_zero_regression_low_support,repair5g550_theta_550000121,1.93168477767,0.667684777669,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.1625,1.25,0.75,0.75,1,0.94,0.95,1,0.92,0.92,0.3815,0.7875,0.773436856217,10.8204309895,1,0,0,False,False,False,False,False,199,0,-0.016972547699,15
g554_pool_328764020785,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000121_t035,0.67608967219,1.18702300552,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.219375,1.25,0.75,0.75,1,0.329,0.95,1,0.972,0.322,0.361025,0.763125,0.920702899676,10.9371508463,1,0,0,False,False,False,False,False,199,0,-0.016972547699,
g554_pool_833663872992,g553_zero_regression_low_support,repair5g550_theta_550000082,2.60102510182,1.29435843516,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.2,1.25,0.75,0.75,1,1.14,0.95,1,0.81,0.88,0.322,0.795,0.574656485946,11.936934999,1,0,0,False,False,False,False,False,199,0,-0.0160323562102,16
g554_pool_958659486484,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000082_t035,0.910358785625,1.32795878563,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.2325,1.25,0.75,0.75,1,0.399,0.95,1,0.9335,0.308,0.3402,0.76575,0.851129770081,11.3279272496,1,0,0,False,False,False,False,False,199,0,-0.0160323562102,
g554_pool_281747590828,g553_zero_regression_low_support,repair5g550_theta_550000090,2.80877539728,1.40877539728,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.025,1.25,0.75,0.75,1,1.21,0.95,1,0.91,0.95,0.392,0.81,0.708742999333,9.20560241445,1,0,0,False,False,False,False,False,199,0,-0.0139006955548,16
g554_pool_963126602894,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000090_t035,0.983071389036,1.32880472237,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.17125,1.25,0.75,0.75,1,0.4235,0.95,1,0.9685,0.3325,0.3647,0.771,0.898060049767,10.3719608451,1,0,0,False,False,False,False,False,199,0,-0.0139006955548,
g554_pool_352054850572,g553_zero_regression_low_support,repair5g550_theta_550000086,2.11171875769,1.17838542436,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.425,1.25,0.75,0.75,1,0.8,0.95,1,1.05,0.84,0.3955,0.81,0.77897879206,9.71140474492,1,0,0,False,False,False,False,False,199,0,-0.0100584045719,15
g554_pool_395144629851,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000086_t035,0.739101565197,1.36576823186,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.31125,1.25,0.75,0.75,1,0.28,0.95,1,1.0175,0.294,0.365925,0.771,0.922642577221,10.5489916607,1,0,0,False,False,False,False,False,199,0,-0.0100584045719,
g554_pool_531106647733,g553_zero_regression_low_support,repair5g550_theta_550000119,2.19888437232,1.03621770566,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.0875,1.25,0.75,0.75,1,0.81,0.95,1,1.16,1.09,0.329,0.855,0.696732374608,10.9215565128,1,0,0,False,False,False,False,False,199,0,-0.00997641701659,15
g554_pool_151375026028,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000119_t035,0.769609530308,1.27400953031,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.193125,1.25,0.75,0.75,1,0.2835,0.95,1,1.056,0.3815,0.34265,0.78675,0.893856331113,10.9725447795,1,0,0,False,False,False,False,False,199,0,-0.00997641701659,
g554_pool_947597303304,g553_zero_regression_low_support,repair5g550_theta_550000063,1.27389607141,1.15952059526,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.0625,1.25,0.75,0.75,1,0.46908414834,0.95,1,0.85,0.622880629101,0.3675,0.72,1,10.45,1,0,0,False,False,False,False,False,199,0,-0.00596519128252,15
g554_pool_942116581546,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000063_t035,0.445863624992,1.35916554167,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.184375,1.25,0.75,0.75,1,0.164179451919,0.95,1,0.9475,0.218008220185,0.356125,0.7395,1,10.8075,1,0,0,False,False,False,False,False,199,0,-0.00596519128252,
g554_pool_309592371789,g553_zero_regression_low_support,repair5g550_theta_550000087,2.96788506311,1.67455172978,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.35,1.25,0.75,0.75,1,1.2,0.95,1,1.15,0.87,0.371,0.8175,0.517190837351,9.10444194836,1,0,0,False,False,False,False,False,199,0,-0.00436769645952,15
g554_pool_944582521446,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000087_t035,1.03875977209,1.42742643876,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.285,1.25,0.75,0.75,1,0.42,0.95,1,1.0525,0.3045,0.35735,0.773625,0.831016793073,10.3365546819,1,0,0,False,False,False,False,False,199,0,-0.00436769645952,
g554_pool_475636201350,g553_zero_regression_low_support,repair5g550_theta_550000109,3.08697195852,1.62030529185,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.3125,1.25,0.75,0.75,1,1.17,0.95,1,1.1,1.22,0.273,0.8475,0.728692575279,8.3934184311,1,0,0,False,False,False,False,False,199,0,-0.00320606277153,15
g554_pool_224664760095,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000109_t035,1.08044018548,1.32257351881,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.271875,1.25,0.75,0.75,1,0.4095,0.95,1,1.035,0.427,0.32305,0.784125,0.905042401348,10.0876964509,1,0,0,False,False,False,False,False,199,0,-0.00320606277153,
g554_pool_699391555942,g553_zero_regression_low_support,repair5g550_theta_550000081,2.94859644816,1.54592978149,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,0.9875,1.25,0.75,0.75,1,0.96,0.95,1,1.21,1.16,0.2975,0.87,0.56827141388,12,1,0,0,False,False,False,False,False,199,0,-0.000874521535851,15
g554_pool_306571619457,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000081_t035,1.03200875686,1.41974209019,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.158125,1.25,0.75,0.75,1,0.336,0.95,1,1.0735,0.406,0.331625,0.792,0.848894994858,11.35,1,0,0,False,False,False,False,False,199,0,-0.000874521535851,
g554_pool_352377269401,g553_zero_regression_low_support,repair5g550_theta_550000067,2.16964540553,0.702978738867,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.638507206606,10.1160466093,1,0,0,False,False,False,False,False,199,0,-0.000782133224097,16
g554_pool_829771830987,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000067_t035,0.759375891926,1.19937589193,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.873477522312,10.6906163133,1,0,0,False,False,False,False,False,199,0,-0.000782133224097,
g554_pool_315281524088,g553_zero_regression_low_support,repair5g550_theta_550000068,1.64241135139,0.175744684722,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.909626801652,10.7790116523,1,0,0,False,False,False,False,False,199,0,-0.000118912692507,15
g554_pool_982161685670,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000068_t035,0.574843972988,1.01484397299,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.968369380578,10.9226540783,1,0,0,False,False,False,False,False,199,0,-0.000118912692507,
g554_pool_028060983084,g553_zero_regression_low_support,repair5g550_theta_550000069,1.81815603611,0.351489369446,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.819253603303,10.5580233046,1,0,0,False,False,False,False,False,199,0,0.000712495198338,15
g554_pool_083993975413,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000069_t035,0.636354612642,1.07635461264,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.936738761156,10.8453081566,1,0,0,False,False,False,False,False,199,0,0.000712495198338,
g554_pool_056646084608,g553_zero_regression_low_support,repair5g550_theta_550000070,1.99390072081,0.527234054143,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.728880404955,10.337034957,1,0,0,False,False,False,False,False,199,0,0.00131000008426,15
g554_pool_513178087507,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000070_t035,0.697865252296,1.1378652523,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.35,0.35,0.75,0.905108141734,10.7679622349,1,0,0,False,False,False,False,False,199,0,0.00131000008426,
g554_pool_223484863244,g553_zero_regression_low_support,repair5g550_theta_550000066,1.74632933599,1.15908733068,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.4875,1.25,0.75,0.75,1,0.540337436696,0.95,1,0.96,0.892026579947,0.3185,0.6,1,9.68,1,0,0,False,False,False,False,False,199,0,0.0199652797532,15
g554_pool_942158772335,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000066_t035,0.611215267596,1.35901389907,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.333125,1.25,0.75,0.75,1,0.189118102844,0.95,1,0.986,0.312209302981,0.338975,0.6975,1,10.538,1,0,0,False,False,False,False,False,199,0,0.0199652797532,
g554_pool_601189730440,g553_zero_regression_low_support,repair5g550_theta_550000078,2.59170187785,1.47703521119,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.4375,1.25,0.75,0.75,1,0.88,0.95,1,1.08,0.88,0.385,0.585,0.759823575861,8.69980008399,1,0,0,False,False,False,False,False,199,0,0.0290890611841,15
g554_pool_319775856024,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000078_t035,0.907095657249,1.47029565725,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.315625,1.25,0.75,0.75,1,0.308,0.95,1,1.028,0.308,0.36225,0.69225,0.915938251551,10.1949300294,1,0,0,False,False,False,False,False,199,0,0.0290890611841,
g554_pool_890176779247,g553_zero_regression_low_support,repair5g550_theta_550000023,2.39700840337,0.930341736698,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.04356719338,1.25,0.75,0.75,1,1.11,0.95,1,0.933137841931,1.19,0.378,0.915,0.95,12,1,0,0,False,False,False,False,False,190,0,-0.0212226670965,14
g554_pool_434136745114,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000023_t035,0.83895294118,1.12868627451,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.17774851768,1.25,0.75,0.75,1,0.3885,0.95,1,0.976598244676,0.4165,0.3598,0.80775,0.9825,11.35,1,0,0,False,False,False,False,False,190,0,-0.0212226670965,
g554_pool_835582153880,g553_zero_regression_low_support,repair5g550_theta_550000024,2.43843241037,1.03576574371,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.06625343672,1.25,0.75,0.75,1,0.96,0.95,1,0.94306484025,1.1,0.392,0.72,0.92,8.8,1,0,0,False,False,False,False,False,189,0,-0.00123242054182,14
g554_pool_159181943285,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000024_t035,0.853451343633,1.26918467697,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.18568870285,1.25,0.75,0.75,1,0.336,0.95,1,0.980072694087,0.385,0.3647,0.7395,0.972,10.23,1,0,0,False,False,False,False,False,189,0,-0.00123242054182,
g554_pool_016452950036,g553_zero_regression_low_support,repair5g550_theta_550000050,1.73829036511,1.49137630156,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.525,1.25,0.75,0.75,1,0.47502192237,0.95,1,0.89,0.715159240819,0.308,0.8925,1,9.46,1,0,0,False,False,False,False,False,188,0,-0.0199181261837,15
g554_pool_621512800732,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000050_t035,0.608401627788,1.47531503888,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,1.25,1.34625,1.25,0.75,0.75,1,0.166257672829,0.95,1,0.9615,0.250305734287,0.3353,0.799875,1,10.461,1,0,0,False,False,False,False,False,188,0,-0.0199181261837,
g554_pool_505675937858,g553_zero_regression_low_support,repair5g550_theta_550000026,2.35569015858,1.07569015858,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.3158021134,1.25,0.75,0.75,1,1.1,0.95,1,0.794159865474,0.86,0.3325,0.585,0.82,12,1,0,0,False,False,False,False,False,187,0,0.00900167848977,14
