artifact,path,exists,rows_or_file,bytes,sha256_if_compact,commit_policy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,outputs/reports/phase5p5_repair5g554_decision_summary.json,True,1,1007,0126b9d355c33b03ae7fff98d466db517722e217e0446a13aae4e3cc187afbba,commit_if_in_scope,False,False,False,False,False
stage0b_smoke_summary,outputs/reports/phase5p5_repair5g554_stage0b_smoke_summary.json,True,1,669,1206dba254af6b45189be0848c820ae564a32155762e6beccfa8eb327e03bbe6,commit_if_in_scope,False,False,False,False,False
stage1_fresh_screening_summary,outputs/reports/phase5p5_repair5g554_stage1_fresh_screening_summary.json,True,1,724,e320b4f8dd841f031f262aa5ef5150537bf6e7dc2e3f538f1d30ea82e5180e08,commit_if_in_scope,False,False,False,False,False
stage2_nearmiss_expansion_summary,outputs/reports/phase5p5_repair5g554_stage2_nearmiss_expansion_summary.json,True,1,723,302643e5b63d774e09d25d5d51effef4d765649e78701b896fc57ac87a730b7b,commit_if_in_scope,False,False,False,False,False
validation_summary,outputs/reports/phase5p5_repair5g554_validation_summary.json,True,1,455,30edf9a115f0e80c61e9e9eb3d1e29a6b248f4333ac802766b90888e4ccb79fd,commit_if_in_scope,False,False,False,False,False
stage2_candidate_leaderboard,outputs/tables/phase5p5_repair5g554_stage2_candidate_leaderboard.csv,True,170,54402,c032f3ef2a0a2e74b474674ab3444b5255c7e89ac4669ca9c81698735652fd5b,commit_if_in_scope,False,False,False,False,False
stage2_candidate_by_stratum,outputs/tables/phase5p5_repair5g554_stage2_candidate_by_stratum.csv,True,7000,775564,e914806266c9721ae14fc198b08a926453018573246d117ceda7f081289b4073,commit_if_in_scope,False,False,False,False,False
stage2_validation_shortlist,outputs/tables/phase5p5_repair5g554_stage2_validation_shortlist.csv,True,0,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,commit_if_in_scope,False,False,False,False,False
stage1_raw_results,outputs/logs/phase5p5_repair5g554_stage1_fresh_screening/stage1_fresh_screening_results.csv,True,260096,386532395,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
stage2_raw_results,outputs/logs/phase5p5_repair5g554_stage2_nearmiss_expansion/stage2_nearmiss_expansion_results.csv,True,360013,531831393,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
