baseline,map_family,agents,budget_ms,pairs,both_fail_pairs,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
static_flow,maze,100,1000,140,140,False,False,False,False,False
static_flow,maze,100,2000,455,455,False,False,False,False,False
static_flow,maze,100,500,70,70,False,False,False,False,False
static_flow,maze,50,2000,665,665,False,False,False,False,False
static_flow,random,100,1000,56,56,False,False,False,False,False
static_flow,random,100,2000,609,609,False,False,False,False,False
static_flow,random,100,500,49,49,False,False,False,False,False
static_flow,random,50,2000,406,406,False,False,False,False,False
static_flow,random,50,500,245,245,False,False,False,False,False
family_static,maze,100,1000,140,140,False,False,False,False,False
family_static,maze,100,2000,455,455,False,False,False,False,False
family_static,maze,100,500,70,70,False,False,False,False,False
family_static,maze,50,2000,665,665,False,False,False,False,False
family_static,random,100,1000,56,56,False,False,False,False,False
family_static,random,100,2000,609,609,False,False,False,False,False
family_static,random,100,500,49,49,False,False,False,False,False
family_static,random,50,2000,406,406,False,False,False,False,False
family_static,random,50,500,245,245,False,False,False,False,False
additive,maze,100,1000,140,140,False,False,False,False,False
additive,maze,100,2000,455,455,False,False,False,False,False
additive,maze,100,500,70,70,False,False,False,False,False
additive,maze,50,2000,665,665,False,False,False,False,False
additive,random,100,1000,56,56,False,False,False,False,False
additive,random,100,2000,609,609,False,False,False,False,False
additive,random,100,500,49,49,False,False,False,False,False
additive,random,50,2000,406,406,False,False,False,False,False
additive,random,50,500,245,245,False,False,False,False,False
