g561_evaluation_uid,g561_instance_uid,generated_theta_uid,materialization_class,actor_theta_recognized,actual_fingerprint_match,force_additive,enable_dual_channel,goal_projection_mode,scenario_hash_exact,baseline_paired_by_evaluation_uid,quality_delta_vs_g556,success_regression
789203ec1ce84433c8df2ecb2d92fb2915fb6ce4caf7a185910ef07bcce242cb,492067fe8be365d5564c613d662b872168616db24600cf3b68385b6fd09920a3,c60981b6d4803e060a7bcf807323281d717a6770a1dfe45329810d79303e273a,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
959fdb41ce77548310257861dc9a699266d35f85b8cf84769e456f74e0141a7a,683d7005eb8198ab42c7d42c829ccfb1ca5362971255cf1696e5fc559b91ac29,2c5f1557b2ccf83c97e255a2919cd2ab966a68bad4c38678181e5626058e4e54,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
56716ec83fd18e7ea57891c3c443593352f18afaf04ec40ffc8126709ff11b28,ca11305b2917794d23a2438fc9f84afad638860c1dc89724f5e3e18aa9584d2c,8c09c6ce5f8c1699057934d118bc293e7e6b0a648a97cbd26712100ff9818a2d,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
4d6c80579b2ce74b746de0efbbcb2554b930c1600ef6cbcb67f326d0cb77aadf,46dccf73f6f44f7504c0d151730cee3f0706524b4bef8bbbc674099d340f6a67,2323416dfc7b625b94faaffa74bae4c331aa3ea2c41fa7b873459e3855da5dfc,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
4a48b1fccdd18fb1167f3af19be2c981b13e890a74f68904fe9cd951a796a1fa,467aaac88e64cfb5df2f01c4aa1cd93d34d0757d2a13ec098ff4bb47aec37aab,d267f64101c377780f8b3b4cd66d1746406960734e5f9e304ad01d0374dc74f9,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
4ddbedf288ee04a755191133c5e9867609df89487dde41541d9d2384beb7cab5,e55c2c0f30876ba0ba902a665e4e0f3cab897eec5165b57bb5762b58e6fc5096,2d379f1d318475e54ce444f66b0018028528697ff6dafe50ad679db489366e73,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
936068fdfa6a91c865636c3231e7132d0fd13e6d2f7425a3ac5ec99fc3163454,fe74879d9c09abb32a8c588eb0a3aa96ad11ad562149f9b8484b6a9eed153c94,b356bac84054e96c893a18d807288a14d000cacf2d2ef78c066a622a4dc18e5f,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
ab950fd0c8b8323fbb6f458bc71ae6ee9e62026185cdea8d3060d734da95a2da,c0d340d5a71835af4d0725887053a347d9b0401e963b7585292264e8c1cd08fc,1fd253b8b3ab74613ab519a3a83f523d40dc6ace7e34792fc8e0e12bb8a3e6ab,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
64372ea248d9a79e78239ff63becb314a67cedcbbdd088b78567b513eeee96d3,1d9ad4df0bcf4f535652b96f04f82fbdd7ccc8eaf77fb77acb5f1aeb3bbd9eea,b8d04bba3ed996fb9fdd2cc3f05ceb873e705f3fa533039c42f6f733d52c7bb2,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
8348eb5d0aa4908827834c376ce6b166d0854d8d564f1823595750c0479c9261,c0b04b8a92311511cf06635e36103199af56faf0001105b7f6c9e3506bcb53e0,fadc11b497a2b5dfb857051746d14358ec9e1c6a8d583b83eb7fa0b25ec8c7b8,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
