split,sample_count,non_neutral_count,harmful_update_count,feature_count,rule_vocab,rule_class_distribution,best_rule_histogram
all,2985,2316,1427,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 507, ""block_light"": 252, ""commit_heavy"": 449, ""decay_090"": 164, ""decay_095"": 178, ""neutral_additive"": 669, ""wait_heavy"": 282, ""wait_light"": 484}","{""additive_ltm"": 371, ""block_heavy"": 563, ""block_light"": 293, ""commit_heavy"": 487, ""decay_090"": 196, ""decay_095"": 223, ""wait_heavy"": 326, ""wait_light"": 526}"
train,2526,1957,1254,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 426, ""block_light"": 220, ""commit_heavy"": 376, ""decay_090"": 145, ""decay_095"": 149, ""neutral_additive"": 569, ""wait_heavy"": 231, ""wait_light"": 410}","{""additive_ltm"": 334, ""block_heavy"": 471, ""block_light"": 251, ""commit_heavy"": 404, ""decay_090"": 174, ""decay_095"": 187, ""wait_heavy"": 260, ""wait_light"": 445}"
validation,459,359,173,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 81, ""block_light"": 32, ""commit_heavy"": 73, ""decay_090"": 19, ""decay_095"": 29, ""neutral_additive"": 100, ""wait_heavy"": 51, ""wait_light"": 74}","{""additive_ltm"": 37, ""block_heavy"": 92, ""block_light"": 42, ""commit_heavy"": 83, ""decay_090"": 22, ""decay_095"": 36, ""wait_heavy"": 66, ""wait_light"": 81}"
