agent_count,contexts,complete_triples,ltm_30s_success_rate,ltm_30s_median_ratio,static_flow_30s_success_rate,static_flow_30s_median_ratio,gate3b_actor_30s_success_rate,gate3b_actor_30s_median_ratio,actor_vs_ltm_median_relative_quality_improvement,actor_vs_ltm_success_gain_count,actor_vs_ltm_success_regression_count,actor_vs_static_flow_median_relative_quality_improvement,actor_vs_static_flow_success_gain_count,actor_vs_static_flow_success_regression_count,static_flow_vs_ltm_median_relative_quality_improvement,static_flow_vs_ltm_success_gain_count,static_flow_vs_ltm_success_regression_count
1000,7,7,1.0,1.46902313625,1.0,1.47075835476,1.0,1.5146529563,-0.02716429716589983,0,0,-0.021729318457604473,0,0,-0.007024932318463839,0,0
12,20,20,1.0,1.03788349917,1.0,1.02264134853,1.0,1.00795382669,0.017235572871649663,0,0,0.009615092731670013,0,0,0.0038582303968737602,0,0
1500,5,5,1.0,1.55112288592,1.0,1.56994882736,1.0,1.64534364314,-0.052000917897171046,0,0,-0.03729922896371007,0,0,-0.015824056585698493,0,0
16,29,29,1.0,1.04229607251,1.0,1.02188552189,0.7241379310344828,1.01033057851,0.010917030566570013,0,8,0.0018214936206931644,0,8,0.007246376810968332,0,0
192,13,13,1.0,1.40606475148,1.0,1.40820734341,1.0,1.40868730502,-0.011007957560312462,0,0,-0.008992195453721843,0,0,-0.005148833463290018,0,0
24,16,16,1.0,1.065296739765,1.0,1.0574085227299999,1.0,1.0585680751200002,0.00972549468785689,0,0,-0.002832149617032739,0,0,0.01049041734540819,0,0
256,33,33,1.0,1.23785962983,1.0,1.2312625985,1.0,1.24682774205,-0.006683499181040155,0,0,-0.008435259389690888,0,0,0.006130020969092317,0,0
32,13,13,1.0,1.07547169811,1.0,1.06564019449,1.0,1.07214121259,0.007716049379625738,0,0,-0.0006293266182497769,0,0,0.007062146898464949,0,0
384,18,18,1.0,2.083852993975,1.0,2.18234978988,1.0,2.25860116372,-0.03216663831916809,0,0,-0.027072710505687,0,0,-0.0060423141067377515,0,0
48,12,12,1.0,1.105241733145,1.0,1.0834368306,1.0,1.0959024796399999,0.0006628300532146089,0,0,-0.011920838675333936,0,0,0.019176807032424307,0,0
512,10,10,1.0,1.69933620708,1.0,1.7490160983849998,1.0,1.882459754885,-0.07111249196734165,0,0,-0.03666264218083713,0,0,-0.023943231015856062,0,0
64,17,17,1.0,1.07523939808,1.0,1.05010438413,1.0,1.04483985765,0.02629757786150584,0,0,0.0046113307005113515,0,0,0.026845637580698904,0,0
768,25,25,1.0,1.34818712489,1.0,1.35043748467,1.0,1.38039086336,-0.022534440287305457,0,0,-0.022625536712017683,0,0,-0.0017916718152836885,0,0
80,20,20,1.0,1.0444500914,1.0,1.028935009135,1.0,1.02225231723,0.01816274018968446,0,0,0.004185967631271676,0,0,0.014728658781602582,0,0
