duplicate_keys,exists,file_size_bytes,map_agent_counts,method_counts,missing_expected_keys,parse_errors,path,row_count,sha256
0,True,552,,,,0,outputs\reports\phase5p5_repair5g2_decision.md,,c2aca05c04ffea8aa0c94a5b0d8b3fd658e4a7f6465c669dad21f14d6dc2191c
0,True,2120,,,,0,outputs\reports\phase5p5_repair5g2_protocol_overview.md,,f3db6b2198378d86e17cd8c2824d8a91a8ae0f428263c7b69f57b673b9e4f5fd
0,True,5607,,,,0,outputs\reports\phase5p5_repair5g2_frozen_selector_spec.json,,367a2310080e4c111ea78f632348bc4fb9d9f8380428ead695d15a238a95a240
0,True,4676,,,,0,outputs\reports\phase5p5_repair5g2_selector_sweep_summary.json,,e118a36b8e71f8ea2c8ac5521674c19831510c80c204ad5c8e93836f887872f1
0,True,15568,,,,0,outputs\reports\phase5p5_repair5g2_fresh_final_eval_summary.json,,f3eed79e0c183b951857e212f59f6acf49b3e9cd9ae033ab9f0cd5643c090b6d
0,True,1411,,"{""always_additive_defer"": 1, ""laur_disable"": 1, ""laur_force_additive_direct"": 1, ""repair5f4_best_static_c125_b125_w075_d095_diagnostic_only"": 1, ""repair5f_candidate_additive_ltm"": 1, ""repair5f_static_c100_b100_w075_d090"": 1, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"": 1, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"": 1, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 1, ""repair5g2_best_frozen_static_candidate"": 1, ""repair5g2_c_equiv_best_frozen_baseline"": 1, ""repair5g2_frozen_static_or_selector"": 1, ""repair5g2_g1_top_diagnostic_candidate"": 1, ""repair5g2_random_candidate_diagnostic"": 1, ""repair5g2_shuffled_flow_shield_diagnostic"": 1, ""repair5g2_shuffled_goal_progress_diagnostic"": 1, ""repair5g_dual_additive_parity"": 1, ""repair5g_dual_c_equiv_additive"": 1, ""repair5g_dual_c_equiv_c100_b100_w075_d095"": 1, ""repair5g_dual_c_equiv_c100_b100_w075_d100"": 1}",,0,outputs\tables\phase5p5_repair5g2_fresh_final_eval_summary.csv,20,d10dce9440926c0f12a684e2fe898f9a6334772b3d6732496806c9e333fd69df
0,True,9961,,"{""always_additive_defer"": 6, ""laur_disable"": 6, ""laur_force_additive_direct"": 6, ""repair5f4_best_static_c125_b125_w075_d095_diagnostic_only"": 6, ""repair5f_candidate_additive_ltm"": 6, ""repair5f_static_c100_b100_w075_d090"": 6, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"": 6, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"": 6, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 6, ""repair5g2_best_frozen_static_candidate"": 6, ""repair5g2_c_equiv_best_frozen_baseline"": 6, ""repair5g2_frozen_static_or_selector"": 6, ""repair5g2_g1_top_diagnostic_candidate"": 6, ""repair5g2_random_candidate_diagnostic"": 6, ""repair5g2_shuffled_flow_shield_diagnostic"": 6, ""repair5g2_shuffled_goal_progress_diagnostic"": 6, ""repair5g_dual_additive_parity"": 6, ""repair5g_dual_c_equiv_additive"": 6, ""repair5g_dual_c_equiv_c100_b100_w075_d095"": 6, ""repair5g_dual_c_equiv_c100_b100_w075_d100"": 6}",,0,outputs\tables\phase5p5_repair5g2_fresh_final_eval_by_map_agent.csv,120,c87fde01b0cefaabfc250413a14784a6a44ba7edea1789ad439d6803d86150bf
0,True,586160,,"{""always_additive_defer"": 120, ""laur_disable"": 120, ""laur_force_additive_direct"": 120, ""repair5f4_best_static_c125_b125_w075_d095_diagnostic_only"": 120, ""repair5f_candidate_additive_ltm"": 120, ""repair5f_static_c100_b100_w075_d090"": 120, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"": 120, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"": 120, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 120, ""repair5g2_best_frozen_static_candidate"": 120, ""repair5g2_c_equiv_best_frozen_baseline"": 120, ""repair5g2_frozen_static_or_selector"": 120, ""repair5g2_g1_top_diagnostic_candidate"": 120, ""repair5g2_random_candidate_diagnostic"": 120, ""repair5g2_shuffled_flow_shield_diagnostic"": 120, ""repair5g2_shuffled_goal_progress_diagnostic"": 120, ""repair5g_dual_additive_parity"": 120, ""repair5g_dual_c_equiv_additive"": 120, ""repair5g_dual_c_equiv_c100_b100_w075_d095"": 120, ""repair5g_dual_c_equiv_c100_b100_w075_d100"": 120}",,0,outputs\tables\phase5p5_repair5g2_fresh_final_eval_paired.csv,2400,c2283f02d5e1ab68d314f4d2ecf4c38d14132893ba98abd9851dbbfeb6649ab8
0,True,26846431,"{""maze-32-32-4|100"": 1500, ""maze-32-32-4|50"": 1500, ""random-32-32-20|100"": 1500, ""random-32-32-20|50"": 1500, ""warehouse-10-20-10-2-1|100"": 1500, ""warehouse-10-20-10-2-1|50"": 1500}","{""always_additive_defer"": 150, ""lacam_star_ltm"": 150, ""laur_disable"": 150, ""laur_force_additive_direct"": 150, ""repair5f4_best_static_c125_b125_w075_d095_diagnostic_only"": 150, ""repair5f_candidate_additive_ltm"": 150, ""repair5f_static_c100_b100_w075_d090"": 150, ""repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75"": 150, ""repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75"": 150, ""repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75"": 150, ""repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75"": 150, ""repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75"": 150, ""repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75"": 150, ""repair5g1_random_static_diagnostic"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 150, ""repair5g2_random_candidate_diagnostic"": 150, ""repair5g2_shuffled_flow_shield_diagnostic"": 150, ""repair5g2_shuffled_goal_progress_diagnostic"": 150, ""repair5g_dual_additive_parity"": 150, ""repair5g_dual_c_equiv_additive"": 150, ""repair5g_dual_c_equiv_c100_b100_w075_d090"": 150, ""repair5g_dual_c_equiv_c100_b100_w075_d095"": 150, ""repair5g_dual_c_equiv_c100_b100_w075_d100"": 150, ""repair5g_dual_c_equiv_c100_b125_w075_d100"": 150, ""repair5g_dual_c_equiv_c125_b125_w075_d095"": 150}",,0,outputs\logs\phase5p5_repair5g2_support_probe\phase5p5_repair5g2_support_probe.jsonl,9000,e3496ff6da60f469828715cb6895e1a6bc9d1ccc6b4558742ce03b413125e152
1650,True,13185905,"{""maze-32-32-4|100"": 1700, ""maze-32-32-4|50"": 1700, ""random-32-32-20|100"": 1700, ""random-32-32-20|50"": 1700, ""warehouse-10-20-10-2-1|100"": 1700, ""warehouse-10-20-10-2-1|50"": 1700}","{""always_additive_defer"": 300, ""lacam_star_ltm"": 300, ""laur_disable"": 300, ""laur_force_additive_direct"": 300, ""repair5f4_best_static_c125_b125_w075_d095_diagnostic_only"": 300, ""repair5f_candidate_additive_ltm"": 300, ""repair5f_static_c100_b100_w075_d090"": 300, ""repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75"": 150, ""repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75"": 150, ""repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75"": 150, ""repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75"": 150, ""repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75"": 150, ""repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75"": 150, ""repair5g1_random_static_diagnostic"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5"": 150, ""repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5"": 150, ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5"": 150, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 150, ""repair5g_dual_additive_parity"": 300, ""repair5g_dual_c_equiv_additive"": 300, ""repair5g_dual_c_equiv_c100_b100_w075_d090"": 300, ""repair5g_dual_c_equiv_c100_b100_w075_d095"": 150, ""repair5g_dual_c_equiv_c100_b100_w075_d100"": 150, ""repair5g_dual_c_equiv_c100_b125_w075_d100"": 150, ""repair5g_dual_c_equiv_c125_b125_w075_d095"": 300}",,0,outputs\logs\phase5p5_repair5g2_support_probe\phase5p5_repair5g2_support_probe_commands.jsonl,10200,7840659f5633a3e8fd766d91479aacfea61d9007baae89b6757acac05860e663
