registry_row_id,candidate_id,registry_label,candidate_family,theta_cluster,materialization_family,bounded_updateparams,global_fixed_candidate,context_dependent,dynamic_policy,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g553_registry_000001,repair5g553_theta_553000001,hand_static_reference_00000,hand_static_reference,hand_static_reference,repair5g553_fixed_global_staticflow_registry,True,True,False,False,0,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g553_registry_000002,repair5g553_theta_553000002,tiny_local_perturbation_2pct_00001,tiny_local_perturbation_2pct,tiny_local_perturbation_2pct,repair5g553_fixed_global_staticflow_registry,True,True,False,False,0.371438711435,1.27741463491,1.27303241053,1.27696528697,0.769965076215,0.761750824251,1.01057143307,0.010501041751,0.935131820132,0.992917082917,0.987941967942,0,0.357683727684,0.762273799774,1,11.1207986008,1,0,0,False,False,False,False,False
g553_registry_000003,repair5g553_theta_553000003,small_local_perturbation_5pct_00002,small_local_perturbation_5pct,small_local_perturbation_5pct,repair5g553_fixed_global_staticflow_registry,True,True,False,False,0.729130332233,1.27829321579,1.23022707398,1.16688677314,0.809791700417,0.723374073374,1.02499431874,0.0197950979201,0.966947969448,0.984037846538,0.961651074151,0.0587966650467,0.311265641266,0.732994951745,0.987492199992,11.2642498267,1,0,0,False,False,False,False,False
g553_registry_000004,repair5g553_theta_553000004,medium_local_perturbation_10pct_00003,medium_local_perturbation_10pct,medium_local_perturbation_10pct,repair5g553_fixed_global_staticflow_registry,True,True,False,False,1.26119424869,1.17552886303,1.2021522959,1.08981052731,0.646871803122,0.660538729289,1.10237138987,0.103481634732,1,1,0.943658368658,0.0677468927469,0.307171357171,0.675337144087,1,11.3292132792,1,0,0,False,False,False,False,False
g553_registry_000005,repair5g553_theta_553000005,coordinate_sweep_each_field_00004,coordinate_sweep_each_field,coordinate_sweep_each_field,repair5g553_fixed_global_staticflow_registry,True,True,False,False,0.428571428571,1.25,1.25,1.25,0.75,0,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g553_registry_000006,repair5g553_theta_553000006,lambda_flow_lambda_cong_grid_00005,lambda_flow_lambda_cong_grid,lambda_flow_lambda_cong_grid,repair5g553_fixed_global_staticflow_registry,True,True,False,False,1.6951091951,1.25,1.25,1.25,0.75,0.75,1,1.05642105642,0.95,1,1.26431376431,0.878487878488,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g553_registry_000007,repair5g553_theta_553000007,flow_shield_beta_cap_grid_00006,flow_shield_beta_cap_grid,flow_shield_beta_cap_grid,repair5g553_fixed_global_staticflow_registry,True,True,False,False,0.622278584777,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.291153891154,1.4359011859,1,11,1,0,0,False,False,False,False,False
g553_registry_000008,repair5g553_theta_553000008,alpha_flow_wait_progress_grid_00007,alpha_flow_wait_progress_grid,alpha_flow_wait_progress_grid,repair5g553_fixed_global_staticflow_registry,True,True,False,False,0.620162620163,1.25,1.25,1.25,0.75,0.75,1,0.0610225610226,0.95,1,1,0.857016857017,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g553_registry_000009,repair5g553_theta_553000009,alpha_cong_commit_nonprogress_grid_00008,alpha_cong_commit_nonprogress_grid,alpha_cong_commit_nonprogress_grid,repair5g553_fixed_global_staticflow_registry,True,True,False,False,0.489090589091,0.57351957352,1.29762954763,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g553_registry_000010,repair5g553_theta_553000010,edge_cost_clamp_grid_00009,edge_cost_clamp_grid,edge_cost_clamp_grid,repair5g553_fixed_global_staticflow_registry,True,True,False,False,0.429973679973,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.896691146691,9.83108583109,1,0,0,False,False,False,False,False
