artifact_label,path,exists,row_count,materialization_status,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,outputs/reports/phase5p5_repair5g542_decision_summary.json,True,1,present,False,False,False,False,False
g541_blind_failure_source_audit_summary,outputs/reports/phase5p5_repair5g542_g541_blind_failure_source_audit_summary.json,True,1,present,False,False,False,False,False
deployable_static_ladder_summary,outputs/reports/phase5p5_repair5g542_deployable_static_ladder_summary.json,True,1,present,False,False,False,False,False
ladder_overlay_evidence_summary,outputs/reports/phase5p5_repair5g542_ladder_overlay_evidence_summary.json,True,1,present,False,False,False,False,False
residual_overlay_labels_summary,outputs/reports/phase5p5_repair5g542_residual_overlay_labels_summary.json,True,1,present,False,False,False,False,False
next_edge_class_design_summary,outputs/reports/phase5p5_repair5g542_next_edge_class_design_if_blocked_summary.json,True,1,present,False,False,False,False,False
selected_vs_static_flow,outputs/tables/phase5p5_repair5g542_ladder_overlay_selected_vs_static_flow.csv,True,5400,present,False,False,False,False,False
selected_vs_family_static,outputs/tables/phase5p5_repair5g542_ladder_overlay_selected_vs_family_static.csv,True,5400,present,False,False,False,False,False
selected_vs_ladder,outputs/tables/phase5p5_repair5g542_ladder_overlay_selected_vs_ladder_baseline.csv,True,5400,present,False,False,False,False,False
failure_cases,outputs/tables/phase5p5_repair5g542_ladder_overlay_failure_cases.csv,True,780,present,False,False,False,False,False
policy_rules,outputs/tables/phase5p5_repair5g542_ladder_overlay_policy_rules.csv,True,7,present,False,False,False,False,False
deployable_static_ladder_rules,outputs/tables/phase5p5_repair5g542_deployable_static_ladder_rules.csv,True,18,present,False,False,False,False,False
edge_class_design_targets,outputs/tables/phase5p5_repair5g542_edge_class_design_targets.csv,True,18,present,False,False,False,False,False
event_condition_design_targets,outputs/tables/phase5p5_repair5g542_event_conditioned_update_design_targets.csv,True,4,present,False,False,False,False,False
repair5g542_common,scripts/repair5g542_common.py,True,1,present,False,False,False,False,False
