split,policy_variant,vs_additive_pairs,vs_additive_success_regression_count,vs_additive_success_gain_count,vs_additive_both_fail_count,vs_additive_quality_only_pairs,vs_additive_quality_only_mean_delta,vs_additive_quality_only_median_delta,vs_additive_quality_ci_low,vs_additive_quality_ci_high,vs_additive_mean_corrected_delta,vs_additive_better_count,vs_additive_equal_count,vs_additive_worse_count,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_best_fixed_pairs,vs_best_fixed_success_regression_count,vs_best_fixed_success_gain_count,vs_best_fixed_both_fail_count,vs_best_fixed_quality_only_pairs,vs_best_fixed_quality_only_mean_delta,vs_best_fixed_quality_only_median_delta,vs_best_fixed_quality_ci_low,vs_best_fixed_quality_ci_high,vs_best_fixed_mean_corrected_delta,vs_best_fixed_better_count,vs_best_fixed_equal_count,vs_best_fixed_worse_count,vs_best_family_pairs,vs_best_family_success_regression_count,vs_best_family_success_gain_count,vs_best_family_both_fail_count,vs_best_family_quality_only_pairs,vs_best_family_quality_only_mean_delta,vs_best_family_quality_only_median_delta,vs_best_family_quality_ci_low,vs_best_family_quality_ci_high,vs_best_family_mean_corrected_delta,vs_best_family_better_count,vs_best_family_equal_count,vs_best_family_worse_count,vs_primary_static_pairs,vs_primary_static_success_regression_count,vs_primary_static_success_gain_count,vs_primary_static_both_fail_count,vs_primary_static_quality_only_pairs,vs_primary_static_quality_only_mean_delta,vs_primary_static_quality_only_median_delta,vs_primary_static_quality_ci_low,vs_primary_static_quality_ci_high,vs_primary_static_mean_corrected_delta,vs_primary_static_better_count,vs_primary_static_equal_count,vs_primary_static_worse_count,non_static_selection_rate,fallback_to_static_rate,fallback_to_additive_rate,static_safe_high_margin_capture,static_oracle_gap_closed,selected_vs_static_better,selected_vs_static_equal,selected_vs_static_worse,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random_diagnostic,static_flow_baseline,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.836809815951,0.163190184049,0,,,0,0,0,False,False,False,False,False
random_diagnostic,best_family_static_baseline,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.334969325153,0.665030674847,0.106748466258,,,0,0,0,False,False,False,False,False
random_diagnostic,G5.37_static_relative_selector,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
random_diagnostic,G5.37_static_relative_selector_with_safety,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
random_diagnostic,G5.37_static_relative_selector_with_margin,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
random_diagnostic,G5.37_static_relative_selector_abstain_to_best_static,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0,1,0.103067484663,,,0,0,0,False,False,False,False,False
random_diagnostic,oracle_safe_static_relative_selector,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.950920245399,0.0490797546012,0.262576687117,,,0,0,0,False,False,False,False,False
group_by_context,static_flow_baseline,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.836809815951,0.163190184049,0,,,0,0,0,False,False,False,False,False
group_by_context,best_family_static_baseline,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.334969325153,0.665030674847,0.106748466258,,,0,0,0,False,False,False,False,False
group_by_context,G5.37_static_relative_selector,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
group_by_context,G5.37_static_relative_selector_with_safety,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
group_by_context,G5.37_static_relative_selector_with_margin,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
group_by_context,G5.37_static_relative_selector_abstain_to_best_static,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0,1,0.103067484663,,,0,0,0,False,False,False,False,False
group_by_context,oracle_safe_static_relative_selector,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.950920245399,0.0490797546012,0.262576687117,,,0,0,0,False,False,False,False,False
group_by_seed_block,static_flow_baseline,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.836809815951,0.163190184049,0,,,0,0,0,False,False,False,False,False
group_by_seed_block,best_family_static_baseline,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.334969325153,0.665030674847,0.106748466258,,,0,0,0,False,False,False,False,False
group_by_seed_block,G5.37_static_relative_selector,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
group_by_seed_block,G5.37_static_relative_selector_with_safety,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
group_by_seed_block,G5.37_static_relative_selector_with_margin,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.00736196319018,0.99263803681,0.103067484663,,,0,0,0,False,False,False,False,False
group_by_seed_block,G5.37_static_relative_selector_abstain_to_best_static,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0,1,0.103067484663,,,0,0,0,False,False,False,False,False
group_by_seed_block,oracle_safe_static_relative_selector,720,0,0,720,0,0,0,0,0,0,0,0,0,737,0,0,737,0,0,0,0,0,0,0,0,0,724,0,0,724,0,0,0,0,0,0,0,0,0,370,0,0,370,0,0,0,0,0,0,0,0,0,757,0,0,757,0,0,0,0,0,0,0,0,0,0.950920245399,0.0490797546012,0.262576687117,,,0,0,0,False,False,False,False,False
post_reserved_seed_holdout,static_flow_baseline,423,0,0,423,0,0,0,0,0,0,0,0,0,439,0,0,439,0,0,0,0,0,0,0,0,0,431,0,0,431,0,0,0,0,0,0,0,0,0,73,0,0,73,0,0,0,0,0,0,0,0,0,454,0,0,454,0,0,0,0,0,0,0,0,0,0.815573770492,0.184426229508,0,,,0,0,0,False,False,False,False,False
post_reserved_seed_holdout,best_family_static_baseline,423,0,0,423,0,0,0,0,0,0,0,0,0,439,0,0,439,0,0,0,0,0,0,0,0,0,431,0,0,431,0,0,0,0,0,0,0,0,0,73,0,0,73,0,0,0,0,0,0,0,0,0,454,0,0,454,0,0,0,0,0,0,0,0,0,0.0983606557377,0.901639344262,0.0512295081967,,,0,0,0,False,False,False,False,False
