row_type,policy,risk_bucket_low,risk_bucket_high,contexts,mean_predicted_avoidable_risk,actual_avoidable_risk_rate,ece_abs_error
avoidable_risk_calibration_bucket,new_candidate_only_oracle_diagnostic,0.0,0.05,1,0.046695450713,0.0,0.046695450713
avoidable_risk_calibration_bucket,new_candidate_only_oracle_diagnostic,0.05,0.1,0,inf,inf,
avoidable_risk_calibration_bucket,new_candidate_only_oracle_diagnostic,0.1,0.2,1,0.166593376849,0.0,0.166593376849
avoidable_risk_calibration_bucket,new_candidate_only_oracle_diagnostic,0.2,0.5,9,0.37686831301,0.1111111111111111,0.2657572018988889
avoidable_risk_calibration_bucket,new_candidate_only_oracle_diagnostic,0.5,1.01,10,0.6460358758058,0.1,0.5460358758058
avoidable_risk_calibration_bucket,no_new_candidate_ablation,0.0,0.05,7,0.004710413120857143,0.0,0.004710413120857143
avoidable_risk_calibration_bucket,no_new_candidate_ablation,0.05,0.1,8,0.08078045378649999,0.125,0.04421954621350001
avoidable_risk_calibration_bucket,no_new_candidate_ablation,0.1,0.2,3,0.12394251574,0.0,0.12394251574
avoidable_risk_calibration_bucket,no_new_candidate_ablation,0.2,0.5,2,0.4698475569695,0.0,0.4698475569695
avoidable_risk_calibration_bucket,no_new_candidate_ablation,0.5,1.01,1,0.631947118663,0.0,0.631947118663
avoidable_risk_calibration_bucket,no_rich_interaction_ablation,0.0,0.05,9,0.020927132730333333,0.0,0.020927132730333333
avoidable_risk_calibration_bucket,no_rich_interaction_ablation,0.05,0.1,5,0.0684197611422,0.0,0.0684197611422
avoidable_risk_calibration_bucket,no_rich_interaction_ablation,0.1,0.2,5,0.1186099902418,0.0,0.1186099902418
avoidable_risk_calibration_bucket,no_rich_interaction_ablation,0.2,0.5,2,0.2761860611055,0.0,0.2761860611055
avoidable_risk_calibration_bucket,no_rich_interaction_ablation,0.5,1.01,0,inf,inf,
avoidable_risk_calibration_bucket,old14_only_ranker_v10,0.0,0.05,7,0.004710413120857143,0.0,0.004710413120857143
avoidable_risk_calibration_bucket,old14_only_ranker_v10,0.05,0.1,8,0.08078045378649999,0.125,0.04421954621350001
avoidable_risk_calibration_bucket,old14_only_ranker_v10,0.1,0.2,3,0.12394251574,0.0,0.12394251574
avoidable_risk_calibration_bucket,old14_only_ranker_v10,0.2,0.5,2,0.4698475569695,0.0,0.4698475569695
avoidable_risk_calibration_bucket,old14_only_ranker_v10,0.5,1.01,1,0.631947118663,0.0,0.631947118663
avoidable_risk_calibration_bucket,random_feature_model,0.0,0.05,0,inf,inf,
avoidable_risk_calibration_bucket,random_feature_model,0.05,0.1,0,inf,inf,
avoidable_risk_calibration_bucket,random_feature_model,0.1,0.2,0,inf,inf,
avoidable_risk_calibration_bucket,random_feature_model,0.2,0.5,21,0.4133777850777143,0.0,0.4133777850777143
avoidable_risk_calibration_bucket,random_feature_model,0.5,1.01,0,inf,inf,
avoidable_risk_calibration_bucket,small_tree_interpretable_selector,0.0,0.05,8,0.008034941411500001,0.125,0.1169650585885
avoidable_risk_calibration_bucket,small_tree_interpretable_selector,0.05,0.1,7,0.08419024813657142,0.0,0.08419024813657142
avoidable_risk_calibration_bucket,small_tree_interpretable_selector,0.1,0.2,3,0.12394251574,0.0,0.12394251574
avoidable_risk_calibration_bucket,small_tree_interpretable_selector,0.2,0.5,2,0.4698475569695,0.0,0.4698475569695
avoidable_risk_calibration_bucket,small_tree_interpretable_selector,0.5,1.01,1,0.631947118663,0.0,0.631947118663
avoidable_risk_calibration_bucket,source_blind_ablation,0.0,0.05,8,0.009030636181124999,0.125,0.115969363818875
