theta_cluster,map_family,agents,nominal_budget_ms,horizon_id,family_static_quality_delta_mean,additive_floor_quality_delta_mean,family_static_gap_role,additive_floor_role,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,-0.0102233762073,-0.107246217899,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
alpha_flow_wait_progress_sweep,random,100,2000,c0_short5000_t050_i2,-0.00856587873746,-0.105588720429,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
edge_cost_clamp_sweep,random,100,2000,c0_short2000_t050_i2,-0.0174639362706,-0.0898045165335,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
edge_cost_clamp_sweep,random,100,2000,c0_short5000_t050_i2,-0.0107233562515,-0.107746197943,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
g543_true_near_signal_neighborhood,random,100,2000,c0_short5000_t050_i2,-0.0150283774477,-0.11205121914,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
g546_g548_safe_no_gain_neighborhood,random,100,2000,c0_short5000_t050_i2,-0.00240195821938,-0.0994247999113,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
lambda_flow_lambda_cong_sweep,random,100,2000,c0_short5000_t050_i2,-0.0121428996738,-0.109165741366,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
static_flow_local_perturbation_fulltheta,random,100,2000,c0_short2000_t050_i2,-0.0099610218073,-0.0836275608082,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
static_flow_local_perturbation_fulltheta,random,100,2000,c0_short5000_t050_i2,-0.00813913938781,-0.10516198108,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
surrogate_guided_theta_if_model_exists,random,100,2000,c0_short5000_t050_i2,-0.00276484215065,-0.0997876838426,diagnostic_not_automatic_failure,paper_faithful_floor_not_success_target,False,False,False,False,False
