agents,hook_mode,map,method,repair5g53_alias_resolve_ms,repair5g53_alias_resolve_per_update_ms,repair5g53_candidate_select_ms,repair5g53_candidate_select_per_update_ms,repair5g53_cost_audit_ms,repair5g53_cost_audit_per_update_ms,repair5g53_feature_build_ms,repair5g53_feature_build_per_update_ms,repair5g53_json_write_ms,repair5g53_json_write_per_update_ms,repair5g53_params_hash_ms,repair5g53_params_hash_per_update_ms,repair5g53_traffic_hash_ms,repair5g53_traffic_hash_per_update_ms,repair5g53_update_apply_ms,repair5g53_update_apply_per_update_ms,repair5g53_update_policy_total_ms,repair5g53_update_policy_total_per_update_ms,runtime_audit_mode,seed,update_policy_calls
100,runtime_always_static_minimal_hook,warehouse-10-20-10-2-1,repair5g53_runtime_always_static_minimal_hook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.8603,107.93015,0.0055,0.00275,perf,146,2
100,runtime_always_map_agent_minimal_hook,warehouse-10-20-10-2-1,repair5g53_runtime_always_map_agent_minimal_hook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3917,19.69585,0.0061,0.00305,perf,146,2
100,runtime_static_shadow_noop_minimal,warehouse-10-20-10-2-1,repair5g53_runtime_static_shadow_noop_minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0841,109.54205,0.0064,0.0032,perf,146,2
100,static_hook_minimal,warehouse-10-20-10-2-1,repair5g53_static_hook_minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.7898,115.8949,0.0063,0.00315,perf,146,2
100,static_hook_memory_counter,warehouse-10-20-10-2-1,repair5g53_static_hook_memory_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.1117,104.55585,0.014,0.007,perf,146,2
100,static_hook_jsonl_log_only,warehouse-10-20-10-2-1,repair5g53_static_hook_jsonl_log_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5402,2.7701,0.0,0.0,0.0,0.0,249.2411,124.62055,5.5546,2.7773,perf,146,2
100,static_hook_params_hash_only,warehouse-10-20-10-2-1,repair5g53_static_hook_params_hash_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6699,0.33495,0.0,0.0,219.2652,109.6326,0.6783,0.33915,perf,146,2
100,static_hook_cost_audit_only,warehouse-10-20-10-2-1,repair5g53_static_hook_cost_audit_only,0.0,0.0,0.0,0.0,2583.6163,2583.6163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.8902,174.8902,2583.6212,2583.6212,audit,146,1
100,static_hook_traffic_hash_only,warehouse-10-20-10-2-1,repair5g53_static_hook_traffic_hash_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0176,201.5088,219.3067,109.65335,403.0281,201.51405,perf,146,2
100,static_hook_full_features_no_jsonl,warehouse-10-20-10-2-1,repair5g53_static_hook_full_features_no_jsonl,0.0,0.0,0.0,0.0,0.0,0.0,2456.4262,2456.4262,0.0,0.0,0.0,0.0,0.0,0.0,197.7654,197.7654,2456.4352,2456.4352,audit,146,1
