map_family,contexts,candidates,safe_candidates,primary_safe_AB_candidates,pareto_safe_AB_candidates,joint_positive_AB_candidates,joint_positive_ABC_candidates,harmful_candidates,both_fail_uninformative_candidates,single_run_boundary_uncertain_candidates,mean_primary_training_candidates_per_context,median_primary_training_candidates_per_context,contexts_with_zero_primary_training_candidates,contexts_with_only_anchor_like_target
connector,28,588,588,588,430,78,32,89,420,0,15.357142857142858,21.0,0,3
empty,150,3150,3150,3150,320,117,22,278,0,0,2.1333333333333333,1.0,1,70
game,168,3528,3528,3528,499,52,31,325,42,0,2.9702380952380953,1.0,2,81
irregular_bottleneck,42,882,882,882,683,99,68,77,630,0,16.261904761904763,21.0,0,4
islands,20,420,420,420,46,42,23,42,21,0,2.3,1.0,1,9
large_empty,300,6300,6300,6300,1101,100,1,173,357,0,3.67,1.0,0,170
large_lanes,86,1806,1806,1806,175,849,6,142,42,0,2.0348837209302326,1.0,0,60
large_maze,218,4578,4578,4578,1679,754,71,1074,210,0,7.701834862385321,1.0,5,101
large_room,121,2541,2541,2541,140,209,118,1855,0,0,1.1570247933884297,1.0,30,59
maze,244,5127,5127,5127,865,0,0,653,399,0,3.5450819672131146,1.0,21,134
public_other,106,2226,2226,2226,220,122,36,383,0,0,2.0754716981132075,1.0,12,48
random,156,3276,3276,3276,820,47,23,310,84,0,5.256410256410256,1.5,2,51
room,599,12579,12579,12579,1366,657,367,2959,210,0,2.280467445742905,1.0,47,270
spiral,10,210,210,210,9,1,1,30,0,0,0.9,1.0,1,6
tunnel,35,735,735,735,515,138,58,118,504,0,14.714285714285714,21.0,0,7
warehouse,217,4557,4557,4557,811,182,43,398,462,0,3.737327188940092,1.0,6,95
