feature_group,runtime_available,allowed_for_policy,leakage_found,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
map_family,True,True,False,False,False,False,False,False
agents,True,True,False,False,False,False,False,False
nominal_budget_ms,True,True,False,False,False,False,False,False
horizon_metadata,True,True,False,False,False,False,False,False
pre_update_checkpoint_traffic_snapshot,True,True,False,False,False,False,False,False
trace_event_counts,True,True,False,False,False,False,False,False
committed_blocked_wait_counts,True,True,False,False,False,False,False,False
goal_progress_trace_features,True,True,False,False,False,False,False,False
c_channel_summary,True,True,False,False,False,False,False,False
f_channel_summary,True,True,False,False,False,False,False,False
rank_audit_aggregate_pre_candidate,True,True,False,False,False,False,False,False
candidate_theta_values,True,True,False,False,False,False,False,False
theta_only_distance_to_safe_region,True,True,False,False,False,False,False,False
selected_ratio,False,False,False,False,False,False,False,False
baseline_ratio,False,False,False,False,False,False,False,False
success_failure_outcome,False,False,False,False,False,False,False,False
oracle_label,False,False,False,False,False,False,False,False
quality_delta,False,False,False,False,False,False,False,False
both_success,False,False,False,False,False,False,False,False
future_traffic_after,False,False,False,False,False,False,False,False
post_update_solver_result,False,False,False,False,False,False,False,False
candidate_rank_after_outcome,False,False,False,False,False,False,False,False
direct_label_column,False,False,False,False,False,False,False,False
seed_id_memorized_categorical,False,False,False,False,False,False,False,False
