agents,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
100,1680,65,50,902,663,-0.000822380498979,0,-0.000822380498979,-0.000822380498979,0.00190759626737,104,484,75,154,12,False,False,False,False,False
50,2160,37,38,406,1679,-0.000823365187605,0,-0.000823365187605,-0.000823365187605,-0.000755754699069,299,1158,222,337,74,False,False,False,False,False
