better,bootstrap,equal,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,time_budget_sec,worse
3,"{'mean': -0.00021805494441666702, 'ci_low': -0.0005169968837916677, 'ci_high': 0.0, 'prob_mean_lt_0': 0.944, 'samples': 2000}",237,-0.00021805494441666702,0.0,always_additive_defer,0,360,0,1.0,0
5,"{'mean': -0.0004580509778749992, 'ci_low': -0.001140503450083332, 'ci_high': -5.421313508333266e-05, 'prob_mean_lt_0': 0.9935, 'samples': 2000}",235,-0.0004580509778749992,0.0,laur_disable,0,360,0,1.0,0
2,"{'mean': -0.0003229508478333328, 'ci_low': -0.0009688525434999983, 'ci_high': 0.0, 'prob_mean_lt_0': 0.868, 'samples': 2000}",238,-0.0003229508478333328,0.0,laur_force_additive_direct,0,360,0,1.0,0
3,"{'mean': -0.00015726823924999965, 'ci_low': -0.00038147351379166455, 'ci_high': 0.0, 'prob_mean_lt_0': 0.9585, 'samples': 2000}",237,-0.00015726823924999965,0.0,repair5f_candidate_additive_ltm,0,360,0,1.0,0
147,"{'mean': -0.019830875163608336, 'ci_low': -0.023332625778012508, 'ci_high': -0.016451408690558337, 'prob_mean_lt_0': 1.0, 'samples': 2000}",80,-0.019830875163608336,-0.011786038080000116,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,360,0,1.0,13
60,"{'mean': -0.0034319650937416693, 'ci_low': -0.005197372438087504, 'ci_high': -0.0017144686463333313, 'prob_mean_lt_0': 1.0, 'samples': 2000}",152,-0.0034319650937416693,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,1,360,0,1.0,28
140,"{'mean': -0.018628479696650005, 'ci_low': -0.022278700177275013, 'ci_high': -0.015291179198845832, 'prob_mean_lt_0': 1.0, 'samples': 2000}",84,-0.018628479696650005,-0.010957324110000055,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,360,0,1.0,16
140,"{'mean': -0.018628479696650005, 'ci_low': -0.022278700177275013, 'ci_high': -0.015291179198845832, 'prob_mean_lt_0': 1.0, 'samples': 2000}",84,-0.018628479696650005,-0.010957324110000055,repair5g2_best_frozen_static_candidate,0,360,0,1.0,16
24,"{'mean': -0.00016916273545416655, 'ci_low': -0.0014434019797749961, 'ci_high': 0.0010245534613916663, 'prob_mean_lt_0': 0.5925, 'samples': 2000}",195,-0.00016916273545416655,0.0,repair5g2_c_equiv_best_frozen_baseline,1,360,0,1.0,21
126,"{'mean': -0.014210721507108346, 'ci_low': -0.01728014152488751, 'ci_high': -0.01127707142307084, 'prob_mean_lt_0': 1.0, 'samples': 2000}",99,-0.014210721507108346,-0.0020289760150000724,repair5g2_frozen_static_or_selector,0,360,0,1.0,15
140,"{'mean': -0.018628479696650005, 'ci_low': -0.022278700177275013, 'ci_high': -0.015291179198845832, 'prob_mean_lt_0': 1.0, 'samples': 2000}",84,-0.018628479696650005,-0.010957324110000055,repair5g2_g1_top_diagnostic_candidate,0,360,0,1.0,16
119,"{'mean': -0.015138803303333337, 'ci_low': -0.018440399487554174, 'ci_high': -0.011972281440558327, 'prob_mean_lt_0': 1.0, 'samples': 2000}",102,-0.015138803303333337,0.0,repair5g4_random_flow_shield_diagnostic_seed0,0,360,0,1.0,19
138,"{'mean': -0.017981158669558336, 'ci_low': -0.021661052991387507, 'ci_high': -0.014506568067529165, 'prob_mean_lt_0': 1.0, 'samples': 2000}",86,-0.017981158669558336,-0.005536626909999898,repair5g4_shuffled_flow_shield_diagnostic_seed0,0,360,0,1.0,16
6,"{'mean': -0.0005097590539999984, 'ci_low': -0.0012252274041249973, 'ci_high': -5.125717254166514e-05, 'prob_mean_lt_0': 0.9935, 'samples': 2000}",233,-0.0005097590539999984,0.0,repair5g_dual_additive_parity,0,360,0,1.0,1
