topology_id,map,map_family,source_map_family,topology_variant,generated_qd_diagnostic,width,height,free_cells,free_cell_ratio,obstacle_rate_proxy,heldout_topology,topology_split,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,map_source,free_cell_count,directed_edge_count,physical_map_sha256,free_cell_bitmap_sha256,adjacency_sha256,hash_source
g557_topology_000_empty,empty-32-32,empty,empty,0,False,32,32,1024,1,0,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,1024,3968,3ad85daf37d87c531bc2a1574856ef380f50fdebf885d06a4b59a1a11b3938ab,57f9f88ea86e4b3674d1ab1264d8a01d2d911a565a499c978c0715c0a673f214,8e18da7e64ce56a3f71dda801163250791a9856ff7b02aec72aee533b41e6656,synthetic_reconstruction
g557_topology_001_empty,empty-48-48,empty,empty,0,False,48,48,2304,1,0,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,2304,9024,ef39f3104cdd66232f1f5a52d3f7cc79f3f832881ef4b3f93d48ac5b3991d529,ddf54d02838488f9630acc144be3b6f434fbe4bf14afc97ab7af61647d3fdd6b,ccb941b3bc35b66b4585784cb2b2c256fb9dac2d690c7b15416532ed0b46a63b,synthetic_reconstruction
g557_topology_002_empty,empty-16-16,empty,empty,0,False,16,16,256,1,0,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,256,960,1c1b857d15592c2c961bfed474b7064f6987b3b7a20765061cd9d2210a727c6c,095884e1830a75b6d595fd32daf6b78a89bcf60963f20f2156f9bd16fc77adca,775bbbbdb6bae5cddce9ce954b3436f657a02172ce9048fbff53834d432fef58,synthetic_reconstruction
g557_topology_003_random,random-32-32-20,random,random,0,False,32,32,819,0.7998046875,0.2,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,819,2516,8ea906635f8f6fd7e707b4a850091799283ce888daf530521087bd0d22649206,d2ba11e95bdbc1b327905d9fef9998850f5efd10a50f71069af206731eae68f1,7ff965b1410c49a409f686b1a2f9b74c6ce2498377f2625354c3e3d737ba4f35,synthetic_reconstruction
g557_topology_004_random,random-64-64-20,random,random,0,False,64,64,3276,0.7998046875,0.2,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,3276,10290,24f21d0389f624ec31dd9ef53368ae973761ef05e609f6a40e8ea5aa95b9e67f,2942e0364bfed3c3d74a5acf901089f65a055b98a62589ae7d0f0be47cc2abb3,c59849e063d4743d261dcc44320888a97f286caa56578c8ac55564b42471e9df,synthetic_reconstruction
g557_topology_005_random,random-32-32-10,random,random,0,False,32,32,921,0.8994140625,0.1,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,921,3206,ca04eec63ebd66dedb752ec7d22c6f986727dbf0a1457348190cd5a29d3a9467,60316e38ddd698ef50f1dbb2b0a7f68c7d011d04a8bbd5a68686c15be89d75bf,7af94426a9dc66347cefd92f954349091fd1d40d381c2fc8ddea180c0f76e4f5,synthetic_reconstruction
g557_topology_006_random,random-64-64-10,random,random,0,False,64,64,3686,0.89990234375,0.1,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,3686,13054,29cc1ce264afc04426dbad1e37bf23674297e20693aa2ea30396658a14067f98,ed0b41f53c6b11ddc8bef0ba0fd91ea901caa0680e13fc48ff064b15dae251bc,ca92cf45588394f75cb3a96a548a4e287cef9a60496df5d6c5495323c5dd21a3,synthetic_reconstruction
g557_topology_007_maze,maze-32-32-4,maze,maze,0,False,32,32,737,0.7197265625,0.28,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,737,2178,b7b2938c1cbf9259ee71ce9277d43204a416c6c5663035c81e28ea5549f91b0d,80eccf698c21ce42d4a8a7884f5ea9a7f38bf4c25c2b205bd84fa874e7f2ff9b,77b802035e6e0b4a64f14f5282b06becaa2342c8c3d05bfa90ce3c8e679c4208,synthetic_reconstruction
g557_topology_008_maze,maze-32-32-2,maze,maze,0,False,32,32,819,0.7998046875,0.2,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,819,2672,95157c1cd3f060c3a74f66fab832df1901ea1c5665e66f613a73c59b96ef202a,d891d6d32293912e91c7cbe7024e9344d9f9df3a6c59b86d639376a79a10c527,447d420255593e5ba62c14dc2b350cf2d4a472af3ec373e381dac5087b710ddb,synthetic_reconstruction
g557_topology_009_maze,maze-128-128-2,maze,maze,0,False,128,128,13107,0.799987792969,0.2,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,13107,43866,cd4a5fc548fdf69df51f3be761b9b29f6186609588906f1d758acd0b72c42ea5,c7b5e7c0e9698dc0a14e2962dd8c9552831c201501481984b46095e1fd05203f,4c1d5bcaca6f0c00c6a3e279501bde290d7dd48c1a8ddcde89020af090010633,synthetic_reconstruction
