candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_g554_c00051,success_gain_count_vs_g554_c00051,success_rate_delta_vs_g554_c00051,both_success_quality_pairs_vs_g554_c00051,quality_delta_mean_vs_g554_c00051,bootstrap_ci_upper,better_count_vs_g554_c00051,worse_count_vs_g554_c00051,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,materialization_gate_passed,support_gate_passed,quality_gate_passed,ci_gate_passed,better_worse_gate_passed,success_rate_gate_passed,validation_ready,not_ready_reason,distance_from_g554_c00051,goal_projection_mode,active_field_deltas,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c078415,stage1,,100,100,0,0,0,100,-0.0078340091996,-0.00302767129763,50,27,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.124716238338,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.16293114563,1.25,0.75,0.75,1.06217207794,0.707386636588,0.984355181184,1,0.686447863156,0.65,0.327054268579,0.841920657154,1,10.6916293853,1,0,0,False,False,False,False,False
g556_c002575,stage1,,100,100,0,0,0,100,-0.0075265283247,-0.00299238531586,54,25,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.146944278155,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,1.25,1.16576270838,1.25,0.75,0.75,1.09058913119,0.655715227227,0.981049673851,1,0.660157403528,0.65,0.315949333094,0.837514497873,0.99185992042,10.6857962428,1,0,0,False,False,False,False,False
g556_c003589,stage1,,100,100,0,0,0,100,-0.0072756185946,-0.00320085298264,58,28,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.137659537021,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,1.25,1.16293016126,1.25,0.75,0.75,1.08541954819,0.681281908652,0.98078004566,1,0.657093711219,0.65,0.31932066378,0.84132896518,0.996346616585,10.6464459208,1,0,0,False,False,False,False,False
g556_c062983,stage1,,100,100,0,0,0,100,-0.0070836412679,-0.00300741232241,57,28,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.142217915339,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,1.25,1.12041739442,1.25,0.75,0.75,1.09192684217,0.718653924661,0.983354092338,1,0.683581639255,0.65,0.325825579465,0.850467439014,0.995348255955,10.6812255885,1,0,0,False,False,False,False,False
g556_c078391,stage1,,100,100,0,0,0,100,-0.0070530916516,-0.00280683432638,50,24,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.129380791861,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.1668567451,1.25,0.75,0.75,1.09932037849,0.705975437696,0.981675167474,1,0.665856195431,0.65,0.3209138406,0.838534757312,1,10.6881121878,1,0,0,False,False,False,False,False
g556_c075835,stage1,,100,100,0,0,0,100,-0.0065637349929,-0.00201487211377,53,30,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.119662171027,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.16027402985,1.25,0.75,0.75,1.07021562681,0.668522233806,0.981737521087,1,0.658432648702,0.65,0.325902129635,0.835604118604,1,10.6616712751,1,0,0,False,False,False,False,False
g556_c044742,stage1,,100,100,0,0,0,100,-0.0065261545766,-0.00230768245713,51,29,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.143305546087,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.14357384245,1.25,0.75,0.75,1.06680989002,0.699624577999,0.983260218519,1,0.637850903447,0.65,0.327355866074,0.834877769533,1,10.853724547,1,0,0,False,False,False,False,False
g556_c000919,stage1,,100,100,0,0,0,100,-0.0063779267347,-0.00208818392969,50,30,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.132860487417,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.11856695497,1.25,0.75,0.75,1.09820926432,0.692163595382,0.979959252422,1,0.679274342177,0.65,0.291297588649,0.844671838901,1,10.749377584,1,0,0,False,False,False,False,False
g556_c047827,stage1,,100,100,0,0,0,100,-0.0063773368734,-0.000886131846343,48,32,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.108536449395,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.14223551897,1.25,0.75,0.75,1.03450867043,0.670197983779,0.9844998663,1,0.661138553584,0.65,0.314015361295,0.801153305706,1,10.8278560886,1,0,0,False,False,False,False,False
g556_c001603,stage1,,100,100,0,0,0,100,-0.0063597306656,-0.00241922194948,50,31,24,75,1,True,True,True,True,True,True,True,True,True,True,,0.142093838724,flow_shield,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_commit_progress;theta_alpha_flow_wait_progress;theta_rho_cong_decay;theta_lambda_cong;theta_flow_shield_beta;theta_max_flow_shield;theta_max_edge_cost,1.25,1.09738663226,1.25,0.75,0.75,1.0927510147,0.691552654715,0.98083664719,1,0.652539079383,0.65,0.331846734201,0.817976985235,1,10.7744507888,1,0,0,False,False,False,False,False
