row_type,model,policy,fold_id,avoidability_ece,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
calibration_fold,no_exact_failure_ablation,no_exact_failure_ablation,warehouse_holdout,0.075,False,False,False,False,False
calibration_fold,no_exact_failure_ablation,no_exact_failure_ablation,map_family_balanced_bootstrap_0,0.011538461538,False,False,False,False,False
calibration_fold,no_exact_failure_ablation,no_exact_failure_ablation,map_family_balanced_bootstrap_1,0.011538461538,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,seed_oof,0.008333333333,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,fixed_train_dev,0.055263157895,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_family_maze,0.025,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_family_random,0.025,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_family_warehouse,0.075,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_agent_group_34,0.0,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_agent_group_204,0.05,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_agent_group_434,0.0,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_agent_group_644,0.05,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_agent_group_40,0.05,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,leave_map_agent_group_380,0.2,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,budget_holdout_1000,0.05,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,budget_holdout_2000,0.033333333333,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,warehouse_holdout,0.075,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,map_family_balanced_bootstrap_0,0.011538461538,False,False,False,False,False
calibration_fold,param_only_control,param_only_control,map_family_balanced_bootstrap_1,0.011538461538,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,seed_oof,0.0,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,fixed_train_dev,0.055263157895,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_family_maze,0.025,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_family_random,0.05,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_family_warehouse,0.075,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_agent_group_34,0.0,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_agent_group_204,0.05,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_agent_group_434,0.0,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_agent_group_644,0.05,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_agent_group_40,0.05,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,leave_map_agent_group_380,0.2,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,budget_holdout_1000,0.033333333333,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,budget_holdout_2000,0.033333333333,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,warehouse_holdout,0.075,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,map_family_balanced_bootstrap_0,0.011538461538,False,False,False,False,False
calibration_fold,trace_only_control,trace_only_control,map_family_balanced_bootstrap_1,0.011538461538,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,seed_oof,0.008333333333,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,fixed_train_dev,0.081578947368,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_family_maze,0.0,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_family_random,0.05,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_family_warehouse,0.075,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_agent_group_34,0.05,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_agent_group_204,0.05,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_agent_group_434,0.05,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_agent_group_644,0.05,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_agent_group_40,0.05,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,leave_map_agent_group_380,0.2,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,budget_holdout_1000,0.016666666667,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,budget_holdout_2000,0.033333333333,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,warehouse_holdout,0.075,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,map_family_balanced_bootstrap_0,0.011538461538,False,False,False,False,False
calibration_fold,random_feature_control,random_feature_control,map_family_balanced_bootstrap_1,0.05,False,False,False,False,False
