candidate_id,existing_not_ready_reason,corrected_not_ready_reason,existing_shortlist_ready,corrected_shortlist_ready,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,materialization_gate_not_met_misclassified,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c00894,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00065,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01012,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00051,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00029,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00966,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01062,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02512,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02556,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00992,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02537,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00918,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00020,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02574,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02514,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00005,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00022,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00983,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02496,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00011,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02540,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00048,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01014,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01013,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02515,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00050,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02560,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02504,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01080,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01024,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02557,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00036,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01023,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00980,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01035,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00954,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02564,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00066,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01046,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00984,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01116,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00069,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01015,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00990,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02495,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02424,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02478,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02634,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02521,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02546,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00034,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00067,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01005,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00997,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01034,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01003,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02436,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02523,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02558,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01004,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01040,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02610,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00981,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02466,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00906,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00058,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01098,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00035,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01026,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00989,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00063,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00021,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c01000,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00976,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00003,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02592,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02502,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00015,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00978,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c02529,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00987,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00982,materialization_gate_not_met,,False,True,1,True,True,True,True,False,False,False,False,False
g554_c00000,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00037,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00056,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02586,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02568,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00061,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00026,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00041,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02550,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00052,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01038,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00027,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00013,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00042,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00014,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00996,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00057,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00942,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01011,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02580,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00047,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00031,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02508,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00028,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02525,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00002,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00046,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02598,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01110,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01032,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00062,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00068,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00017,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01029,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00001,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00049,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00016,quality_gate_not_met,quality_gate_not_met,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00039,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00960,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00006,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02460,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00043,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00053,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00030,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02472,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00045,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00060,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01050,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01045,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00924,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01008,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00010,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01047,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00004,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00038,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02490,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00009,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01074,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02562,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00032,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00979,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00972,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00948,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00018,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02484,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00024,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00033,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
