horizon_id,short_budget_ms,base_time_limit_sec,ltm_max_iterations,rows,success_regression_rows,success_regression_vs_additive_rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
generated_theta_targeted_short2000_t100_i2,2000,1,2,414,414,197,False,False,False,False,False
generated_theta_targeted_short2000_t050_i2,2000,0.5,2,132,132,60,False,False,False,False,False
generated_theta_targeted_short5000_t100_i4,5000,1,4,87,87,37,False,False,False,False,False
generated_theta_targeted_short5000_t050_i2,5000,0.5,2,19,19,6,False,False,False,False,False
