candidate_id,candidate_role,candidate_region,candidate_family,safe_win_count,incremental_gap,candidate_induced_no_solution_count,budget_sensitive_failure_count,nearest_g518_distance,nearest_old14_distance,selection_reason,policy_candidate_or_negative_control,include_in_probe,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g59_additive_fallback,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_block_heavy_flow_guard,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_c_only_f_disabled,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_fast_decay_low_shield,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_flow_decay,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_high_beta_cap_safe,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_light_cong_light_flow,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_low_beta_high_cap,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_slow_decay_high_shield,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_static_abstain_candidate,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_static_flow_shield,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_wait_aggressive,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g59_wait_conservative,old14,old14,old14,,,,,,,old14_control,control,True,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,g518_retained,g518_retained,,,,,,,retained_g518_control,control,True,False,False,False,False,False
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g518_retained,g518_retained,g518_retained,,,,,,,retained_g518_control,control,True,False,False,False,False,False
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,g518_retained,g518_retained,g518_retained,,,,,,,retained_g518_control,control,True,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,g518_retained,g518_retained,g518_retained,,,,,,,retained_g518_control,control,True,False,False,False,False,False
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,g518_retained,g518_retained,,,,,,,retained_g518_control,control,True,False,False,False,False,False
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g518_retained,g518_retained,g518_retained,,,,,,,retained_g518_control,control,True,False,False,False,False,False
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,g518_retained,g518_retained,,,,,,,retained_g518_control,control,True,False,False,False,False,False
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,g518_retained,g518_retained,g518_retained,,,,,,,retained_g518_control,control,True,False,False,False,False,False
repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,6,,1,0,0.394968353163,0.3,region_minimum_D_fractional_coverage|top_incremental_gap|top_safe_win_count,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,4,,0,0,0.412431812546,0.427317212384,low_induced_failure|region_minimum_D_fractional_coverage|top_incremental_gap|top_safe_win_count,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p00_b1p35_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p80_c0,g522_response_surface,B_static_recovery_feasibility,feasibility_oriented,4,,0,0,0.137113092008,0.190525588833,region_minimum_B_static_recovery_feasibility|top_incremental_gap|top_safe_win_count,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p14_b1p46_f0p83_w0p73_dc0p90_df1p00_beta0p34_max0p94_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,4,,0,0,0.389486841883,0.347994252826,top_incremental_gap|top_safe_win_count,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p90_dc0p90_df0p95_beta0p55_max0p90_c0,g522_response_surface,C_risk_boundary,risk_boundary,4,,0,0,0.335410196625,0.372692903072,region_minimum_C_risk_boundary|top_incremental_gap|top_safe_win_count,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,4,,1,0,0.474552420708,0.545160526818,far_from_g518|top_incremental_gap|top_safe_win_count,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,4,,2,0,0.397994974843,0.471062628533,top_incremental_gap|top_safe_win_count,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p00_b1p35_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p65_c0,g522_response_surface,B_static_recovery_feasibility,feasibility_oriented,2,,0,0,0.162172747402,0.209284495365,region_minimum_B_static_recovery_feasibility|top_incremental_gap|top_safe_win_count,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p75_dc0p90_df0p95_beta0p55_max0p90_c0,g522_response_surface,C_risk_boundary,risk_boundary,2,,0,0,0.273861278753,0.341174442185,region_minimum_C_risk_boundary,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c0p85_b1p24_f0p87_w0p48_dc0p95_df0p98_beta0p65_max0p99_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,0,,0,0,0.431161222746,0.50537115074,low_induced_failure,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c0p90_b1p30_f1p00_w0p40_dc0p95_df1p00_beta0p30_max0p75_c0,g522_response_surface,A_g518_winner_neighborhood,winner_neighborhood,0,,0,0,0.122474487139,0.25,low_induced_failure,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c0p90_b1p40_f1p00_w0p40_dc0p95_df1p00_beta0p40_max0p75_c0,g522_response_surface,A_g518_winner_neighborhood,winner_neighborhood,0,,0,0,0.070710678119,0.180277563773,low_induced_failure,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p25_b1p66_f1p09_w0p62_dc0p93_df0p94_beta0p31_max0p51_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,0,,0,0,0.472016948848,0.416893271714,far_from_g518,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p26_b1p68_f1p11_w0p66_dc0p95_df0p96_beta0p39_max0p61_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,0,,0,0,0.437607129741,0.40062451248,far_from_g518,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c0p80_b1p15_f0p75_w0p30_dc0p88_df0p90_beta0p25_max0p50_c0,g522_response_surface,D_fractional_coverage,orthogonal_coverage,0,,2,0,0.494873721266,0.533853912602,far_from_g518,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p00_b1p45_f1p00_w0p40_dc0p92_df0p98_beta0p30_max0p80_c0,g522_response_surface,B_static_recovery_feasibility,feasibility_oriented,2,,0,0,0.145945195193,0.137113092008,minimum_count_fill,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p20_b1p55_f1p05_w0p75_dc0p90_df0p95_beta0p65_max0p90_c0,g522_response_surface,C_risk_boundary,risk_boundary,2,,0,0,0.273861278753,0.353553390593,minimum_count_fill,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c0p90_b1p55_f1p00_w0p55_dc0p95_df1p00_beta0p45_max0p75_c0,g522_response_surface,A_g518_winner_neighborhood,winner_neighborhood,0,,0,0,0.111803398875,0.158113883008,minimum_count_fill,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p00_b1p35_f1p00_w0p50_dc0p92_df0p98_beta0p35_max0p65_c0,g522_response_surface,B_static_recovery_feasibility,feasibility_oriented,0,,0,0,0.162172747402,0.183847763109,minimum_count_fill,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p00_b1p35_f1p00_w0p50_dc0p92_df0p98_beta0p35_max0p80_c0,g522_response_surface,B_static_recovery_feasibility,feasibility_oriented,0,,0,0,0.137113092008,0.162172747402,minimum_count_fill,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p00_b1p45_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p65_c0,g522_response_surface,B_static_recovery_feasibility,feasibility_oriented,0,,0,0,0.162172747402,0.154272486205,minimum_count_fill,policy_candidate,True,False,False,False,False,False
repair5g522_grid_c1p00_b1p45_f1p00_w0p50_dc0p92_df0p98_beta0p30_max0p80_c0,g522_response_surface,B_static_recovery_feasibility,feasibility_oriented,0,,0,0,0.145945195193,0.093808315196,minimum_count_fill,policy_candidate,True,False,False,False,False,False
