plan_row_id,stage,candidate_id,method,map,map_family,agents,seed,seed_block,budget_ms,context_key,source_stage_code,source_search_stage,execution_mode,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g540_stage2_candidate_context_00000000,stage2,repair5g539_s1_026,repair5g518_grid_c1p4_b1p25_f1p25_w0p75_dc1p00_df1p00_beta0p6_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s1,Stage 1 stratified coarse search,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000001,stage2,repair5g539_s2_102,repair5g518_grid_c1p00_b1p25_f1p00_w0p25_dc0p95_df0p98_beta0p45_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000002,stage2,repair5g539_s2_110,repair5g518_grid_c1p1_b1p4_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000003,stage2,repair5g539_s2_089,repair5g518_grid_c1p4_b1p6_f1p00_w0p65_dc0p95_df0p9_beta0p3_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000004,stage2,repair5g539_s2_104,repair5g518_grid_c1p00_b1p00_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000005,stage2,repair5g539_s2_088,repair5g518_grid_c1p25_b1p4_f1p00_w0p75_dc0p95_df0p98_beta0p35_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000006,stage2,repair5g539_s2_103,repair5g518_grid_c1p4_b1p00_f1p00_w0p35_dc0p95_df0p98_beta0p45_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000007,stage2,repair5g539_s1_061,repair5g518_grid_c1p00_b1p25_f0p5_w0p75_dc0p98_df0p98_beta0p6_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s1,Stage 1 stratified coarse search,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000008,stage2,repair5g539_s2_087,repair5g518_grid_c1p1_b1p4_f1p00_w0p75_dc0p95_df0p98_beta0p3_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000009,stage2,repair5g539_s3_117,repair5g518_grid_c1p00_b1p00_f1p00_w0p5_dc0p98_df0p95_beta0p3_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s3,Stage 3 safety-boundary stress,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000010,stage2,repair5g539_s1_043,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p98_df0p9_beta0p15_max1p00_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s1,Stage 1 stratified coarse search,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000011,stage2,repair5g539_s2_080,repair5g518_grid_c1p00_b1p25_f1p00_w0p65_dc0p95_df0p98_beta0p25_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
g540_stage2_candidate_context_00000012,stage2,repair5g539_s2_096,repair5g518_grid_c1p4_b1p6_f1p00_w0p25_dc0p95_df0p98_beta0p45_max0p75_c0,maze-32-32-4,maze,50,666,660_679,2000,maze-32-32-4|50|666|2000,s2,Stage 2 local safe-winner refinement,real_solver_execution_required,False,False,False,False,False
