g539_probe_row_id,context_budget_iteration_key,context_key,role,planned_candidate_id,planned_method,materialized_candidate_id,materialization_source,raw_solver_result_id,source_round,commit,branch,dirty_state,binary_path,method,method_alias,candidate_id,update_params_fingerprint,map,map_family,agents,seed,budget_ms,ltm_max_iterations,iteration,solution_found,sum_of_loss_ratio,time_to_first_solution,expanded_nodes,high_level_expansions,low_level_pibt_calls,trace_event_count,pibt_failure_audit_count,traffic_before_hash,traffic_after_hash,raw_checkpoint_source,trace_backend,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g539_probe_00000000,random-32-32-20|100|486|500|0,random-32-32-20|100|486|500,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,new_g539_probe_real_solver_execution,g539_probe_raw_00000061,g539_probe_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b500__i2,repair5g59_additive_fallback,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,random-32-32-20,random,100,486,500,2,0,True,0.970945945946,,62,62,6096,6790,9,14650fb0739d0383,7c8184eeea5671,outputs/logs/phase5p5_repair5g539_param_optimizer_probe/checkpoints_random_32_32_20_a100_b500.jsonl,real_solver_trace,False,False,False,False,False
g539_probe_00000001,random-32-32-20|100|486|500|final,random-32-32-20|100|486|500,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,new_g539_probe_real_solver_execution,g539_probe_raw_00000166,g539_probe_real_solver_execution_final_run,837c137,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b500__i2,repair5g59_additive_fallback,,random-32-32-20,random,100,486,500,2,final,True,0.970945945946,441,62,62,6096,6790,,,,,real_solver_trace,False,False,False,False,False
g539_probe_00000002,random-32-32-20|100|486|500|0,random-32-32-20|100|486|500,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g539_probe_real_solver_execution,g539_probe_raw_00000062,g539_probe_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b500__i2,repair5g59_static_flow_shield,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,random-32-32-20,random,100,486,500,2,0,True,0.970945945946,,62,62,6096,6790,9,14650fb0739d0383,38277cfec799f21d,outputs/logs/phase5p5_repair5g539_param_optimizer_probe/checkpoints_random_32_32_20_a100_b500.jsonl,real_solver_trace,False,False,False,False,False
g539_probe_00000003,random-32-32-20|100|486|500|final,random-32-32-20|100|486|500,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g539_probe_real_solver_execution,g539_probe_raw_00000167,g539_probe_real_solver_execution_final_run,837c137,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b500__i2,repair5g59_static_flow_shield,,random-32-32-20,random,100,486,500,2,final,True,0.970945945946,445,62,62,6096,6790,,,,,real_solver_trace,False,False,False,False,False
g539_probe_00000004,random-32-32-20|100|486|500|0,random-32-32-20|100|486|500,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_g539_probe_real_solver_execution,g539_probe_raw_00000063,g539_probe_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b500__i2,repair5g59_high_beta_cap_safe,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.59999999999999998|max_flow_shield=0.75,random-32-32-20,random,100,486,500,2,0,True,0.970945945946,,62,62,6096,6790,9,14650fb0739d0383,38277cfec799f21d,outputs/logs/phase5p5_repair5g539_param_optimizer_probe/checkpoints_random_32_32_20_a100_b500.jsonl,real_solver_trace,False,False,False,False,False
g539_probe_00000005,random-32-32-20|100|486|500|final,random-32-32-20|100|486|500,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_g539_probe_real_solver_execution,g539_probe_raw_00000168,g539_probe_real_solver_execution_final_run,837c137,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b500__i2,repair5g59_high_beta_cap_safe,,random-32-32-20,random,100,486,500,2,final,True,0.970945945946,456,62,62,6096,6790,,,,,real_solver_trace,False,False,False,False,False
g539_probe_00000006,random-32-32-20|100|486|500|0,random-32-32-20|100|486|500,frozen_family_static_goal_aware,repair5g59_wait_aggressive,repair5g59_wait_aggressive,repair5g59_wait_aggressive,new_g539_probe_real_solver_execution,g539_probe_raw_00000064,g539_probe_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_wait_aggressive,repair5g59_wait_aggressive__b500__i2,repair5g59_wait_aggressive,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=1|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,random-32-32-20,random,100,486,500,2,0,True,0.970945945946,,62,62,6096,6790,9,14650fb0739d0383,bc64194a36ed0440,outputs/logs/phase5p5_repair5g539_param_optimizer_probe/checkpoints_random_32_32_20_a100_b500.jsonl,real_solver_trace,False,False,False,False,False
g539_probe_00000007,random-32-32-20|100|486|500|final,random-32-32-20|100|486|500,frozen_family_static_goal_aware,repair5g59_wait_aggressive,repair5g59_wait_aggressive,repair5g59_wait_aggressive,new_g539_probe_real_solver_execution,g539_probe_raw_00000169,g539_probe_real_solver_execution_final_run,837c137,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_wait_aggressive,repair5g59_wait_aggressive__b500__i2,repair5g59_wait_aggressive,,random-32-32-20,random,100,486,500,2,final,True,0.970945945946,437,62,62,6096,6790,,,,,real_solver_trace,False,False,False,False,False
g539_probe_00000008,random-32-32-20|100|486|500|0,random-32-32-20|100|486|500,param::repair5g539_s1_000,repair5g539_s1_000,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,repair5g539_s1_000,new_g539_probe_real_solver_execution,g539_probe_raw_00000065,g539_probe_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,repair5g539_s1_000__b500__i2,repair5g539_s1_000,alpha_commit=1.1000000000000001|alpha_block=1.25|alpha_wait_spillover=0.65000000000000002|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.1000000000000001|alpha_cong_commit_nonprogress=1.1000000000000001|alpha_cong_block=1.25|alpha_cong_wait_progress=0.65000000000000002|alpha_cong_wait_nonprogress=0.65000000000000002|alpha_flow_commit_progress=0.75|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=0.94999999999999996|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.25|max_flow_shield=1.25,random-32-32-20,random,100,486,500,2,0,True,0.970945945946,,62,62,6096,6790,9,14650fb0739d0383,8c21f412952407d1,outputs/logs/phase5p5_repair5g539_param_optimizer_probe/checkpoints_random_32_32_20_a100_b500.jsonl,real_solver_trace,False,False,False,False,False
g539_probe_00000009,random-32-32-20|100|486|500|final,random-32-32-20|100|486|500,param::repair5g539_s1_000,repair5g539_s1_000,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,repair5g539_s1_000,new_g539_probe_real_solver_execution,g539_probe_raw_00000170,g539_probe_real_solver_execution_final_run,837c137,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,repair5g539_s1_000__b500__i2,repair5g539_s1_000,,random-32-32-20,random,100,486,500,2,final,True,0.970945945946,435,62,62,6096,6790,,,,,real_solver_trace,False,False,False,False,False
