context_id,g567_evaluation_uid,split,map,map_family,ltm_target_map,ltm_target_match_type,selection_stage,ltm_style_primary_subset,agent_count,official_scenario,map_source_type,scenario_source_type,complete_triple,ltm_30s_present,ltm_30s_success,ltm_30s_ratio,ltm_30s_solver_wall_ms,ltm_30s_actor_inference_ms,ltm_30s_total_method_ms,ltm_30s_hard_timeout,ltm_30s_infrastructure_failure,static_flow_30s_present,static_flow_30s_success,static_flow_30s_ratio,static_flow_30s_solver_wall_ms,static_flow_30s_actor_inference_ms,static_flow_30s_total_method_ms,static_flow_30s_hard_timeout,static_flow_30s_infrastructure_failure,gate3b_actor_30s_present,gate3b_actor_30s_success,gate3b_actor_30s_ratio,gate3b_actor_30s_solver_wall_ms,gate3b_actor_30s_actor_inference_ms,gate3b_actor_30s_total_method_ms,gate3b_actor_30s_hard_timeout,gate3b_actor_30s_infrastructure_failure,actor_vs_ltm_both_success,actor_vs_ltm_success_gain,actor_vs_ltm_success_regression,actor_vs_ltm_relative_quality_improvement,actor_vs_ltm_harmful_quality_delta,actor_vs_ltm_runtime_change_ms,actor_vs_static_flow_both_success,actor_vs_static_flow_success_gain,actor_vs_static_flow_success_regression,actor_vs_static_flow_relative_quality_improvement,actor_vs_static_flow_harmful_quality_delta,actor_vs_static_flow_runtime_change_ms,static_flow_vs_ltm_both_success,static_flow_vs_ltm_success_gain,static_flow_vs_ltm_success_regression,static_flow_vs_ltm_relative_quality_improvement,static_flow_vs_ltm_harmful_quality_delta,static_flow_vs_ltm_runtime_change_ms
g567_gate3b_calibration_00085,d43944d7dd481f3dea79e6276b08f79f1f4cabef725cf59e74c8facad9d5aa86,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,128,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.17344809598,289.37877621501684,0.0,289.37877621501684,False,False,True,True,1.16979655712,372.89607152342796,0.0,372.89607152342796,False,False,True,True,1.1799687011,388.1259961053729,20.09000121522695,408.21599732059985,False,False,True,False,False,-0.005556790404567756,0.005556790404567756,118.83722110558301,True,False,False,-0.008695652178224452,0.008695652178224452,35.31992579717189,True,False,False,0.003111802620422217,0.0,83.51729530841112
g567_gate3b_calibration_00086,2e990b94a01306b0fd7e4277e32f87716bc55140b641beabe4cd6d5eafb62b66,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,192,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.29661614381,428.3145796507597,0.0,428.3145796507597,False,False,True,True,1.31529784984,533.7728410959244,0.0,533.7728410959244,False,False,True,False,nan,22.33812864869833,20.09000121522695,42.42812986392528,False,False,False,False,True,nan,nan,-385.8864497868344,False,False,True,nan,nan,-491.3447112319991,True,False,False,-0.014408046760165683,0.014408046760165683,105.45826144516468
g567_gate3b_calibration_00087,4076d31fe2928b2e0f299c91b7349b6faecec2f2f8ea68b1c55b58e0fba17ece,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,192,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.29483859831,409.2960013076663,0.0,409.2960013076663,False,False,True,True,1.31848783014,539.8751590400934,0.0,539.8751590400934,False,False,True,True,1.35163127913,542.0380523428321,20.09000121522695,562.128053558059,False,False,True,False,False,-0.04386081855616978,0.04386081855616978,152.83205225039274,True,False,False,-0.025137470541901585,0.025137470541901585,22.252894517965615,True,False,False,-0.018264231434610204,0.018264231434610204,130.57915773242712
g567_gate3b_calibration_00088,c60ea21bb305fe4662009c9bed87c54d3d7b93d7e4b1862b509bda520b276eda,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,192,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.30095943444,442.9240431636572,0.0,442.9240431636572,False,False,True,True,1.29506817034,549.2561757564545,0.0,549.2561757564545,False,False,True,False,nan,24.40823707729578,20.09000121522695,44.49823829252273,False,False,False,False,True,nan,nan,-398.42580487113446,False,False,True,nan,nan,-504.75793746393174,True,False,False,0.00452839953655885,0.0,106.33213259279728
g567_gate3b_calibration_00089,67a4731b160f96c1a0811581a84886e42faaa4f2b555adb5578a0c4a0bcd27f6,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,384,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.5994047619,974.0678975358605,0.0,974.0678975358605,False,False,True,True,1.73265306122,1150.244114920497,0.0,1150.244114920497,False,False,True,True,1.74829931973,1151.5877842903137,20.09000121522695,1171.6777855055407,False,False,True,False,False,-0.09309373172874762,0.09309373172874762,197.60988796968013,True,False,False,-0.009030231648904506,0.009030231648904506,21.43367058504373,True,False,False,-0.08331118081811179,0.08331118081811179,176.1762173846364
g567_gate3b_calibration_00090,33c4c6de8d626c6eab210389ca00f88ece60d022706c6de577714bd6ae868cd0,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,384,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.56568249893,860.270475037396,0.0,860.270475037396,False,False,True,True,1.64415917843,1139.9326482787728,0.0,1139.9326482787728,False,False,True,True,1.61771501926,1130.1605813205242,20.09000121522695,1150.2505825357512,False,False,True,False,False,-0.03323312380738719,0.03323312380738719,289.9801074983552,True,False,False,0.01608369768385284,0.0,10.317934256978333,True,False,False,-0.05012298441965828,0.05012298441965828,279.6621732413769
g567_gate3b_calibration_00091,dff399b22c29d8a9335cf5ae7b6d79059f39315600010d72d6e1b8ca29c758a7,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,384,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,1.59367293137,914.8500915616751,0.0,914.8500915616751,False,False,True,True,1.62182158347,1125.5090683698654,0.0,1125.5090683698654,False,False,True,True,1.70201547751,1128.7855599075556,20.09000121522695,1148.8755611227825,False,False,True,False,False,-0.06798292422954279,0.06798292422954279,234.02546956110746,True,False,False,-0.049446804048827356,0.049446804048827356,23.36649275291711,True,False,False,-0.017662753470878173,0.017662753470878173,210.65897680819035
g567_gate3b_calibration_00092,ad45ddc2e30608df64d57ea8a7983794fb5b7714c0cdc1ca7cb2a34466bb1941,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,768,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,2.95001540018,2782.500743865967,0.0,2782.500743865967,False,False,True,True,3.26052712633,2741.8514136224985,0.0,2741.8514136224985,False,False,True,False,nan,18.527766689658165,20.09000121522695,38.61776790488511,False,False,False,False,True,nan,nan,-2743.8829759610817,False,False,True,nan,nan,-2703.2336457176134,True,False,False,-0.10525766276713462,0.10525766276713462,-40.649330243468285
g567_gate3b_calibration_00093,a9ac363e1f4a1211e44890d7a7320bf2e62754d0844a5a40d5e5de8acf379706,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,768,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,2.96688514758,3419.076190330088,0.0,3419.076190330088,False,False,True,True,3.16321809536,3022.8149043396115,0.0,3022.8149043396115,False,False,True,False,nan,22.612283006310463,20.09000121522695,42.70228422153741,False,False,False,False,True,nan,nan,-3376.3739061085507,False,False,True,nan,nan,-2980.112620118074,True,False,False,-0.06617477186137209,0.06617477186137209,-396.2612859904766
g567_gate3b_calibration_00094,6a0ee6b1062fcc3511c1b065f3809247bd0e5f90c325f9f8a36b27aa1369230a,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,768,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,2.93205403471,2617.5192343071103,0.0,2617.5192343071103,False,False,True,True,3.20142243693,2671.930953860283,0.0,2671.930953860283,False,False,True,True,3.45831096797,2785.923338495195,20.09000121522695,2806.013339710422,False,False,True,False,False,-0.1794840500993872,0.1794840500993872,188.49410540331155,True,False,False,-0.08024199745608795,0.08024199745608795,134.08238585013896,True,False,False,-0.09187020397004463,0.09187020397004463,54.41171955317259
g567_gate3b_calibration_00095,8fe9862d70b05fea30ab75033d2c2441f85f0b250a43494bf00e574d8d25ca0a,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,768,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,3.11807114488,3147.462631575763,0.0,3147.462631575763,False,False,True,True,3.34121913314,2766.595878638327,0.0,2766.595878638327,False,False,True,True,3.67250906579,2848.948367871344,20.09000121522695,2869.038369086571,False,False,True,False,False,-0.1778143907397397,0.1778143907397397,-278.4242624891922,True,False,False,-0.09915241097600841,0.09915241097600841,102.44249044824392,True,False,False,-0.07156603486306531,0.07156603486306531,-380.8667529374361
g567_gate3b_calibration_00096,121b80347a4b89054d0a56305c6afcf37183c2fc7dcffec2526cbe44ab32e959,CALIBRATION,warehouse_small,warehouse,family_backfill:warehouse,secondary_same_family_backfill,secondary_same_family_backfill,False,768,False,canonical_public_benchmark_map,czr004_derived_on_public_parent_map,True,True,True,3.06202520718,2439.234636723995,0.0,2439.234636723995,False,False,True,True,3.3424551105,2689.774173311889,0.0,2689.774173311889,False,False,True,True,3.57272962707,3207.305245101452,20.09000121522695,3227.395246316679,False,False,True,False,False,-0.16678648454378273,0.16678648454378273,788.1606095926836,True,False,False,-0.0688938247357803,0.0688938247357803,537.6210730047897,True,False,False,-0.09158314656013705,0.09158314656013705,250.53953658789396
g567_gate3b_calibration_00097,ac8b55668b4d73df9316a6a40419e7d8c7aa96ca6513e4d6bb385294ab1cddcc,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_random,True,True,True,1.05217391304,16.78351406008005,0.0,16.78351406008005,False,False,True,True,1.02608695652,23.33996258676052,0.0,23.33996258676052,False,False,True,True,1.00869565217,113.45401592552662,20.09000121522695,133.54401714075357,False,False,True,False,False,0.04132231405013676,0.0,116.76050308067352,True,False,False,0.016949152544520278,0.0,110.20405455399305,True,False,False,0.024793388428181275,0.0,6.5564485266804695
g567_gate3b_calibration_00098,206017057ff34905a480867b9918f1bd6ebea0fa4e498bc88f79f139cb8636d1,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_random,True,True,True,1.04132231405,15.187030658125877,0.0,15.187030658125877,False,False,True,True,1.03305785124,18.76013446599245,0.0,18.76013446599245,False,False,True,True,1.03305785124,28.58231496065855,20.09000121522695,48.6723161758855,False,False,True,False,False,0.007936507936584297,0.0,33.48528551775962,True,False,False,0.0,0.0,29.912181709893048,True,False,False,0.007936507936584297,0.0,3.5731038078665733
