split,context_id,map,map_family,agents,seed,nominal_budget_ms,budget_ms,horizon_id,short_budget_ms,base_time_limit_sec,ltm_max_iterations,scenario_hash,fresh_seed_block,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
stage0_smoke,stage0|maze|a100|s486|b2000|smoke25,maze-32-32-4,maze,100,486,2000,2000,stage0_short25_t050_i2,25,0.5,2,268631770131076,480_499,False,False,False,False,False
stage0_smoke,stage0|random|a50|s487|b2000|smoke25,random-32-32-20,random,50,487,2000,2000,stage0_short25_t050_i2,25,0.5,2,147906315070244,480_499,False,False,False,False,False
stage0_smoke,stage0|maze|a50|s488|b2000|smoke25,maze-32-32-4,maze,50,488,2000,2000,stage0_short25_t050_i2,25,0.5,2,86043172084039,480_499,False,False,False,False,False
stage0_smoke,stage0|random|a100|s489|b2000|smoke25,random-32-32-20,random,100,489,2000,2000,stage0_short25_t050_i2,25,0.5,2,193439215699053,480_499,False,False,False,False,False
stage0_smoke,stage0|maze|a50|s490|b2000|smoke25,maze-32-32-4,maze,50,490,2000,2000,stage0_short25_t050_i2,25,0.5,2,57332246643209,480_499,False,False,False,False,False
stage0_smoke,stage0|random|a50|s491|b2000|smoke25,random-32-32-20,random,50,491,2000,2000,stage0_short25_t050_i2,25,0.5,2,87861041138910,480_499,False,False,False,False,False
stage0_smoke,stage0|maze|a100|s492|b2000|smoke25,maze-32-32-4,maze,100,492,2000,2000,stage0_short25_t050_i2,25,0.5,2,145074589665681,480_499,False,False,False,False,False
stage0_smoke,stage0|random|a50|s493|b2000|smoke25,random-32-32-20,random,50,493,2000,2000,stage0_short25_t050_i2,25,0.5,2,170104673803023,480_499,False,False,False,False,False
stage0_smoke,stage0|maze|a50|s494|b2000|smoke25,maze-32-32-4,maze,50,494,2000,2000,stage0_short25_t050_i2,25,0.5,2,67567674869098,480_499,False,False,False,False,False
stage0_smoke,stage0|random|a100|s495|b2000|smoke25,random-32-32-20,random,100,495,2000,2000,stage0_short25_t050_i2,25,0.5,2,182828537683881,480_499,False,False,False,False,False
stage0_smoke,stage0|maze|a50|s496|b2000|smoke25,maze-32-32-4,maze,50,496,2000,2000,stage0_short25_t050_i2,25,0.5,2,238685843673675,480_499,False,False,False,False,False
stage0_smoke,stage0|random|a50|s497|b2000|smoke25,random-32-32-20,random,50,497,2000,2000,stage0_short25_t050_i2,25,0.5,2,139100613695271,480_499,False,False,False,False,False
stage0_smoke,stage0|maze|a100|s498|b2000|smoke25,maze-32-32-4,maze,100,498,2000,2000,stage0_short25_t050_i2,25,0.5,2,186130625479750,480_499,False,False,False,False,False
stage0_smoke,stage0|random|a50|s499|b2000|smoke25,random-32-32-20,random,50,499,2000,2000,stage0_short25_t050_i2,25,0.5,2,193191987918907,480_499,False,False,False,False,False
stage0_smoke,stage0|maze|a50|s500|b2000|smoke25,maze-32-32-4,maze,50,500,2000,2000,stage0_short25_t050_i2,25,0.5,2,129290276714347,500_519,False,False,False,False,False
stage0_smoke,stage0|random|a100|s501|b2000|smoke25,random-32-32-20,random,100,501,2000,2000,stage0_short25_t050_i2,25,0.5,2,142046882129691,500_519,False,False,False,False,False
stage0_smoke,stage0|maze|a50|s502|b2000|smoke25,maze-32-32-4,maze,50,502,2000,2000,stage0_short25_t050_i2,25,0.5,2,256061185387715,500_519,False,False,False,False,False
stage0_smoke,stage0|random|a50|s503|b2000|smoke25,random-32-32-20,random,50,503,2000,2000,stage0_short25_t050_i2,25,0.5,2,125138071664508,500_519,False,False,False,False,False
stage0_smoke,stage0|maze|a100|s504|b2000|smoke25,maze-32-32-4,maze,100,504,2000,2000,stage0_short25_t050_i2,25,0.5,2,90643352001521,500_519,False,False,False,False,False
stage0_smoke,stage0|random|a50|s505|b2000|smoke25,random-32-32-20,random,50,505,2000,2000,stage0_short25_t050_i2,25,0.5,2,199318842995692,500_519,False,False,False,False,False
stage0_smoke,stage0|maze|a50|s506|b2000|smoke25,maze-32-32-4,maze,50,506,2000,2000,stage0_short25_t050_i2,25,0.5,2,141216719641521,500_519,False,False,False,False,False
stage0_smoke,stage0|random|a100|s507|b2000|smoke25,random-32-32-20,random,100,507,2000,2000,stage0_short25_t050_i2,25,0.5,2,63368195271777,500_519,False,False,False,False,False
stage0_smoke,stage0|maze|a50|s508|b2000|smoke25,maze-32-32-4,maze,50,508,2000,2000,stage0_short25_t050_i2,25,0.5,2,136725201272111,500_519,False,False,False,False,False
stage0_smoke,stage0|random|a50|s509|b2000|smoke25,random-32-32-20,random,50,509,2000,2000,stage0_short25_t050_i2,25,0.5,2,211278496418367,500_519,False,False,False,False,False
stage0_smoke,stage0|maze|a100|s510|b2000|smoke25,maze-32-32-4,maze,100,510,2000,2000,stage0_short25_t050_i2,25,0.5,2,92969751226439,500_519,False,False,False,False,False
stage1_search,stage1_search|random|a50|s1200|b1000,random-32-32-20,random,50,1200,1000,1000,stage1_search_short1000_t050_i2,1000,0.5,2,159594362853668,1200_1219,False,False,False,False,False
stage1_search,stage1_search|random|a50|s1200|b2000,random-32-32-20,random,50,1200,2000,2000,stage1_search_short1000_t050_i2,1000,0.5,2,46915439956503,1200_1219,False,False,False,False,False
stage1_search,stage1_search|random|a100|s1200|b1000,random-32-32-20,random,100,1200,1000,1000,stage1_search_short1000_t050_i2,1000,0.5,2,275002519650272,1200_1219,False,False,False,False,False
stage1_search,stage1_search|random|a100|s1200|b2000,random-32-32-20,random,100,1200,2000,2000,stage1_search_short1000_t050_i2,1000,0.5,2,75198592953931,1200_1219,False,False,False,False,False
stage1_search,stage1_search|maze|a50|s1200|b1000,maze-32-32-4,maze,50,1200,1000,1000,stage1_search_short1000_t050_i2,1000,0.5,2,210987363940998,1200_1219,False,False,False,False,False
stage1_search,stage1_search|maze|a50|s1200|b2000,maze-32-32-4,maze,50,1200,2000,2000,stage1_search_short1000_t050_i2,1000,0.5,2,158838833932179,1200_1219,False,False,False,False,False
stage1_search,stage1_search|maze|a100|s1200|b1000,maze-32-32-4,maze,100,1200,1000,1000,stage1_search_short1000_t050_i2,1000,0.5,2,195006281565984,1200_1219,False,False,False,False,False
