feature_group,feature_count,columns,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_map,2,feature_map_agent_group_hash|feature_map_family_hash,False,False,False,False,False
feature_agent,1,feature_agent_count,False,False,False,False,False
feature_iteration,1,feature_iteration_index,False,False,False,False,False
feature_trace,2,feature_trace_budget_count|feature_trace_candidate_count,False,False,False,False,False
feature_rich,2,feature_rich_budget_count|feature_rich_candidate_count_context,False,False,False,False,False
feature_candidate_param,9,feature_candidate_param_alpha_cong_blocked|feature_candidate_param_alpha_cong_committed|feature_candidate_param_alpha_flow_progress|feature_candidate_param_alpha_flow_wait_or_nonprogress|feature_candidate_param_c_only|feature_candidate_param_flow_shield_beta|feature_candidate_param_max_flow_shield|feature_candidate_param_rho_cong|feature_candidate_param_rho_flow,False,False,False,False,False
feature_candidate_geometry,2,feature_candidate_geometry_nearest_g518|feature_candidate_geometry_nearest_old14,False,False,False,False,False
feature_nearest_old14,1,feature_nearest_old14_distance,False,False,False,False,False
feature_nearest_g518,1,feature_nearest_g518_distance,False,False,False,False,False
feature_region_prior,1,feature_region_prior_hash,False,False,False,False,False
feature_context_bucket_prior,1,feature_context_bucket_prior_metadata,False,False,False,False,False
feature_interaction_runtime,1,feature_interaction_runtime_agent_x_beta,False,False,False,False,False
