agents,map,method,method_delta_ratio_vs_ltm,oracle_delta_ratio_vs_ltm,oracle_method,regret_to_oracle,scen,seed
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.01767676768000004,repair5g2_best_frozen_static_candidate,0.01767676768000004,maze-32-32-4-random-138.scen,138
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.01767676768000004,repair5g2_best_frozen_static_candidate,0.01767676768000004,maze-32-32-4-random-138.scen,138
50,maze-32-32-4,always_additive_defer,0.0,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.021218343599999967,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,laur_disable,0.0,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.021218343599999967,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,laur_force_additive_direct,0.0,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.021218343599999967,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.021218343599999967,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,-0.011293634496999938,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.009924709103000029,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5g2_frozen_static_or_selector,-0.011293634496999938,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.009924709103000029,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.021218343599999967,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,-0.011293634496999938,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.009924709103000029,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,-0.011293634496999938,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.009924709103000029,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,-0.021218343599999967,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.0,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.021218343599999967,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.021218343599999967,repair5g51_runtime_bad_g5_stump,0.021218343599999967,maze-32-32-4-random-139.scen,139
50,maze-32-32-4,always_additive_defer,0.0,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.011534025380000035,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,laur_disable,0.0,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.011534025380000035,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,laur_force_additive_direct,0.0,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.011534025380000035,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.011534025380000035,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,-0.010957324110000055,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.0005767012699999796,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,repair5g2_frozen_static_or_selector,-0.010957324110000055,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.0005767012699999796,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.011534025380000035,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,-0.010957324110000055,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.0005767012699999796,maze-32-32-4-random-140.scen,140
