mode,split,checkpoint_id,run_id,map_name,agents,seed,iteration,decision_target,target_rule,selected_decision,selected_rule,fallback_reason,rule_top1,rule_top3,safe_utility_top1,safe_utility_top3,selected_delta,additive_delta,selected_vs_additive_delta,selected_utility,additive_utility,selected_vs_additive_utility,oracle_best_safe_rule,oracle_best_safe_utility,utility_regret_to_oracle,selected_rule_harmful,has_nonadditive_opportunity,has_high_margin_nonadditive_opportunity,opportunity_margin,top_candidate_rules,harmful_labels,harmful_predictions,safety_mode
top3_per_rule_safety_utility,validation,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000,empty-48-48,100,10,0,use_nonadditive,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,True,True,True,True,0.0226303706133,0.0,0.0226303706133,0.0226303706133,0.0,0.0226303706133,block_heavy,0.0226303706133,0.0,False,True,True,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000,empty-48-48,100,10,1,defer_ltm,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,False,False,True,True,0.0059035749426,0.0,0.0059035749426,0.0059035749426,0.0,0.0059035749426,commit_heavy,0.0059035749426,0.0,False,False,False,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000,empty-48-48,100,10,2,use_nonadditive,wait_light,use_nonadditive,commit_heavy,topk_safe_utility,False,False,False,True,0.0170547720564,0.0,0.0170547720564,0.0170547720564,0.0,0.0170547720564,wait_light,0.0180387012135,0.0009839291571000011,False,True,False,0.01,"[""block_heavy"", ""wait_heavy"", ""commit_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000,empty-48-48,100,10,3,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0118071498852,0.0,0.0118071498852,0.0118071498852,0.0,0.0118071498852,commit_heavy,0.0118071498852,0.0,False,True,False,0.01,"[""block_heavy"", ""wait_heavy"", ""commit_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000,empty-48-48,100,11,0,use_nonadditive,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,True,True,True,True,0.0140974563285,0.0,0.0140974563285,0.0140974563285,0.0,0.0140974563285,block_heavy,0.0140974563285,0.0,False,True,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000,empty-48-48,100,11,1,use_nonadditive,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,True,True,True,True,0.0186944529574,0.0,0.0186944529574,0.0186944529574,0.0,0.0186944529574,block_heavy,0.0186944529574,0.0,False,True,False,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000,empty-48-48,100,11,2,defer_ltm,wait_light,use_nonadditive,commit_heavy,topk_safe_utility,False,False,False,True,-0.000612932883849,0.0,-0.000612932883849,-0.000612932883849,0.0,-0.000612932883849,wait_light,0.00459699662887,0.005209929512719,False,False,False,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000,empty-48-48,100,11,3,use_nonadditive,wait_light,use_nonadditive,block_heavy,topk_safe_utility,False,False,False,True,0.0119521912351,0.0,0.0119521912351,0.0119521912351,0.0,0.0119521912351,wait_light,0.0137909898866,0.0018387986515000006,False,True,False,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000,empty-48-48,100,12,0,defer_ltm,wait_heavy,use_nonadditive,wait_heavy,topk_safe_utility,False,False,True,True,0.00388059701493,0.0,0.00388059701493,0.00388059701493,0.0,0.00388059701493,wait_heavy,0.00388059701493,0.0,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000,empty-48-48,100,12,1,defer_ltm,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,False,False,True,True,0.00955223880597,0.0,0.00955223880597,0.00955223880597,0.0,0.00955223880597,commit_heavy,0.00955223880597,0.0,False,False,False,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
