dataset_row_id,safe_count,safe_improving_count,harmful_count,best_positive_quality_delta_vs_g556,positive_target_available,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g562_real_graph_000000,65,30,33,-0.27536231884000006,True,False,False,False,False,False
g562_real_graph_000001,65,43,21,-0.05072046109000006,True,False,False,False,False,False
g562_real_graph_000002,65,38,26,-0.15163147792999987,True,False,False,False,False,False
g562_real_graph_000003,65,1,63,-0.010843373489999975,True,False,False,False,False,False
g562_real_graph_000004,65,0,0,,False,False,False,False,False,False
g562_real_graph_000005,65,0,0,,False,False,False,False,False,False
g562_real_graph_000006,65,34,29,-0.4722222222199999,True,False,False,False,False,False
g562_real_graph_000007,65,0,0,,False,False,False,False,False,False
g562_real_graph_000008,65,47,17,-0.14232673266999996,True,False,False,False,False,False
g562_real_graph_000009,65,5,59,-0.2931034482800001,True,False,False,False,False,False
g562_real_graph_000010,45,12,52,-0.22532951290000014,True,False,False,False,False,False
g562_real_graph_000011,65,12,50,-0.030752916229999983,True,False,False,False,False,False
g562_real_graph_000012,65,21,43,-0.022239263809999965,True,False,False,False,False,False
g562_real_graph_000013,65,25,39,-0.07549668873999993,True,False,False,False,False,False
g562_real_graph_000014,65,0,0,,False,False,False,False,False,False
g562_real_graph_000015,36,30,34,-6.68472306756,True,False,False,False,False,False
g562_real_graph_000016,65,0,0,,False,False,False,False,False,False
g562_real_graph_000017,65,0,0,,False,False,False,False,False,False
g562_real_graph_000018,65,30,34,-0.05134899913000002,True,False,False,False,False,False
g562_real_graph_000019,65,10,53,-0.04265402843999988,True,False,False,False,False,False
g562_real_graph_000020,65,22,42,-0.10539671798999994,True,False,False,False,False,False
g562_real_graph_000021,65,0,0,,False,False,False,False,False,False
g562_real_graph_000022,65,20,41,-0.03621169915999989,True,False,False,False,False,False
g562_real_graph_000023,65,30,34,-0.06622516556000013,True,False,False,False,False,False
g562_real_graph_000024,65,22,40,-0.04761904762000002,True,False,False,False,False,False
g562_real_graph_000025,65,20,42,-0.022260273969999966,True,False,False,False,False,False
g562_real_graph_000026,65,0,0,,False,False,False,False,False,False
g562_real_graph_000027,65,43,21,-0.10817307692,True,False,False,False,False,False
g562_real_graph_000028,65,1,62,-0.0024999999999999467,True,False,False,False,False,False
g562_real_graph_000029,65,5,58,-0.01560178305999993,True,False,False,False,False,False
g562_real_graph_000030,65,8,56,-0.012190992210000084,True,False,False,False,False,False
g562_real_graph_000031,64,0,64,,False,False,False,False,False,False
g562_real_graph_000032,65,30,34,-0.08806016921999982,True,False,False,False,False,False
g562_real_graph_000033,65,0,0,,False,False,False,False,False,False
g562_real_graph_000034,65,0,0,,False,False,False,False,False,False
g562_real_graph_000035,65,0,0,,False,False,False,False,False,False
g562_real_graph_000036,65,35,29,-0.03296703297000003,True,False,False,False,False,False
g562_real_graph_000037,65,29,0,0.0,True,False,False,False,False,False
g562_real_graph_000038,64,8,56,-0.049003322259999926,True,False,False,False,False,False
g562_real_graph_000039,65,16,48,-0.05029515937999984,True,False,False,False,False,False
g562_real_graph_000040,65,0,0,,False,False,False,False,False,False
g562_real_graph_000041,65,6,58,-0.006628787879999987,True,False,False,False,False,False
g562_real_graph_000042,65,9,55,-0.014384920629999964,True,False,False,False,False,False
g562_real_graph_000043,65,0,0,,False,False,False,False,False,False
g562_real_graph_000044,65,23,41,-0.859375,True,False,False,False,False,False
g562_real_graph_000045,65,0,0,,False,False,False,False,False,False
g562_real_graph_000046,65,30,34,-0.08703878901999995,True,False,False,False,False,False
g562_real_graph_000047,55,8,56,-0.19580022701999988,True,False,False,False,False,False
g562_real_graph_000048,65,26,36,-0.03886925795000007,True,False,False,False,False,False
g562_real_graph_000049,65,0,0,,False,False,False,False,False,False
g562_real_graph_000050,65,12,52,-0.052777777780000035,True,False,False,False,False,False
g562_real_graph_000051,65,2,62,-0.014823717949999926,True,False,False,False,False,False
g562_real_graph_000052,65,0,0,,False,False,False,False,False,False
g562_real_graph_000053,30,2,62,-0.34767836919000006,True,False,False,False,False,False
g562_real_graph_000054,65,0,0,,False,False,False,False,False,False
g562_real_graph_000055,65,0,0,,False,False,False,False,False,False
g562_real_graph_000056,65,28,36,-1.6187500000000004,True,False,False,False,False,False
g562_real_graph_000057,65,0,0,,False,False,False,False,False,False
g562_real_graph_000058,65,25,39,-0.06938976378000006,True,False,False,False,False,False
g562_real_graph_000059,65,0,0,,False,False,False,False,False,False
g562_real_graph_000060,65,9,55,-0.00930565496999991,True,False,False,False,False,False
g562_real_graph_000061,65,0,0,,False,False,False,False,False,False
g562_real_graph_000062,65,30,33,-0.08178752107999987,True,False,False,False,False,False
g562_real_graph_000063,65,25,39,-0.05476190476000009,True,False,False,False,False,False
g562_real_graph_000064,65,0,0,,False,False,False,False,False,False
g562_real_graph_000065,65,0,0,,False,False,False,False,False,False
g562_real_graph_000066,65,0,0,,False,False,False,False,False,False
g562_real_graph_000067,65,14,44,-0.0333333333300001,True,False,False,False,False,False
g562_real_graph_000068,65,18,45,-0.04766107678000009,True,False,False,False,False,False
g562_real_graph_000069,65,0,0,,False,False,False,False,False,False
g562_real_graph_000070,44,19,45,-0.40025051242,True,False,False,False,False,False
g562_real_graph_000071,65,56,8,-0.1328125,True,False,False,False,False,False
g562_real_graph_000072,65,0,0,,False,False,False,False,False,False
g562_real_graph_000073,65,32,32,-0.027898027899999844,True,False,False,False,False,False
g562_real_graph_000074,65,27,37,-0.03761283852000008,True,False,False,False,False,False
g562_real_graph_000075,65,0,0,,False,False,False,False,False,False
g562_real_graph_000076,65,0,0,,False,False,False,False,False,False
g562_real_graph_000077,65,0,0,,False,False,False,False,False,False
g562_real_graph_000078,65,12,51,-0.031090487239999964,True,False,False,False,False,False
g562_real_graph_000079,65,24,40,-0.07663782448000012,True,False,False,False,False,False
g562_real_graph_000080,65,0,0,,False,False,False,False,False,False
g562_real_graph_000081,65,8,55,-0.03255056964000014,True,False,False,False,False,False
g562_real_graph_000082,65,16,45,-0.07142857143000003,True,False,False,False,False,False
g562_real_graph_000083,65,46,18,-0.06954887217999994,True,False,False,False,False,False
g562_real_graph_000084,65,0,0,,False,False,False,False,False,False
g562_real_graph_000085,65,0,0,,False,False,False,False,False,False
g562_real_graph_000086,65,14,50,-0.02906208719000003,True,False,False,False,False,False
g562_real_graph_000087,65,40,24,-0.23281061520000002,True,False,False,False,False,False
g562_real_graph_000088,65,0,0,,False,False,False,False,False,False
g562_real_graph_000089,65,45,18,-0.5447761194,True,False,False,False,False,False
g562_real_graph_000090,65,0,0,,False,False,False,False,False,False
g562_real_graph_000091,65,6,58,-0.030898876409999998,True,False,False,False,False,False
g562_real_graph_000092,62,18,46,-0.13135946622000017,True,False,False,False,False,False
g562_real_graph_000093,65,0,64,,False,False,False,False,False,False
g562_real_graph_000094,65,0,64,,False,False,False,False,False,False
g562_real_graph_000095,65,33,30,-0.05093833780000012,True,False,False,False,False,False
g562_real_graph_000096,65,25,39,-0.03655145013999994,True,False,False,False,False,False
g562_real_graph_000097,65,2,62,-0.003287070849999907,True,False,False,False,False,False
g562_real_graph_000098,65,35,29,-0.12383488681999988,True,False,False,False,False,False
g562_real_graph_000099,65,16,48,-0.03225035834000001,True,False,False,False,False,False
g562_real_graph_000100,65,0,64,,False,False,False,False,False,False
g562_real_graph_000101,65,3,61,-0.017751479289999983,True,False,False,False,False,False
g562_real_graph_000102,59,23,39,-0.04726368158999983,True,False,False,False,False,False
g562_real_graph_000103,65,0,0,,False,False,False,False,False,False
g562_real_graph_000104,65,0,0,,False,False,False,False,False,False
g562_real_graph_000105,65,51,12,-0.09469696969999997,True,False,False,False,False,False
g562_real_graph_000106,65,4,60,-0.007712082259999864,True,False,False,False,False,False
g562_real_graph_000107,65,28,33,-0.0987654321,True,False,False,False,False,False
g562_real_graph_000108,65,4,59,-0.03749999999999987,True,False,False,False,False,False
g562_real_graph_000109,65,0,0,,False,False,False,False,False,False
g562_real_graph_000110,65,16,48,-0.04098360656,True,False,False,False,False,False
g562_real_graph_000111,65,9,55,-0.012218045119999799,True,False,False,False,False,False
g562_real_graph_000112,65,0,0,,False,False,False,False,False,False
g562_real_graph_000113,65,44,19,-0.3030303030299999,True,False,False,False,False,False
g562_real_graph_000114,65,40,23,-0.06244796004000008,True,False,False,False,False,False
g562_real_graph_000115,47,36,28,-0.52079049578,True,False,False,False,False,False
g562_real_graph_000116,65,4,59,-0.014771048740000126,True,False,False,False,False,False
g562_real_graph_000117,65,0,0,,False,False,False,False,False,False
g562_real_graph_000118,65,29,35,-0.03061224489999992,True,False,False,False,False,False
g562_real_graph_000119,65,0,0,,False,False,False,False,False,False
g562_real_graph_000120,65,0,0,,False,False,False,False,False,False
g562_real_graph_000121,65,4,59,-0.025179856120000066,True,False,False,False,False,False
g562_real_graph_000122,54,2,62,-0.04574042310000004,True,False,False,False,False,False
g562_real_graph_000123,65,0,0,,False,False,False,False,False,False
g562_real_graph_000124,65,35,26,-0.07012987012999994,True,False,False,False,False,False
g562_real_graph_000125,65,0,0,,False,False,False,False,False,False
