path,exists,rows,bytes,sha256,commit_policy,exact_resume_command,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
outputs/logs/phase5p5_repair5g554_candidate_registry_v2.csv,True,16000,4752725,c0034e24ee209507d071766118e7989839d3e1cde0bfd05ddd358b4cdd5358ac,do_not_commit_raw_outputs_logs,python scripts/create_repair5g554_trust_region_search_space.py --candidate-count 16000,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_stage0b_smoke/stage0b_materialization_plan.csv,True,10150,4727517,2cb55cd8688e60029bb33710dbdce6a03d38e792bbe8a3e8dfb33ed4d6f7687c,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_stage0b_smoke/stage0b_materialization_results.csv,True,10150,15151620,386e12f76fb89bd25c21465b714c3e8a954ba6e7a877ef4f40f590a646b656fa,do_not_commit_raw_outputs_logs,python scripts/run_repair5g554_stage0b_materialization_and_field_smoke.py --row-limit 10000 --max-workers 16,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_stage1_fresh_screening/stage1_fresh_screening_plan.csv,True,768000,364102568,,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_stage1_fresh_screening/stage1_fresh_screening_results.csv,True,260096,386532395,,do_not_commit_raw_outputs_logs,python scripts/run_repair5g554_stage1_fresh_screening.py --row-limit 260000 --max-workers 22,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_stage2_nearmiss_expansion/stage2_nearmiss_expansion_plan.csv,False,0,0,,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_stage2_nearmiss_expansion/stage2_nearmiss_expansion_results.csv,True,360013,531831393,,do_not_commit_raw_outputs_logs,python scripts/run_repair5g554_stage2_nearmiss_expansion.py --row-limit 360000 --max-workers 22,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_validation/validation_plan.csv,False,0,0,,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_validation/validation_results.csv,True,0,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,do_not_commit_raw_outputs_logs,python scripts/run_repair5g554_validation.py --row-limit 130000 --max-workers 22,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_blind/blind_plan.csv,False,0,0,,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g554_blind/blind_results.csv,True,0,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,do_not_commit_raw_outputs_logs,python scripts/run_repair5g554_blind_if_warranted.py --row-limit 130000 --max-workers 22,False,False,False,False,False
