split,map_name,sample_count,opportunity_count,high_margin_opportunity_count,decision_distribution,target_rule_distribution,defer_reason_distribution
train,empty-16-16,300,250,239,"{""defer_ltm"": 50, ""use_nonadditive"": 250}","{""None"": 10, ""block_heavy"": 61, ""block_light"": 31, ""commit_heavy"": 75, ""decay_090"": 19, ""decay_095"": 30, ""wait_heavy"": 13, ""wait_light"": 61}","{""None"": 250, ""additive_is_best_safe"": 16, ""all_nonadditive_unsafe"": 10, ""ambiguous_low_margin"": 24}"
train,empty-32-32,400,285,187,"{""defer_ltm"": 115, ""use_nonadditive"": 285}","{""block_heavy"": 99, ""block_light"": 46, ""commit_heavy"": 70, ""decay_090"": 26, ""decay_095"": 40, ""wait_heavy"": 37, ""wait_light"": 82}","{""None"": 285, ""additive_is_best_safe"": 19, ""ambiguous_low_margin"": 96}"
train,maze-32-32-2,343,249,184,"{""defer_ltm"": 94, ""use_nonadditive"": 249}","{""None"": 9, ""block_heavy"": 41, ""block_light"": 54, ""commit_heavy"": 73, ""decay_090"": 27, ""decay_095"": 46, ""wait_heavy"": 15, ""wait_light"": 78}","{""None"": 249, ""additive_is_best_safe"": 23, ""all_nonadditive_unsafe"": 9, ""ambiguous_low_margin"": 62}"
train,random-32-32-10,400,291,225,"{""defer_ltm"": 109, ""use_nonadditive"": 291}","{""None"": 5, ""block_heavy"": 100, ""block_light"": 42, ""commit_heavy"": 56, ""decay_090"": 33, ""decay_095"": 44, ""wait_heavy"": 38, ""wait_light"": 82}","{""None"": 291, ""additive_is_best_safe"": 31, ""all_nonadditive_unsafe"": 5, ""ambiguous_low_margin"": 73}"
train,random-32-32-20,400,318,273,"{""defer_ltm"": 82, ""use_nonadditive"": 318}","{""None"": 9, ""block_heavy"": 72, ""block_light"": 40, ""commit_heavy"": 70, ""decay_090"": 39, ""decay_095"": 43, ""wait_heavy"": 34, ""wait_light"": 93}","{""None"": 318, ""additive_is_best_safe"": 28, ""all_nonadditive_unsafe"": 9, ""ambiguous_low_margin"": 45}"
train,random-64-64-10,400,198,89,"{""defer_ltm"": 202, ""use_nonadditive"": 198}","{""None"": 1, ""block_heavy"": 112, ""block_light"": 37, ""commit_heavy"": 108, ""decay_090"": 8, ""decay_095"": 33, ""wait_heavy"": 70, ""wait_light"": 31}","{""None"": 198, ""additive_is_best_safe"": 16, ""all_nonadditive_unsafe"": 1, ""ambiguous_low_margin"": 185}"
train,random-64-64-20,397,218,99,"{""defer_ltm"": 179, ""use_nonadditive"": 218}","{""None"": 3, ""block_heavy"": 105, ""block_light"": 27, ""commit_heavy"": 69, ""decay_090"": 28, ""decay_095"": 32, ""wait_heavy"": 67, ""wait_light"": 66}","{""None"": 218, ""additive_is_best_safe"": 15, ""all_nonadditive_unsafe"": 3, ""ambiguous_low_margin"": 161}"
train,room-32-32-4,379,310,274,"{""defer_ltm"": 69, ""use_nonadditive"": 310}","{""None"": 12, ""block_heavy"": 63, ""block_light"": 54, ""commit_heavy"": 84, ""decay_090"": 22, ""decay_095"": 40, ""wait_heavy"": 39, ""wait_light"": 65}","{""None"": 310, ""additive_is_best_safe"": 14, ""all_nonadditive_unsafe"": 12, ""ambiguous_low_margin"": 43}"
train,room-64-64-8,400,247,157,"{""defer_ltm"": 153, ""use_nonadditive"": 247}","{""None"": 2, ""block_heavy"": 83, ""block_light"": 61, ""commit_heavy"": 34, ""decay_090"": 24, ""decay_095"": 53, ""wait_heavy"": 56, ""wait_light"": 87}","{""None"": 247, ""additive_is_best_safe"": 37, ""all_nonadditive_unsafe"": 2, ""ambiguous_low_margin"": 114}"
train,warehouse-10-20-10-2-1,400,286,221,"{""defer_ltm"": 114, ""use_nonadditive"": 286}","{""None"": 4, ""block_heavy"": 54, ""block_light"": 53, ""commit_heavy"": 94, ""decay_090"": 29, ""decay_095"": 49, ""wait_heavy"": 45, ""wait_light"": 72}","{""None"": 286, ""additive_is_best_safe"": 25, ""all_nonadditive_unsafe"": 4, ""ambiguous_low_margin"": 85}"
train,warehouse-20-40-10-2-1,375,139,67,"{""defer_ltm"": 236, ""use_nonadditive"": 139}","{""None"": 90, ""block_heavy"": 76, ""block_light"": 21, ""commit_heavy"": 77, ""decay_090"": 15, ""decay_095"": 32, ""wait_heavy"": 43, ""wait_light"": 21}","{""None"": 139, ""additive_is_best_safe"": 8, ""all_nonadditive_unsafe"": 90, ""ambiguous_low_margin"": 138}"
validation,empty-48-48,400,212,86,"{""defer_ltm"": 188, ""use_nonadditive"": 212}","{""block_heavy"": 113, ""block_light"": 30, ""commit_heavy"": 88, ""decay_090"": 23, ""decay_095"": 30, ""wait_heavy"": 64, ""wait_light"": 52}","{""None"": 212, ""additive_is_best_safe"": 12, ""ambiguous_low_margin"": 176}"
validation,maze-32-32-4,362,271,224,"{""defer_ltm"": 91, ""use_nonadditive"": 271}","{""None"": 23, ""block_heavy"": 58, ""block_light"": 35, ""commit_heavy"": 79, ""decay_090"": 22, ""decay_095"": 39, ""wait_heavy"": 40, ""wait_light"": 66}","{""None"": 271, ""additive_is_best_safe"": 14, ""all_nonadditive_unsafe"": 23, ""ambiguous_low_margin"": 54}"
