model,risk_bucket,rows,mean_predicted_risk,mean_actual_risk,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
region_prior_baseline_reproduced,0,120,0.04722222222190006,0.041666666666666664,False,False,False,False,False
context_budget_region_classifier,0,120,0.04722222222190006,0.041666666666666664,False,False,False,False,False
context_budget_region_pairwise_ranker,0,120,0.04722222222190006,0.041666666666666664,False,False,False,False,False
region_then_param_residual_ridge,0,120,0.04722222222190006,0.041666666666666664,False,False,False,False,False
region_then_candidate_ranker,0,120,0.05236625514400006,0.041666666666666664,False,False,False,False,False
budget_aware_region_then_candidate_ranker,0,120,0.05236625514400006,0.041666666666666664,False,False,False,False,False
trace_x_param_interaction_ranker,0,120,0.04722222222190006,0.058333333333333334,False,False,False,False,False
risk_calibrated_region_selector,0,120,0.04722222222190006,0.041666666666666664,False,False,False,False,False
topk_region_then_risk_gate_selector,0,120,0.04722222222190006,0.041666666666666664,False,False,False,False,False
static_recovery_specialist,0,120,0.04751616696030839,0.025,False,False,False,False,False
candidate_induced_failure_specialist,0,120,0.05236625514400006,0.041666666666666664,False,False,False,False,False
map_family_specialist_mixture,0,120,0.04722222222190006,0.041666666666666664,False,False,False,False,False
agent_density_specialist_mixture,0,120,0.04722222222190006,0.058333333333333334,False,False,False,False,False
param_only_control,0,120,0.0541666666666001,0.06666666666666667,False,False,False,False,False
trace_only_control,0,120,0.0541666666666001,0.058333333333333334,False,False,False,False,False
no_pre_update_trace_ablation,0,120,0.05236625514400006,0.041666666666666664,False,False,False,False,False
source_blind_control,0,120,0.05059523809520007,0.016666666666666666,False,False,False,False,False
region_label_shuffled_control,0,120,0.05347222222220006,0.06666666666666667,False,False,False,False,False
candidate_label_shuffled_control,0,120,0.05198412698413337,0.06666666666666667,False,False,False,False,False
random_feature_control,0,120,0.05224974892217505,0.058333333333333334,False,False,False,False,False
oracle_region_upper_bound_diagnostic,0,120,0.05369497721927504,0.03333333333333333,False,False,False,False,False
oracle_candidate_upper_bound_diagnostic,0,120,0.05269755535958338,0.0,False,False,False,False,False
