row_type,policy,risk_bucket_low,risk_bucket_high,contexts,mean_predicted_harmful_risk,actual_harmful_rate,ece_abs_error
risk_calibration_bucket,additive_ltm,0.0,0.05,0,inf,inf,
risk_calibration_bucket,additive_ltm,0.05,0.1,0,inf,inf,
risk_calibration_bucket,additive_ltm,0.1,0.2,0,inf,inf,
risk_calibration_bucket,additive_ltm,0.2,0.5,0,inf,inf,
risk_calibration_bucket,additive_ltm,0.5,1.01,60,1.0,0.9666666666666667,0.033333333333333326
risk_calibration_bucket,balanced_bound_ranker,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,balanced_bound_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,balanced_bound_ranker,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,balanced_bound_ranker,0.2,0.5,28,0.39800666499500664,0.0,0.39800666499500664
risk_calibration_bucket,balanced_bound_ranker,0.5,1.01,29,0.7991978080744895,0.6896551724137931,0.10954263566069633
risk_calibration_bucket,best_family_train_candidate,0.0,0.05,0,inf,inf,
risk_calibration_bucket,best_family_train_candidate,0.05,0.1,0,inf,inf,
risk_calibration_bucket,best_family_train_candidate,0.1,0.2,0,inf,inf,
risk_calibration_bucket,best_family_train_candidate,0.2,0.5,0,inf,inf,
risk_calibration_bucket,best_family_train_candidate,0.5,1.01,60,1.0,0.5333333333333333,0.4666666666666667
risk_calibration_bucket,best_single_train_candidate_over_22,0.0,0.05,0,inf,inf,
risk_calibration_bucket,best_single_train_candidate_over_22,0.05,0.1,0,inf,inf,
risk_calibration_bucket,best_single_train_candidate_over_22,0.1,0.2,0,inf,inf,
risk_calibration_bucket,best_single_train_candidate_over_22,0.2,0.5,0,inf,inf,
risk_calibration_bucket,best_single_train_candidate_over_22,0.5,1.01,60,1.0,0.5166666666666667,0.4833333333333333
risk_calibration_bucket,best_single_train_new_candidate,0.0,0.05,0,inf,inf,
risk_calibration_bucket,best_single_train_new_candidate,0.05,0.1,0,inf,inf,
risk_calibration_bucket,best_single_train_new_candidate,0.1,0.2,0,inf,inf,
risk_calibration_bucket,best_single_train_new_candidate,0.2,0.5,0,inf,inf,
risk_calibration_bucket,best_single_train_new_candidate,0.5,1.01,60,1.0,0.5166666666666667,0.4833333333333333
risk_calibration_bucket,best_single_train_old_candidate,0.0,0.05,0,inf,inf,
risk_calibration_bucket,best_single_train_old_candidate,0.05,0.1,0,inf,inf,
risk_calibration_bucket,best_single_train_old_candidate,0.1,0.2,0,inf,inf,
risk_calibration_bucket,best_single_train_old_candidate,0.2,0.5,0,inf,inf,
risk_calibration_bucket,best_single_train_old_candidate,0.5,1.01,60,1.0,0.6,0.4
risk_calibration_bucket,candidate_params_only_ranker,0.0,0.05,0,inf,inf,
