row_type,eval_scope,model,contexts,top1_safe_oracle_capture_rate,top3_safe_oracle_capture_rate,top5_safe_oracle_capture_rate,safe_policy_sim_utility,candidate_induced_no_solution_count,budget_sensitive_candidate_failure_count,selected_safe_positive_count,avoidable_risk_ece,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
model_summary,leave_one_map_family,old14_plus_g518_no_new_baseline,20,0.1,0.0,0.0,0.0,0,0,0,0.0,False,False,False,False,False
model_summary,leave_one_map_family,best_fixed_g522_train_candidate,20,0.15,0.15,0.15,0.0126755216595,0,0,9,0.0,False,False,False,False,False
model_summary,leave_one_map_family,context_opportunity_classifier_runtime_safe,20,0.05,0.1,0.25,0.05927174350600001,1,1,3,0.05,False,False,False,False,False
model_summary,leave_one_map_family,candidate_utility_ridge_runtime_safe,20,0.0,0.1,0.15,0.06407100186,1,1,0,0.05,False,False,False,False,False
model_summary,leave_one_map_family,candidate_avoidable_risk_ridge_runtime_safe,20,0.0,0.1,0.15,0.06407100186,1,1,0,0.05,False,False,False,False,False
model_summary,leave_one_map_family,two_head_utility_risk_runtime_safe,20,0.0,0.1,0.15,0.06407100186,1,1,0,0.05,False,False,False,False,False
model_summary,leave_one_map_family,pairwise_preference_ranker_runtime_safe,20,0.0,0.1,0.15,0.06407100186,1,1,0,0.05,False,False,False,False,False
model_summary,leave_one_map_family,context_gate_then_candidate_ranker_runtime_safe,20,0.0,0.1,0.15,0.06407100186,1,1,0,0.05,False,False,False,False,False
model_summary,leave_one_map_family,topk_then_risk_gate_selector,20,0.0,0.1,0.15,0.06407100186,1,1,0,0.05,False,False,False,False,False
model_summary,leave_one_map_family,conformal_abstention_runtime_safe,20,0.0,0.1,0.15,0.06407100186,1,1,0,0.05,False,False,False,False,False
model_summary,leave_one_map_family,old14_plus_g518_no_new_baseline,20,0.1,0.0,0.0,0.0,0,0,0,0.0,False,False,False,False,False
model_summary,leave_one_map_family,source_blind_ablation,20,0.0,0.05,0.15,0.06407100186,1,1,0,0.05,False,False,False,False,False
model_summary,leave_one_map_family,oracle_upper_bound_diagnostic_not_for_promotion,20,1.0,1.0,1.0,-0.0175510109795,0,0,18,0.0,False,False,False,False,False
model_summary,leave_one_map_family,old14_plus_g518_no_new_baseline,20,0.15,0.0,0.0,0.0,0,0,0,0.0,False,False,False,False,False
model_summary,leave_one_map_family,best_fixed_g522_train_candidate,20,0.0,0.0,0.0,0.014401948182500004,1,1,5,0.05,False,False,False,False,False
model_summary,leave_one_map_family,context_opportunity_classifier_runtime_safe,20,0.15,0.2,0.3,0.022702211474499995,1,1,4,0.023423256332500003,False,False,False,False,False
model_summary,leave_one_map_family,candidate_utility_ridge_runtime_safe,20,0.0,0.2,0.35,0.010171402076500002,1,1,7,0.019170533968499992,False,False,False,False,False
model_summary,leave_one_map_family,candidate_avoidable_risk_ridge_runtime_safe,20,0.05,0.3,0.35,0.008039321809500002,1,1,8,0.017670144787999997,False,False,False,False,False
model_summary,leave_one_map_family,two_head_utility_risk_runtime_safe,20,0.05,0.3,0.35,0.008039321809500002,1,1,8,0.017670144787999997,False,False,False,False,False
