replay_phase,source_replay_phase,map,agents,seed,budget_ms,horizon_id,split,map_family,g562_dataset_row_id,g562_evaluation_uid,g562_identity_digest,theta_id,method,variant_id,actor_training_seed,model_path,actor_success,static_flow_success,success_gain_vs_static_flow,success_regression_vs_static_flow,actor_ratio,static_flow_ratio,delta_vs_static_flow,relative_improvement_vs_static_flow,runtime_speedup_vs_static_flow,actor_runtime_ms,static_flow_runtime_ms,actor_expanded_nodes,static_flow_expanded_nodes,actor_low_level_pibt_calls,static_flow_low_level_pibt_calls,candidate_recognized,fingerprint_match,static_flow_fingerprint_match,scenario_hash_match,static_flow_scenario_hash_match,identity_retained,static_flow_identity_retained,force_additive_false,dual_channel_enabled,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,10536,500,g559_b500_i4,heldout,other,g565_real_graph_000450,45ae194948e466e3c484d6e8467e7468bccf032b90beff7a9d9e66d583c5e83f,4fed69420fb843c920a33f75a13fed664281e227ddac31938285134b87c7e20c,g562_g565_expanded_solver_panel_e0_s565_d590ca367bb0,g565_E0_phase5p5_repair5g565_expanded_e0_seed565,E0,565,artifacts/models/gcst/phase5p5_repair5g565_expanded_e0_seed565.pt,False,True,False,True,,1.95106715252,nan,nan,-0.5049079297108654,607.845556,403.9088,2339,99,1326107,6339,True,True,True,True,True,True,True,True,True,1.2507699728012085,1.1677725315093994,1.259077787399292,0.7353658676147461,0.7645518779754639,1.0284996032714844,0.7051330208778381,0.9812846183776855,1.0,0.683743417263031,0.6473289132118225,0.3403106927871704,0.8939725160598755,1.0,10.82736587524414,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,10536,500,g559_b500_i4,heldout,other,g565_real_graph_000450,45ae194948e466e3c484d6e8467e7468bccf032b90beff7a9d9e66d583c5e83f,42cb62490e3f8a814f872d73d9f644680e88d97f0c730739bec1e8156a44f2a3,g562_g565_expanded_solver_panel_b1_s565_686a3d8edf1f,g565_B1_phase5p5_repair5g565_scaling_b1_fold0_all_seed565,B1,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold0_all_seed565.pt,False,True,False,True,,1.95106715252,nan,nan,-0.5015433632542793,606.486578,403.9088,2339,99,1326107,6339,True,True,True,True,True,True,True,True,True,1.2419184446334839,1.1677271127700806,1.2625313997268677,0.7413292527198792,0.7506269812583923,1.0173929929733276,0.7031049728393555,0.9809489846229553,1.0,0.6816073656082153,0.6515212059020996,0.3412015736103058,0.8979146480560303,1.0,10.828396797180176,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,10536,500,g559_b500_i4,heldout,other,g565_real_graph_000450,45ae194948e466e3c484d6e8467e7468bccf032b90beff7a9d9e66d583c5e83f,47e09b6729a6a058fd4a578eef6c6b37f89a30d8a0fe5ab3e6bfc78c581aaff7,g562_g565_expanded_solver_panel_b2_s565_a26428d0ea01,g565_B2_phase5p5_repair5g565_scaling_b2_fold1_all_seed565,B2,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b2_fold1_all_seed565.pt,False,True,False,True,,1.95106715252,nan,nan,-0.5174855784276056,612.925779,403.9088,2330,99,1172331,6339,True,True,True,True,True,True,True,True,True,1.2481741905212402,1.161116123199463,1.2603057622909546,0.7447618246078491,0.7478916645050049,1.0324511528015137,0.7054210901260376,0.981009840965271,0.9998255968093872,0.6851468682289124,0.6494176387786865,0.3398366868495941,0.8868326544761658,1.0,10.821105003356934,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,10776,500,g559_b500_i4,heldout,other,g565_real_graph_000737,70ef17e06137aee01bf21806f0937ea67077c41abb9855d51ef04552a4d82c78,66e37d9be59f7808e79154e73be92d6171d66de34a58d8d3008f24ea94274c28,g562_g565_expanded_solver_panel_e2_s565_a0754639f4aa,g565_E2_phase5p5_repair5g565_expanded_e2_seed565,E2,565,artifacts/models/gcst/phase5p5_repair5g565_expanded_e2_seed565.pt,False,True,False,True,,1.90980187696,nan,nan,-0.7156071499905681,618.435203,360.476,2496,91,1427870,5706,True,True,True,True,True,True,True,True,True,1.245405912399292,1.1669645309448242,1.2600070238113403,0.7343953847885132,0.7643740177154541,1.0369771718978882,0.6961746215820312,0.9810429811477661,1.0,0.6789252161979675,0.642516016960144,0.3437061607837677,0.9144794344902039,1.0,10.81894302368164,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,10776,500,g559_b500_i4,heldout,other,g565_real_graph_000737,70ef17e06137aee01bf21806f0937ea67077c41abb9855d51ef04552a4d82c78,fb629cccc769f8bc59f55857bd6df7e7e2a75e1095cc783f8c82ff6086b5cc42,g562_g565_expanded_solver_panel_b1_s565_42b4ae94e89f,g565_B1_phase5p5_repair5g565_scaling_b1_fold0_all_seed565,B1,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold0_all_seed565.pt,False,True,False,True,,1.90980187696,nan,nan,-0.8689550954848587,673.713457,360.476,1963,91,1319037,5706,True,True,True,True,True,True,True,True,True,1.2419184446334839,1.1677271127700806,1.2625313997268677,0.7413292527198792,0.7506269812583923,1.0173929929733276,0.7031049728393555,0.9809489846229553,1.0,0.6816073656082153,0.6515212059020996,0.3412015736103058,0.8979146480560303,1.0,10.828396797180176,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,10776,500,g559_b500_i4,heldout,other,g565_real_graph_000737,70ef17e06137aee01bf21806f0937ea67077c41abb9855d51ef04552a4d82c78,b9f33a75d5bfd709b1f2f9fdeaea1318a940b668cebb61008c4d30afebdd7698,g562_g565_expanded_solver_panel_b2_s565_e374dc11ead4,g565_B2_phase5p5_repair5g565_scaling_b2_fold1_all_seed565,B2,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b2_fold1_all_seed565.pt,False,True,False,True,,1.90980187696,nan,nan,-0.7821973890078674,642.439386,360.476,1961,91,1271536,5706,True,True,True,True,True,True,True,True,True,1.2481741905212402,1.161116123199463,1.2603057622909546,0.7447618246078491,0.7478916645050049,1.0324511528015137,0.7054210901260376,0.981009840965271,0.9998255968093872,0.6851468682289124,0.6494176387786865,0.3398366868495941,0.8868326544761658,1.0,10.821105003356934,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,10776,500,g559_b500_i4,heldout,other,g565_real_graph_000737,70ef17e06137aee01bf21806f0937ea67077c41abb9855d51ef04552a4d82c78,53b0c9948e21c086bdca13cf54dfeff30a1ffd76ccc993567cf82c2314c1d06e,g562_g565_expanded_solver_panel_b2_s565_3028dfe76d97,g565_B2_phase5p5_repair5g565_scaling_b2_fold2_all_seed565,B2,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b2_fold2_all_seed565.pt,False,True,False,True,,1.90980187696,nan,nan,-0.5070893873655943,543.269554,360.476,4512,91,882889,5706,True,True,True,True,True,True,True,True,True,1.2486580610275269,1.1551759243011475,1.2774238586425781,0.7477841377258301,0.7561885118484497,1.0186104774475098,0.7083351016044617,0.9808790683746338,1.0,0.6828423738479614,0.651971697807312,0.33986401557922363,0.9012189507484436,1.0,10.81179428100586,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,10776,500,g559_b500_i4,heldout,other,g565_real_graph_000737,70ef17e06137aee01bf21806f0937ea67077c41abb9855d51ef04552a4d82c78,a0ef57d7c25b2c57fd785a7bcbead131fb1c0099098cf7d8f48c14e1755d2216,g562_g565_expanded_solver_panel_b2_s565_1862386d45ce,g565_B2_phase5p5_repair5g565_scaling_b2_fold3_all_seed565,B2,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b2_fold3_all_seed565.pt,False,True,False,True,,1.90980187696,nan,nan,-0.6406093859230573,591.400309,360.476,3251,91,866210,5706,True,True,True,True,True,True,True,True,True,1.240860104560852,1.1590015888214111,1.2585785388946533,0.7500723600387573,0.7488633990287781,1.02496337890625,0.7069796323776245,0.9808521866798401,1.0,0.6800585985183716,0.6523997783660889,0.34510675072669983,0.8991939425468445,1.0,10.807656288146973,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,11496,500,g559_b500_i4,heldout,other,g565_real_graph_000004,0050640a3c14e37acccaa467e9057a27cf2b3d49f978548a1b3ccf51add83def,64127b51443e0481f8da88a127975988feb5ba5c7952a3f45f960feb9c803fcd,g562_g565_expanded_solver_panel_e2_s565_cd7eec33c246,g565_E2_phase5p5_repair5g565_expanded_e2_seed565,E2,565,artifacts/models/gcst/phase5p5_repair5g565_expanded_e2_seed565.pt,False,True,False,True,,1.94291754757,nan,nan,-0.4962102796398379,541.999331,362.2481,5779,90,896261,5656,True,True,True,True,True,True,True,True,True,1.2454062700271606,1.1669681072235107,1.2600202560424805,0.7343897819519043,0.7643764019012451,1.0369775295257568,0.6961789727210999,0.98104327917099,1.0,0.6789240837097168,0.6425118446350098,0.3437105715274811,0.9145050048828125,1.0,10.818953514099121,False,False,False,False,False
g565_expanded_solver_panel_static_flow_supplement,g565_expanded_solver_panel,g559-synth-string-40,64,11496,500,g559_b500_i4,heldout,other,g565_real_graph_000004,0050640a3c14e37acccaa467e9057a27cf2b3d49f978548a1b3ccf51add83def,69ab5b47e33571abad022cee54d08dac2ee95a151c5ca382524e9effe23b8c80,g562_g565_expanded_solver_panel_b1_s565_7fffa2497e3a,g565_B1_phase5p5_repair5g565_scaling_b1_fold0_all_seed565,B1,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold0_all_seed565.pt,False,True,False,True,,1.94291754757,nan,nan,-0.4471193996600673,524.216253,362.2481,6193,90,969142,5656,True,True,True,True,True,True,True,True,True,1.2419184446334839,1.1677271127700806,1.2625313997268677,0.7413292527198792,0.7506269812583923,1.0173929929733276,0.7031049728393555,0.9809489846229553,1.0,0.6816073656082153,0.6515212059020996,0.3412015736103058,0.8979146480560303,1.0,10.828396797180176,False,False,False,False,False
