row_type,model,policy,sample_index,selected_policy_utility,candidate_induced_no_solution_count,safe_positive_selected_count,region_match_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,0,0.027496684915,32,74,0.665573770492,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,1,0.024575362668,34,76,0.619672131148,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,2,0.023479165761,47,68,0.65737704918,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,3,0.026180253016,23,76,0.685245901639,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,4,0.02710942518,41,61,0.616393442623,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,5,0.021773008136,40,66,0.64262295082,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,6,0.028857869246,56,68,0.640983606557,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,7,0.025468974066,36,63,0.662295081967,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,8,0.024241700331,47,67,0.652459016393,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,9,0.021941974353,46,69,0.660655737705,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,10,0.025186045469,45,57,0.639344262295,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,11,0.025578950356,36,68,0.665573770492,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,12,0.021535155315,37,77,0.66393442623,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,13,0.022325178709,31,75,0.673770491803,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,14,0.025753382214,45,64,0.63606557377,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,15,0.026310530542,42,64,0.667213114754,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,16,0.021461321887,43,69,0.691803278689,False,False,False,False,False
bootstrap,level1_action_class_multinomial,level1_action_class_multinomial,17,0.024183432781,37,73,0.645901639344,False,False,False,False,False
