map,agents,seed,scen,ltm_ratio,ltm_expanded,ltm_ttfs_ms,repair3_ratio,repair3_delta_ratio_vs_ltm,repair3_expanded_delta_vs_ltm,repair3_ttfs_delta_vs_ltm,repair3_selected_rules,repair5d_ratio,repair5d_delta_ratio_vs_ltm,repair5d_expanded_delta_vs_ltm,repair5d_ttfs_delta_vs_ltm,repair5d_selected_rules,repair5d_fallback_count,oracle_ratio,oracle_delta_ratio_vs_ltm,oracle_expanded_delta_vs_ltm,oracle_ttfs_delta_vs_ltm,oracle_source_rule,oracle_selected_rules,repair5d_worse_than_ltm,repair3_wins_repair5d_loses,both_nonadditive_different_rules,repair5d_commit_heavy_count,repair3_block_light_count
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,1.15109170306,497.0,200.0,1.17947598253,0.028384279469999996,23.0,0.0,"{""block_light"": 2, ""commit_heavy"": 1}",1.18122270742,0.030131004359999825,24.0,1.0,"{""commit_heavy"": 3}",1.0,1.15589519651,0.004803493449999863,-1.0,6.0,wait_light,"{""wait_light"": 3}",True,False,True,3,2
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,1.13998970664,398.0,186.0,1.13998970664,0.0,-1.0,1.0,"{""block_light"": 2, ""commit_heavy"": 1}",1.13998970664,0.0,-5.0,-2.0,"{""commit_heavy"": 3}",1.0,1.11991765311,-0.020072053530000078,-1.0,0.0,decay_090,"{""decay_090"": 3}",False,False,True,3,2
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,1.1293508937,403.0,196.0,1.14252116651,0.013170272809999828,6.0,-10.0,"{""block_light"": 2, ""commit_heavy"": 1}",1.14252116651,0.013170272809999828,4.0,-13.0,"{""commit_heavy"": 3}",1.0,1.12276575729,-0.006585136410000025,4.0,-11.0,block_light,"{""block_light"": 3}",True,False,True,3,2
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,1.27024459748,565.0,416.0,1.24269769651,-0.02754690097000001,-39.0,3.0,"{""block_light"": 3}",1.25077178817,-0.01947280931000006,-39.0,-3.0,"{""commit_heavy"": 3}",1.0,1.24269769651,-0.02754690097000001,-39.0,3.0,block_light,"{""block_light"": 3}",False,False,True,3,3
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,1.29871465296,407.0,373.0,1.29614395887,-0.002570694090000103,-4.0,4.0,"{""block_light"": 3}",1.30745501285,0.008740359889999993,-3.0,0.0,"{""commit_heavy"": 3}",1.0,1.28843187661,-0.010282776349999967,1.0,-4.0,block_heavy,"{""block_heavy"": 3}",True,True,True,3,3
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,1.28639563934,475.0,393.0,1.26799909153,-0.018396547810000108,-13.0,4.0,"{""block_light"": 3}",1.2963888258,0.009993186460000025,-6.0,-3.0,"{""commit_heavy"": 3}",1.0,1.26799909153,-0.018396547810000108,-13.0,10.0,block_light,"{""block_light"": 3}",True,True,True,3,3
random-32-32-20,50,1,random-32-32-20-random-1.scen,1.13415710503,328.0,159.0,1.13415710503,0.0,30.0,1.0,"{""block_light"": 1, ""commit_heavy"": 2}",1.13415710503,0.0,30.0,2.0,"{""commit_heavy"": 3}",1.0,1.13415710503,0.0,-107.0,0.0,wait_light,"{""wait_light"": 3}",False,False,True,3,1
random-32-32-20,50,2,random-32-32-20-random-2.scen,1.10966542751,206.0,157.0,1.10966542751,0.0,-9.0,0.0,"{""block_light"": 1, ""commit_heavy"": 2}",1.10966542751,0.0,-9.0,1.0,"{""commit_heavy"": 3}",1.0,1.10966542751,0.0,-19.0,-1.0,wait_light,"{""wait_light"": 3}",False,False,True,3,1
random-32-32-20,50,3,random-32-32-20-random-3.scen,1.1096963761,303.0,157.0,1.1096963761,0.0,-102.0,0.0,"{""block_light"": 1, ""commit_heavy"": 2}",1.1096963761,0.0,-102.0,3.0,"{""commit_heavy"": 3}",1.0,1.1096963761,0.0,-106.0,1.0,wait_heavy,"{""wait_heavy"": 3}",False,False,True,3,1
random-32-32-20,100,1,random-32-32-20-random-1.scen,1.28865058088,237.0,321.0,1.28865058088,0.0,105.0,-6.0,"{""block_light"": 3}",1.28865058088,0.0,-1.0,-1.0,"{""commit_heavy"": 3}",1.0,1.23503127793,-0.05361930295000006,26.0,13.0,wait_light,"{""wait_light"": 3}",False,False,True,3,3
random-32-32-20,100,2,random-32-32-20-random-2.scen,1.29409070087,219.0,318.0,1.2982134677,0.004122766829999902,30.0,0.0,"{""block_light"": 3}",1.2982134677,0.004122766829999902,16.0,5.0,"{""commit_heavy"": 3}",1.0,1.27622537792,-0.017865322950000095,-7.0,1.0,block_heavy,"{""block_heavy"": 3}",True,False,True,3,3
random-32-32-20,100,3,random-32-32-20-random-3.scen,1.25046210721,215.0,319.0,1.21765249538,-0.03280961182999986,124.0,-4.0,"{""block_light"": 3}",1.25046210721,0.0,29.0,-4.0,"{""commit_heavy"": 3}",1.0,1.21765249538,-0.03280961182999986,124.0,-4.0,block_light,"{""block_light"": 3}",False,False,True,3,3
warehouse-10-20-10-2-1,50,1,warehouse-10-20-10-2-1-random-1.scen,1.08573801121,443.0,1272.0,1.08573801121,0.0,0.0,11.0,"{""block_light"": 2}",1.08573801121,0.0,0.0,29.0,"{""commit_heavy"": 2}",1.0,1.08573801121,0.0,0.0,-6.0,wait_light,"{""wait_light"": 2}",False,False,True,2,2
