split,contexts,physical_map_hashes,positive_contexts,harmful_contexts,censored_contexts,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
heldout,77,2,19,18,59,False,False,False,False,False
train,631,15,394,397,234,False,False,False,False,False
validation,292,7,203,205,87,False,False,False,False,False
