fold,size_label,seed,best_rich_model,best_rich_validation_risk,best_control_model,best_control_validation_risk,rich_beats_matched_control
0,64,565,E1,0.012732896049902801,B1,0.01272767834319711,False
0,64,566,E1,0.012716963089752703,B1,0.012729595867660056,True
0,64,567,E0,0.012719867350340015,B1,0.012723972419770302,True
0,128,565,E2,0.012653061621490465,B1,0.012669352104182036,True
0,128,566,E0,0.012635563773581233,B1,0.01267568314443924,True
0,128,567,E1,0.01264308730069713,B1,0.012671043327066315,True
0,256,565,E1,0.012575801071092423,B2,0.012688710198875002,True
0,256,566,E1,0.012599552160947823,B1,0.012690983795751098,True
0,256,567,E1,0.012611433584327028,B1,0.01268769191275638,True
0,512,565,E1,0.012581262708441768,B1,0.012644639504638885,True
0,512,566,E1,0.012579341023961896,B1,0.012645262463614202,True
0,512,567,E1,0.012569720562255443,B1,0.012645923116219442,True
0,all,565,E1,0.012568115628502059,B1,0.012594085052684943,True
0,all,566,E1,0.012557122050336237,B1,0.012592721227702173,True
0,all,567,E2,0.012565931330087115,B1,0.012594903122696876,True
