region_id,candidate_id,map_family,agents,budget_ms,iteration_bucket,seed_block_support,support_pairs,region_status,seed_block_underpowered,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g539_s1_026|maze|50|1000|final,repair5g539_s1_026,maze,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|maze|50|2000|final,repair5g539_s1_026,maze,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|maze|50|1000|final,repair5g539_s2_110,maze,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|maze|100|2000|final,repair5g539_s2_110,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|maze|50|2000|final,repair5g539_s2_110,maze,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|random|100|2000|final,repair5g539_s1_026,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|random|50|1000|final,repair5g539_s1_000,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|random|50|2000|final,repair5g539_s1_000,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|random|50|1000|final,repair5g539_s2_110,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|random|100|2000|final,repair5g539_s2_110,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|random|50|2000|final,repair5g539_s2_110,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|maze|50|2000|final,repair5g539_s1_000,maze,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|maze|50|1000|final,repair5g539_s1_000,maze,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|random|50|1000|final,repair5g539_s1_026,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|random|50|2000|final,repair5g539_s1_026,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|maze|50|1000|final,repair5g539_s2_089,maze,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|maze|50|2000|final,repair5g539_s2_089,maze,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|random|100|500|final,repair5g539_s1_000,random,100,500,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|random|100|500|final,repair5g539_s1_026,random,100,500,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|random|100|500|final,repair5g539_s2_089,random,100,500,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|random|100|500|final,repair5g539_s2_110,random,100,500,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|warehouse|50|2000|final,repair5g539_s1_000,warehouse,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|warehouse|50|2000|final,repair5g539_s2_089,warehouse,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|warehouse|50|2000|final,repair5g539_s2_110,warehouse,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|maze|50|500|final,repair5g539_s1_000,maze,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|maze|100|500|final,repair5g539_s1_000,maze,100,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|maze|100|1000|final,repair5g539_s1_000,maze,100,1000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|random|50|500|final,repair5g539_s1_000,random,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|random|100|1000|final,repair5g539_s1_000,random,100,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|warehouse|50|500|final,repair5g539_s1_000,warehouse,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|warehouse|50|1000|final,repair5g539_s1_000,warehouse,50,1000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|warehouse|100|500|final,repair5g539_s1_000,warehouse,100,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|warehouse|100|1000|final,repair5g539_s1_000,warehouse,100,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|warehouse|100|2000|final,repair5g539_s1_000,warehouse,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|maze|50|500|final,repair5g539_s1_026,maze,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|maze|100|500|final,repair5g539_s1_026,maze,100,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|maze|100|1000|final,repair5g539_s1_026,maze,100,1000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|random|50|500|final,repair5g539_s1_026,random,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|random|100|1000|final,repair5g539_s1_026,random,100,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|warehouse|50|500|final,repair5g539_s1_026,warehouse,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|warehouse|50|1000|final,repair5g539_s1_026,warehouse,50,1000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|warehouse|50|2000|final,repair5g539_s1_026,warehouse,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|warehouse|100|500|final,repair5g539_s1_026,warehouse,100,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|warehouse|100|1000|final,repair5g539_s1_026,warehouse,100,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|warehouse|100|2000|final,repair5g539_s1_026,warehouse,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|maze|50|500|final,repair5g539_s2_089,maze,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|maze|100|500|final,repair5g539_s2_089,maze,100,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|maze|100|1000|final,repair5g539_s2_089,maze,100,1000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|random|50|500|final,repair5g539_s2_089,random,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|random|100|1000|final,repair5g539_s2_089,random,100,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|warehouse|50|500|final,repair5g539_s2_089,warehouse,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|warehouse|50|1000|final,repair5g539_s2_089,warehouse,50,1000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|warehouse|100|500|final,repair5g539_s2_089,warehouse,100,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|warehouse|100|1000|final,repair5g539_s2_089,warehouse,100,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|warehouse|100|2000|final,repair5g539_s2_089,warehouse,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|maze|50|500|final,repair5g539_s2_110,maze,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|maze|100|500|final,repair5g539_s2_110,maze,100,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|maze|100|1000|final,repair5g539_s2_110,maze,100,1000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|random|50|500|final,repair5g539_s2_110,random,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|random|100|1000|final,repair5g539_s2_110,random,100,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|warehouse|50|500|final,repair5g539_s2_110,warehouse,50,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|warehouse|50|1000|final,repair5g539_s2_110,warehouse,50,1000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|warehouse|100|500|final,repair5g539_s2_110,warehouse,100,500,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|warehouse|100|1000|final,repair5g539_s2_110,warehouse,100,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_110|warehouse|100|2000|final,repair5g539_s2_110,warehouse,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|random|50|2000|final,repair5g539_s2_089,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|random|50|1000|final,repair5g539_s2_089,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|random|100|2000|final,repair5g539_s2_089,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|random|100|2000|final,repair5g539_s1_000,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_089|maze|100|2000|final,repair5g539_s2_089,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_026|maze|100|2000|final,repair5g539_s1_026,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_000|maze|100|2000|final,repair5g539_s1_000,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_102|maze|100|2000|final,repair5g539_s2_102,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_096|maze|100|2000|final,repair5g539_s2_096,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_101|random|100|2000|final,repair5g539_s2_101,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_095|random|100|2000|final,repair5g539_s2_095,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_102|maze|50|1000|final,repair5g539_s2_102,maze,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_096|random|50|1000|final,repair5g539_s2_096,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_102|maze|50|2000|final,repair5g539_s2_102,maze,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_040|random|50|2000|final,repair5g539_s1_040,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_102|random|100|2000|final,repair5g539_s2_102,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_103|random|100|2000|final,repair5g539_s2_103,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_075|random|50|2000|final,repair5g539_s1_075,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_040|random|50|1000|final,repair5g539_s1_040,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_105|maze|100|2000|final,repair5g539_s2_105,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_096|random|50|2000|final,repair5g539_s2_096,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_025|random|100|2000|final,repair5g539_s1_025,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_075|random|50|1000|final,repair5g539_s1_075,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_095|maze|100|2000|final,repair5g539_s2_095,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_053|random|50|1000|final,repair5g539_s1_053,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_088|random|100|2000|final,repair5g539_s2_088,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_105|maze|50|1000|final,repair5g539_s2_105,maze,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_053|random|50|2000|final,repair5g539_s1_053,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_053|random|100|2000|final,repair5g539_s1_053,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_105|maze|50|2000|final,repair5g539_s2_105,maze,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_104|maze|50|1000|final,repair5g539_s2_104,maze,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_101|maze|50|1000|final,repair5g539_s2_101,maze,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_104|maze|100|2000|final,repair5g539_s2_104,maze,100,2000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_104|maze|50|2000|final,repair5g539_s2_104,maze,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_096|random|100|2000|final,repair5g539_s2_096,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_101|maze|50|2000|final,repair5g539_s2_101,maze,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_025|random|50|1000|final,repair5g539_s1_025,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_101|random|50|1000|final,repair5g539_s2_101,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_095|random|50|1000|final,repair5g539_s2_095,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_018|random|100|2000|final,repair5g539_s1_018,random,100,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_025|random|50|2000|final,repair5g539_s1_025,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_051|random|50|1000|final,repair5g539_s1_051,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_101|random|50|2000|final,repair5g539_s2_101,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_095|random|50|2000|final,repair5g539_s2_095,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s2_104|random|50|1000|final,repair5g539_s2_104,random,50,1000,final,1,9,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
repair5g539_s1_051|random|50|2000|final,repair5g539_s1_051,random,50,2000,final,1,10,boundary_underpowered_or_quality_weak,True,False,False,False,False,False
